Time_stamp,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
Capture Frame Rate,240.000000,,,,,,,nan,,,,,,,,nan,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,battery_X,battery_Y,battery_Z,battery_w,battery_x,battery_y,battery_z,battery_state,gripper_X,gripper_Y,gripper_Z,gripper_w,gripper_x,gripper_y,gripper_z,gripper_state,chisel_X,chisel_Y,chisel_Z,chisel_w,chisel_x,chisel_y,chisel_z,chisel_state,C1_X,C1_Y,C1_Z,C3_X,C3_Y,C3_Z,A1_X,A1_Y,A1_Z,B3_X,B3_Y,B3_Z,A3_X,A3_Y,A3_Z,A2_X,A2_Y,A2_Z,B2_X,B2_Y,B2_Z,B1_X,B1_Y,B1_Z,C2_X,C2_Y,C2_Z
0.004167,0.300332,0.038718,0.137572,-1.0,0.000142,0.000453,-0.000208,-1,0.055991,0.121986,0.255234,-0.53244,-0.217388,-0.818056,0.005829,-1,0.229167,0.236335,0.171175,-0.324257,-0.627835,-0.638965,0.303979,-1,0.377993,-0.10744,0.134013,0.22565,-0.107728,0.133841,0.380836,0.197609,0.130836,0.223211,0.03893,0.125247,0.218496,0.195512,0.128267,0.298235,0.197909,0.129729,0.298995,0.039174,0.124029,0.38054,0.039042,0.123578,0.29867,-0.107926,0.132297
0.008333,0.300321,0.038743,0.137532,-1.0,0.000104,0.000527,-0.000224,-1,0.056515,0.121659,0.255631,-0.533998,-0.217387,-0.817037,0.006287,-1,0.229076,0.236402,0.170942,-0.324198,-0.628564,-0.638481,0.303552,-1,0.37798,-0.10743,0.134003,0.225622,-0.107727,0.133824,0.38083,0.197648,0.130801,0.223191,0.038967,0.125222,0.218447,0.19558,0.12819,0.298223,0.197938,0.129687,0.29898,0.039213,0.124008,0.380529,0.03908,0.123549,0.298646,-0.107911,0.132286
0.012500,0.300321,0.038753,0.137521,-1.0,9.6e-05,0.000527,-0.000222,-1,0.056543,0.121639,0.255588,-0.53398,-0.217286,-0.817075,0.006286,-1,0.229033,0.23639,0.170767,-0.324182,-0.628959,-0.638225,0.303293,-1,0.377971,-0.107426,0.13399,0.225693,-0.108037,0.133565,0.380819,0.197671,0.130785,0.223182,0.038984,0.125199,0.218434,0.195613,0.128158,0.29821,0.197963,0.129672,0.298972,0.039238,0.123994,0.380527,0.039099,0.123535,0.29864,-0.107893,0.132276
0.016667,0.300315,0.038775,0.137507,-1.0,8.6e-05,0.000558,-0.000218,-1,0.056596,0.121463,0.255515,-0.534093,-0.217297,-0.816996,0.006648,-1,0.228811,0.236141,0.170903,-0.323199,-0.626939,-0.63991,0.304968,-1,0.377962,-0.107399,0.133998,0.22569,-0.108008,0.13355,0.380808,0.197704,0.130781,0.223169,0.039016,0.125194,0.218419,0.195655,0.12816,0.298204,0.197998,0.129653,0.298976,0.03927,0.124001,0.380523,0.039125,0.123527,0.298634,-0.107863,0.132273
0.020833,0.300323,0.038768,0.137544,-1.0,0.000126,0.00051,-0.000227,-1,0.056617,0.121494,0.255443,-0.533879,-0.217226,-0.817156,0.006482,-1,0.228812,0.236081,0.170836,-0.323055,-0.626825,-0.640076,0.305006,-1,0.377976,-0.107398,0.134008,0.225703,-0.108017,0.133562,0.380818,0.197695,0.130807,0.223192,0.039009,0.125216,0.218444,0.195637,0.12818,0.298217,0.197984,0.129677,0.298982,0.039266,0.124023,0.380534,0.039114,0.123553,0.29864,-0.107867,0.132292
0.025000,0.300335,0.038754,0.13758,-1.0,0.000151,0.000471,-0.000231,-1,0.056638,0.121678,0.255421,-0.533552,-0.216994,-0.817435,0.005975,-1,0.228843,0.235992,0.170802,-0.322937,-0.626657,-0.640262,0.305086,-1,0.377987,-0.107403,0.13403,0.225703,-0.108006,0.13356,0.380847,0.197671,0.130855,0.223216,0.038992,0.125264,0.21848,0.195605,0.128231,0.298236,0.197962,0.129727,0.298995,0.039247,0.124046,0.380552,0.039099,0.123595,0.298661,-0.107872,0.132303
0.029167,0.300361,0.038726,0.137655,-1.0,0.000211,0.000382,-0.000203,-1,0.056597,0.121752,0.255288,-0.532926,-0.217,-0.817844,0.005622,-1,0.228884,0.235846,0.170789,-0.322703,-0.626298,-0.640623,0.30531,-1,0.378018,-0.107416,0.134048,0.225706,-0.108014,0.133561,0.380877,0.197628,0.130895,0.223251,0.038948,0.125323,0.218551,0.195513,0.128346,0.29827,0.197917,0.129783,0.299033,0.039192,0.124108,0.380575,0.039058,0.123628,0.298692,-0.1079,0.13233
0.033333,0.300368,0.038705,0.137659,-1.0,0.000232,0.000384,-0.000224,-1,0.056119,0.12208,0.254791,-0.531058,-0.216749,-0.819129,0.005009,-1,0.22896,0.235649,0.170867,-0.322619,-0.625782,-0.641026,0.305614,-1,0.378036,-0.107439,0.134051,0.225685,-0.107728,0.133872,0.380915,0.197585,0.130929,0.223277,0.038921,0.125361,0.218614,0.195421,0.128475,0.298303,0.197886,0.129824,0.299059,0.03915,0.124131,0.380589,0.039028,0.123657,0.298712,-0.107927,0.13233
