Time_stamp,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
Capture Frame Rate,240.000000,,,,,,,nan,,,,,,,,nan,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,battery_X,battery_Y,battery_Z,battery_w,battery_x,battery_y,battery_z,battery_state,gripper_X,gripper_Y,gripper_Z,gripper_w,gripper_x,gripper_y,gripper_z,gripper_state,chisel_X,chisel_Y,chisel_Z,chisel_w,chisel_x,chisel_y,chisel_z,chisel_state,C1_X,C1_Y,C1_Z,C3_X,C3_Y,C3_Z,A1_X,A1_Y,A1_Z,B3_X,B3_Y,B3_Z,A3_X,A3_Y,A3_Z,A2_X,A2_Y,A2_Z,B2_X,B2_Y,B2_Z,B1_X,B1_Y,B1_Z,C2_X,C2_Y,C2_Z
0.012500,0.300296,0.038835,0.138213,-1.0,3.1e-05,-0.000503,-6e-05,-1,0.193654,-0.231819,0.264967,-0.405365,-0.137799,-0.829637,-0.35832,-1,0.156084,0.083907,0.251941,-0.347772,-0.285869,-0.841625,0.298329,-1,0.378088,-0.107544,0.133714,0.225731,-0.107902,0.131496,0.380879,0.197705,0.130543,0.2233,0.038883,0.124967,0.218618,0.195725,0.127677,0.29828,0.197949,0.129163,0.299146,0.039154,0.123918,0.380676,0.039074,0.123764,0.29862,-0.107701,0.131972
0.016667,0.300292,0.038829,0.13823,-1.0,4.4e-05,-0.000526,-5.8e-05,-1,0.193549,-0.231885,0.264902,-0.405161,-0.137749,-0.829757,-0.358291,-1,0.1563,0.08365,0.251916,-0.347756,-0.284261,-0.842185,0.298305,-1,0.378076,-0.10755,0.133701,0.225726,-0.107901,0.131494,0.380879,0.197699,0.130555,0.223293,0.038873,0.124976,0.218614,0.19572,0.127676,0.298279,0.197941,0.129171,0.29914,0.039139,0.123925,0.38068,0.039071,0.123772,0.298615,-0.107704,0.131962
0.020833,0.300264,0.038811,0.138238,-1.0,1.7e-05,-0.000488,-0.000122,-1,0.19337,-0.23192,0.26483,-0.404761,-0.137623,-0.82996,-0.358321,-1,0.15648,0.083412,0.251888,-0.347726,-0.282761,-0.842714,0.298272,-1,0.378062,-0.107537,0.133722,0.225717,-0.107894,0.131526,0.380877,0.197698,0.130571,0.223284,0.038882,0.124994,0.218612,0.195723,0.127701,0.298271,0.197944,0.129171,0.299121,0.039138,0.123952,0.380664,0.039074,0.12379,0.2986,-0.1077,0.131989
0.025000,0.300263,0.038805,0.13826,-1.0,2.3e-05,-0.000512,-0.000122,-1,0.193262,-0.231981,0.264788,-0.404537,-0.137569,-0.830066,-0.358351,-1,0.156676,0.083171,0.251827,-0.347703,-0.28126,-0.843254,0.298193,-1,0.378052,-0.107535,0.133727,0.225718,-0.107902,0.131537,0.380879,0.197695,0.130582,0.223289,0.038856,0.125018,0.218615,0.19572,0.127712,0.298277,0.197943,0.129199,0.299114,0.03912,0.123955,0.380669,0.03906,0.123797,0.298593,-0.107706,0.132013
0.029167,0.300273,0.038825,0.138274,-1.0,4.4e-05,-0.000519,-5.7e-05,-1,0.193145,-0.232043,0.264747,-0.404301,-0.137518,-0.830191,-0.358347,-1,0.156906,0.082936,0.251758,-0.347554,-0.279476,-0.843914,0.298176,-1,0.378035,-0.107531,0.133733,0.225707,-0.107895,0.13156,0.380887,0.197694,0.130594,0.223298,0.038859,0.125044,0.218618,0.195726,0.127726,0.298279,0.197942,0.129207,0.299108,0.039124,0.123971,0.380666,0.039066,0.123803,0.298583,-0.107704,0.132021
0.045833,0.300262,0.038828,0.138286,-1.0,6.3e-05,-0.000538,-5.4e-05,-1,0.192913,-0.232364,0.264594,-0.403985,-0.137659,-0.830364,-0.358247,-1,0.157715,0.082108,0.251386,-0.346152,-0.270377,-0.847257,0.298715,-1,0.378015,-0.107508,0.133731,0.225711,-0.107887,0.131575,0.380887,0.197693,0.130604,0.223296,0.038855,0.12506,0.218609,0.195737,0.127736,0.298272,0.197946,0.129213,0.2991,0.03911,0.123985,0.380658,0.039065,0.12381,0.298578,-0.1077,0.132043
0.050000,0.300231,0.038805,0.138285,-1.0,2e-05,-0.000521,-0.000126,-1,0.192938,-0.232472,0.264585,-0.40417,-0.137867,-0.830261,-0.358199,-1,0.157938,0.081942,0.251224,-0.345625,-0.267641,-0.848357,0.298668,-1,0.378007,-0.107515,0.133736,0.225683,-0.107885,0.131562,0.380863,0.197694,0.130601,0.223268,0.038847,0.125062,0.218592,0.195732,0.127735,0.298251,0.197937,0.129214,0.299082,0.039109,0.123992,0.380641,0.039063,0.123801,0.298561,-0.107706,0.132034
0.054167,0.300219,0.038811,0.138287,-1.0,2.8e-05,-0.00053,-0.000124,-1,0.192975,-0.232572,0.26459,-0.40439,-0.138072,-0.830142,-0.358147,-1,0.158171,0.081778,0.251055,-0.345031,-0.264587,-0.849548,0.298691,-1,0.377995,-0.107518,0.133735,0.22568,-0.107882,0.131568,0.380854,0.197695,0.130605,0.223258,0.038862,0.125057,0.21858,0.195735,0.127733,0.298242,0.197949,0.129214,0.299075,0.03912,0.123978,0.380631,0.039064,0.123811,0.298556,-0.107695,0.132026
