Format Version,1.23,Take Name,cap_009,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 08.16.52.674 PM,Total Frames in Take,2799,Total Exported Frames,2799,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,Unlabeled 1091,Unlabeled 1091,Unlabeled 1091,Unlabeled 1092,Unlabeled 1092,Unlabeled 1092,Unlabeled 1093,Unlabeled 1093,Unlabeled 1093,Unlabeled 1094,Unlabeled 1094,Unlabeled 1094,Unlabeled 1095,Unlabeled 1095,Unlabeled 1095,Unlabeled 1096,Unlabeled 1096,Unlabeled 1096,Unlabeled 1097,Unlabeled 1097,Unlabeled 1097,Unlabeled 1098,Unlabeled 1098,Unlabeled 1098,Unlabeled 1099,Unlabeled 1099,Unlabeled 1099,Unlabeled 1100,Unlabeled 1100,Unlabeled 1100,Unlabeled 1101,Unlabeled 1101,Unlabeled 1101,Unlabeled 1102,Unlabeled 1102,Unlabeled 1102,Unlabeled 1103,Unlabeled 1103,Unlabeled 1103,Unlabeled 1104,Unlabeled 1104,Unlabeled 1104,Unlabeled 1106,Unlabeled 1106,Unlabeled 1106,Unlabeled 1107,Unlabeled 1107,Unlabeled 1107,Unlabeled 1108,Unlabeled 1108,Unlabeled 1108,Unlabeled 1109,Unlabeled 1109,Unlabeled 1109,Unlabeled 1110,Unlabeled 1110,Unlabeled 1110,Unlabeled 1111,Unlabeled 1111,Unlabeled 1111,Unlabeled 1113,Unlabeled 1113,Unlabeled 1113,Unlabeled 1114,Unlabeled 1114,Unlabeled 1114,Unlabeled 1115,Unlabeled 1115,Unlabeled 1115,Unlabeled 1116,Unlabeled 1116,Unlabeled 1116,Unlabeled 1117,Unlabeled 1117,Unlabeled 1117,Unlabeled 1119,Unlabeled 1119,Unlabeled 1119,Unlabeled 1120,Unlabeled 1120,Unlabeled 1120,Unlabeled 1121,Unlabeled 1121,Unlabeled 1121,Unlabeled 1122,Unlabeled 1122,Unlabeled 1122,Unlabeled 1123,Unlabeled 1123,Unlabeled 1123,Unlabeled 1124,Unlabeled 1124,Unlabeled 1124,Unlabeled 1126,Unlabeled 1126,Unlabeled 1126,Unlabeled 1129,Unlabeled 1129,Unlabeled 1129,Unlabeled 1130,Unlabeled 1130,Unlabeled 1130,Unlabeled 1131,Unlabeled 1131,Unlabeled 1131,Unlabeled 1132,Unlabeled 1132,Unlabeled 1132,Unlabeled 1133,Unlabeled 1133,Unlabeled 1133,Unlabeled 1134,Unlabeled 1134,Unlabeled 1134,Unlabeled 1135,Unlabeled 1135,Unlabeled 1135,Unlabeled 1136,Unlabeled 1136,Unlabeled 1136,Unlabeled 1137,Unlabeled 1137,Unlabeled 1137,Unlabeled 1138,Unlabeled 1138,Unlabeled 1138,Unlabeled 1139,Unlabeled 1139,Unlabeled 1139,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker5,chisel_july10:Marker5,chisel_july10:Marker5,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker5,gripper_july10:Marker5,gripper_july10:Marker5
,ID,"29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","CF380","CF380","CF380","CF3D0","CF3D0","CF3D0","CF470","CF470","CF470","CF2F0","CF2F0","CF2F0","CF370","CF370","CF370","CF310","CF310","CF310","CF3B0","CF3B0","CF3B0","CF420","CF420","CF420","CF430","CF430","CF430","CF440","CF440","CF440","CF460","CF460","CF460","CF5B0","CF5B0","CF5B0","CF5C0","CF5C0","CF5C0","CF630","CF630","CF630","CF640","CF640","CF640","CF6A0","CF6A0","CF6A0","CF6B0","CF6B0","CF6B0","CF6C0","CF6C0","CF6C0","CF6D0","CF6D0","CF6D0","CF600","CF600","CF600","CF700","CF700","CF700","CF710","CF710","CF710","CF740","CF740","CF740","CF730","CF730","CF730","CF750","CF750","CF750","CF760","CF760","CF760","CF770","CF770","CF770","CF7A0","CF7A0","CF7A0","CF7B0","CF7B0","CF7B0","CF780","CF780","CF780","CF7E0","CF7E0","CF7E0","CF800","CF800","CF800","CF7F0","CF7F0","CF7F0","CF6E0","CF6E0","CF6E0","CF6F0","CF6F0","CF6F0","CF810","CF810","CF810","CF870","CF870","CF870","CF610","CF610","CF610","CF890","CF890","CF890","CF8F0","CF8F0","CF8F0","CF930","CF930","CF930","CF950","CF950","CF950","CF960","CF960","CF960","CF970","CF970","CF970","CF920","CF920","CF920","CF990","CF990","CF990","CF8A0","CF8A0","CF8A0","CF9B0","CF9B0","CF9B0","CF3E0","CF3E0","CF3E0","CF590","CF590","CF590","CF530","CF530","CF530","CF560","CF560","CF560","CF660","CF660","CF660","CF480","CF480","CF480","CF4E0","CF4E0","CF4E0","CF4B0","CF4B0","CF4B0","CF330","CF330","CF330","CF490","CF490","CF490"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.940592,0.146776,-0.050376,-0.302002,-0.051379,0.198289,0.178130,-0.861225,-0.322989,-0.106413,-0.377685,-0.282414,0.304037,0.180534,-0.000230,-0.000074,-0.000180,-1.000000,0.038801,0.138079,0.300212,0.215579,0.141181,0.428257,0.168513,0.141565,0.560926,-0.122317,0.143152,0.486963,-0.123882,0.141850,0.557382,0.231274,0.122209,0.562507,-0.249196,0.325999,0.180831,0.197757,0.130638,0.380914,0.039112,0.125582,0.223297,0.039335,0.124200,0.299154,0.039129,0.123915,0.380622,-0.107451,0.133637,0.377975,-0.107796,0.131735,0.225673,-0.107824,0.132085,0.298710,0.197919,0.128972,0.298322,0.196031,0.127454,0.218736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053125,0.391476,0.027293,-0.055997,0.275053,0.108751,0.008142,0.393250,0.024851,-0.000671,0.246454,0.134812,-0.016167,0.296073,0.140086,-0.309930,0.474362,0.123562,-0.354688,0.467391,0.109975,-0.368612,0.403247,0.117695,-0.417247,0.373169,0.144172,-0.457312,0.370700,0.092722
1,0.004167,-0.940591,0.146566,-0.050814,-0.302034,-0.051429,0.198256,0.178116,-0.861232,-0.322900,-0.106473,-0.377728,-0.282431,0.303998,0.180553,-0.000233,-0.000008,-0.000155,-1.000000,0.038824,0.138079,0.300224,0.215583,0.141178,0.428252,0.168511,0.141575,0.560924,-0.122311,0.143163,0.486959,-0.123877,0.141848,0.557375,0.231232,0.122178,0.562605,-0.249202,0.325961,0.180836,0.197760,0.130638,0.380907,0.039123,0.125582,0.223298,0.039342,0.124200,0.299154,0.039133,0.123915,0.380610,-0.107449,0.133650,0.377974,-0.107792,0.131724,0.225666,-0.107824,0.132088,0.298699,0.197917,0.128976,0.298327,0.196037,0.127475,0.218734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053055,0.391469,0.027308,-0.056049,0.274996,0.108720,0.008066,0.393226,0.024845,-0.000717,0.246458,0.134812,-0.016263,0.296056,0.140080,-0.309921,0.474327,0.123579,-0.354666,0.467361,0.109971,-0.368605,0.403213,0.117695,-0.417244,0.373146,0.144163,-0.457309,0.370683,0.092707
2,0.008333,-0.940643,0.146349,-0.051327,-0.301892,-0.051512,0.198196,0.178072,-0.861216,-0.322827,-0.106556,-0.377804,-0.282462,0.303959,0.180599,-0.000277,-0.000011,-0.000137,-1.000000,0.038814,0.138098,0.300238,0.215573,0.141174,0.428266,0.168510,0.141563,0.560940,-0.122323,0.143179,0.486976,-0.123884,0.141841,0.557388,0.231221,0.122173,0.562617,-0.249224,0.325907,0.180855,0.197750,0.130636,0.380924,0.039113,0.125577,0.223315,0.039330,0.124204,0.299168,0.039121,0.123913,0.380635,-0.107454,0.133652,0.377982,-0.107800,0.131723,0.225681,-0.107826,0.132076,0.298716,0.197903,0.128972,0.298336,0.196027,0.127465,0.218756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052961,0.391533,0.027406,-0.056134,0.274947,0.108702,0.007970,0.393211,0.024839,-0.000812,0.246431,0.134806,-0.016372,0.296024,0.140082,-0.309927,0.474282,0.123615,-0.354671,0.467322,0.109975,-0.368614,0.403178,0.117717,-0.417259,0.373112,0.144161,-0.457315,0.370651,0.092715
3,0.012500,-0.940658,0.146202,-0.051726,-0.301849,-0.051592,0.198147,0.178050,-0.861176,-0.322704,-0.106708,-0.377957,-0.282494,0.303914,0.180675,-0.000230,-0.000002,-0.000135,-1.000000,0.038817,0.138073,0.300254,0.215571,0.141159,0.428284,0.168498,0.141553,0.560961,-0.122316,0.143173,0.486995,-0.123881,0.141842,0.557394,0.231220,0.122180,0.562634,-0.249243,0.325852,0.180886,0.197754,0.130624,0.380940,0.039119,0.125556,0.223328,0.039336,0.124192,0.299179,0.039118,0.123907,0.380648,-0.107453,0.133655,0.377999,-0.107787,0.131714,0.225695,-0.107824,0.132072,0.298726,0.197912,0.128972,0.298357,0.196026,0.127454,0.218773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052884,0.391526,0.027448,-0.056201,0.274885,0.108674,0.007887,0.393185,0.024852,-0.000892,0.246421,0.134800,-0.016480,0.295994,0.140093,-0.309918,0.474224,0.123665,-0.354652,0.467276,0.109976,-0.368614,0.403128,0.117729,-0.417256,0.373080,0.144163,-0.457302,0.370610,0.092705
4,0.016667,-0.940651,0.146050,-0.052125,-0.301876,-0.051684,0.198108,0.178055,-0.861169,-0.322609,-0.106774,-0.378036,-0.282535,0.303861,0.180716,-0.000218,0.000005,-0.000143,-1.000000,0.038821,0.138060,0.300275,0.215585,0.141148,0.428325,0.168501,0.141551,0.560977,-0.122322,0.143166,0.487014,-0.123882,0.141827,0.557415,0.231214,0.122178,0.562645,-0.249262,0.325802,0.180916,0.197763,0.130624,0.380960,0.039113,0.125545,0.223344,0.039339,0.124177,0.299197,0.039119,0.123906,0.380658,-0.107458,0.133641,0.378018,-0.107793,0.131701,0.225700,-0.107835,0.132055,0.298739,0.197904,0.128970,0.298369,0.196023,0.127462,0.218785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052795,0.391508,0.027480,-0.056292,0.274826,0.108658,0.007789,0.393156,0.024862,-0.000976,0.246396,0.134832,-0.016602,0.295970,0.140102,-0.309919,0.474162,0.123685,-0.354666,0.467227,0.109986,-0.368625,0.403085,0.117747,-0.417278,0.373042,0.144162,-0.457310,0.370574,0.092698
5,0.020833,-0.940635,0.145914,-0.052602,-0.301909,-0.051770,0.198073,0.178045,-0.861130,-0.322537,-0.106916,-0.378146,-0.282550,0.303823,0.180754,-0.000229,-0.000017,-0.000133,-1.000000,0.038826,0.138050,0.300272,0.215587,0.141136,0.428296,0.168522,0.141532,0.560976,-0.122308,0.143154,0.487018,-0.123861,0.141819,0.557416,0.231228,0.122157,0.562647,-0.249262,0.325759,0.180946,0.197786,0.130617,0.380952,0.039130,0.125534,0.223332,0.039347,0.124169,0.299192,0.039137,0.123895,0.380658,-0.107435,0.133651,0.378023,-0.107789,0.131686,0.225699,-0.107831,0.132047,0.298734,0.197923,0.128966,0.298370,0.196046,0.127464,0.218794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052723,0.391495,0.027506,-0.056369,0.274776,0.108614,0.007724,0.393129,0.024853,-0.001055,0.246373,0.134869,-0.016699,0.295938,0.140103,-0.309910,0.474120,0.123687,-0.354647,0.467188,0.109982,-0.368620,0.403037,0.117743,-0.417274,0.372999,0.144151,-0.457292,0.370530,0.092651
