Format Version,1.23,Take Name,cap_010,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 08.17.20.874 PM,Total Frames in Take,2286,Total Exported Frames,2286,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,Unlabeled 1155,Unlabeled 1155,Unlabeled 1155,Unlabeled 1156,Unlabeled 1156,Unlabeled 1156,Unlabeled 1157,Unlabeled 1157,Unlabeled 1157,Unlabeled 1158,Unlabeled 1158,Unlabeled 1158,Unlabeled 1159,Unlabeled 1159,Unlabeled 1159,Unlabeled 1160,Unlabeled 1160,Unlabeled 1160,Unlabeled 1161,Unlabeled 1161,Unlabeled 1161,Unlabeled 1162,Unlabeled 1162,Unlabeled 1162,Unlabeled 1163,Unlabeled 1163,Unlabeled 1163,Unlabeled 1164,Unlabeled 1164,Unlabeled 1164,Unlabeled 1165,Unlabeled 1165,Unlabeled 1165,Unlabeled 1166,Unlabeled 1166,Unlabeled 1166,Unlabeled 1167,Unlabeled 1167,Unlabeled 1167,Unlabeled 1168,Unlabeled 1168,Unlabeled 1168,Unlabeled 1169,Unlabeled 1169,Unlabeled 1169,Unlabeled 1170,Unlabeled 1170,Unlabeled 1170,Unlabeled 1171,Unlabeled 1171,Unlabeled 1171,Unlabeled 1172,Unlabeled 1172,Unlabeled 1172,Unlabeled 1173,Unlabeled 1173,Unlabeled 1173,Unlabeled 1174,Unlabeled 1174,Unlabeled 1174,Unlabeled 1175,Unlabeled 1175,Unlabeled 1175,Unlabeled 1176,Unlabeled 1176,Unlabeled 1176,Unlabeled 1177,Unlabeled 1177,Unlabeled 1177,Unlabeled 1178,Unlabeled 1178,Unlabeled 1178,Unlabeled 1179,Unlabeled 1179,Unlabeled 1179,Unlabeled 1180,Unlabeled 1180,Unlabeled 1180,Unlabeled 1181,Unlabeled 1181,Unlabeled 1181,Unlabeled 1183,Unlabeled 1183,Unlabeled 1183,Unlabeled 1185,Unlabeled 1185,Unlabeled 1185,Unlabeled 1186,Unlabeled 1186,Unlabeled 1186,Unlabeled 1187,Unlabeled 1187,Unlabeled 1187,Unlabeled 1188,Unlabeled 1188,Unlabeled 1188,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker5,chisel_july10:Marker5,chisel_july10:Marker5,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker5,gripper_july10:Marker5,gripper_july10:Marker5
,ID,"29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","CF380","CF380","CF380","CF3D0","CF3D0","CF3D0","CF470","CF470","CF470","CF2F0","CF2F0","CF2F0","CF370","CF370","CF370","CF310","CF310","CF310","CF3B0","CF3B0","CF3B0","CF420","CF420","CF420","CF440","CF440","CF440","CFA40","CFA40","CFA40","CFA50","CFA50","CFA50","CFA60","CFA60","CFA60","CFA70","CFA70","CFA70","CFA80","CFA80","CFA80","CFA90","CFA90","CFA90","CFAF0","CFAF0","CFAF0","CFB00","CFB00","CFB00","CFB10","CFB10","CFB10","CFB20","CFB20","CFB20","CFB40","CFB40","CFB40","CFB50","CFB50","CFB50","CFB60","CFB60","CFB60","CFB30","CFB30","CFB30","CFBB0","CFBB0","CFBB0","CFB80","CFB80","CFB80","CFBC0","CFBC0","CFBC0","CFBD0","CFBD0","CFBD0","CFBE0","CFBE0","CFBE0","CFB70","CFB70","CFB70","CFA30","CFA30","CFA30","CFC00","CFC00","CFC00","CFC20","CFC20","CFC20","CFC60","CFC60","CFC60","CFC70","CFC70","CFC70","CFC80","CFC80","CFC80","CFC90","CFC90","CFC90","CFCA0","CFCA0","CFCA0","CF3E0","CF3E0","CF3E0","CFAB0","CFAB0","CFAB0","CF530","CF530","CF530","CFAC0","CFAC0","CFAC0","CF7C0","CF7C0","CF7C0","CF480","CF480","CF480","CFA20","CFA20","CFA20","CFA10","CFA10","CFA10","CF330","CF330","CF330","CFAD0","CFAD0","CFAD0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.924323,0.119381,-0.032187,-0.361025,0.137395,0.235442,0.171434,-0.829008,-0.249366,-0.060157,-0.496935,-0.282789,0.333309,0.209529,-0.000265,-0.000067,-0.000158,-1.000000,0.038790,0.138058,0.300343,0.215582,0.141152,0.428340,0.168524,0.141546,0.561020,-0.122368,0.143129,0.487097,-0.123851,0.141806,0.557514,0.231208,0.122133,0.562719,-0.241525,0.351759,0.206832,0.197705,0.130623,0.380951,0.039274,0.123783,0.299258,0.039085,0.123711,0.380745,0.038914,0.124935,0.223382,-0.107874,0.131543,0.225777,-0.107866,0.132047,0.298824,-0.107541,0.133699,0.378135,0.197944,0.129172,0.298353,0.195801,0.127618,0.218679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225332,0.411792,-0.007517,0.125930,0.303429,0.094022,0.180184,0.412078,-0.007072,0.183474,0.279581,0.119420,0.166802,0.328857,0.119481,-0.278282,0.486049,0.111536,-0.323157,0.484021,0.097402,-0.348254,0.426162,0.118264,-0.402388,0.411991,0.147262,-0.439984,0.402494,0.094822
1,0.004167,-0.924300,0.119284,-0.032600,-0.361080,0.137397,0.235433,0.171411,-0.829037,-0.249360,-0.060041,-0.496903,-0.282744,0.333309,0.209506,-0.000285,-0.000079,-0.000165,-1.000000,0.038820,0.138061,0.300350,0.215615,0.141150,0.428348,0.168554,0.141540,0.561019,-0.122331,0.143124,0.487109,-0.123808,0.141794,0.557526,0.231242,0.122130,0.562721,-0.241459,0.351774,0.206836,0.197741,0.130623,0.380949,0.039306,0.123772,0.299273,0.039121,0.123709,0.380756,0.038935,0.124930,0.223376,-0.107831,0.131543,0.225787,-0.107842,0.132057,0.298829,-0.107505,0.133684,0.378144,0.197977,0.129162,0.298345,0.195838,0.127610,0.218685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225374,0.411785,-0.007524,0.125941,0.303410,0.093956,0.180222,0.412050,-0.007108,0.183499,0.279584,0.119432,0.166803,0.328833,0.119468,-0.278232,0.486059,0.111529,-0.323114,0.484022,0.097383,-0.348226,0.426178,0.118254,-0.402336,0.412010,0.147264,-0.439945,0.402515,0.094835
2,0.008333,-0.924267,0.119249,-0.032964,-0.361143,0.137376,0.235433,0.171378,-0.828811,-0.249272,-0.059983,-0.497331,-0.282745,0.333384,0.209613,-0.000491,-0.000065,-0.000196,-1.000000,0.038863,0.138156,0.300342,0.215707,0.141218,0.428323,0.168584,0.141536,0.561016,-0.122308,0.143108,0.487099,-0.123785,0.141796,0.557531,0.231262,0.122116,0.562717,-0.241398,0.351798,0.206831,0.197755,0.130614,0.380954,0.039324,0.123776,0.299267,0.039136,0.123699,0.380753,0.038924,0.124931,0.223358,-0.107826,0.131544,0.225793,-0.107837,0.132047,0.298827,-0.107481,0.133706,0.378137,0.197998,0.129161,0.298353,0.195856,0.127612,0.218684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225412,0.411779,-0.007542,0.125930,0.303384,0.093894,0.180259,0.412026,-0.007164,0.183501,0.279576,0.119423,0.166795,0.328838,0.119448,-0.278202,0.486075,0.111510,-0.323057,0.483930,0.097312,-0.348184,0.426192,0.118257,-0.402305,0.412037,0.147272,-0.439921,0.402522,0.094839
3,0.012500,-0.924241,0.119199,-0.033307,-0.361192,0.137367,0.235441,0.171328,-0.828698,-0.249240,-0.059893,-0.497546,-0.282712,0.333440,0.209653,-0.000253,-0.000141,-0.000193,-1.000000,0.038836,0.138054,0.300313,0.215647,0.141151,0.428328,0.168585,0.141543,0.561001,-0.122298,0.143126,0.487081,-0.123774,0.141795,0.557510,0.231329,0.122172,0.562597,-0.241346,0.351824,0.206799,0.197780,0.130626,0.380932,0.039328,0.123787,0.299252,0.039151,0.123714,0.380730,0.038943,0.124931,0.223334,-0.107798,0.131548,0.225780,-0.107813,0.132059,0.298805,-0.107462,0.133694,0.378120,0.198009,0.129168,0.298333,0.195865,0.127615,0.218670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225446,0.411787,-0.007578,0.125934,0.303374,0.093820,0.180303,0.412015,-0.007230,0.183512,0.279587,0.119402,0.166793,0.328836,0.119398,-0.278157,0.486084,0.111479,-0.322999,0.483913,0.097265,-0.348152,0.426222,0.118253,-0.402252,0.412068,0.147271,-0.439886,0.402543,0.094844
4,0.016667,-0.924207,0.119236,-0.033554,-0.361246,0.137320,0.235436,0.171278,-0.828587,-0.249195,-0.059775,-0.497767,-0.282703,0.333485,0.209706,-0.000228,-0.000136,-0.000190,-1.000000,0.038821,0.138051,0.300293,0.215636,0.141155,0.428312,0.168568,0.141560,0.560972,-0.122313,0.143127,0.487060,-0.123797,0.141808,0.557491,0.231306,0.122170,0.562582,-0.241320,0.351849,0.206770,0.197749,0.130624,0.380924,0.039311,0.123792,0.299234,0.039130,0.123716,0.380720,0.038927,0.124954,0.223325,-0.107819,0.131559,0.225752,-0.107837,0.132069,0.298792,-0.107482,0.133690,0.378095,0.197998,0.129182,0.298317,0.195856,0.127627,0.218655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225466,0.411765,-0.007619,0.125926,0.303357,0.093758,0.180322,0.411980,-0.007296,0.183479,0.279568,0.119363,0.166754,0.328829,0.119346,-0.278136,0.486121,0.111473,-0.322960,0.483872,0.097230,-0.348132,0.426245,0.118253,-0.402224,0.412085,0.147284,-0.439871,0.402564,0.094869
5,0.020833,-0.924189,0.119246,-0.033732,-0.361272,0.137297,0.235441,0.171212,-0.828565,-0.249290,-0.059803,-0.497754,-0.282647,0.333546,0.209709,-0.000224,-0.000120,-0.000197,-1.000000,0.038807,0.138060,0.300260,0.215608,0.141169,0.428272,0.168553,0.141564,0.560957,-0.122325,0.143133,0.487020,-0.123822,0.141821,0.557451,0.231285,0.122190,0.562558,-0.241290,0.351885,0.206728,0.197730,0.130633,0.380893,0.039295,0.123808,0.299203,0.039121,0.123728,0.380690,0.038928,0.124951,0.223309,-0.107833,0.131565,0.225717,-0.107842,0.132076,0.298761,-0.107493,0.133688,0.378055,0.197977,0.129183,0.298296,0.195837,0.127635,0.218623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225482,0.411755,-0.007671,0.125924,0.303347,0.093690,0.180346,0.411973,-0.007367,0.183472,0.279580,0.119296,0.166731,0.328831,0.119283,-0.278116,0.486147,0.111461,-0.322932,0.483951,0.097241,-0.348109,0.426282,0.118260,-0.402184,0.412134,0.147294,-0.439848,0.402584,0.094880
