Format Version,1.23,Take Name,cap_011,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 08.17.49.442 PM,Total Frames in Take,2178,Total Exported Frames,2178,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,Unlabeled 1204,Unlabeled 1204,Unlabeled 1204,Unlabeled 1205,Unlabeled 1205,Unlabeled 1205,Unlabeled 1206,Unlabeled 1206,Unlabeled 1206,Unlabeled 1207,Unlabeled 1207,Unlabeled 1207,Unlabeled 1208,Unlabeled 1208,Unlabeled 1208,Unlabeled 1209,Unlabeled 1209,Unlabeled 1209,Unlabeled 1210,Unlabeled 1210,Unlabeled 1210,Unlabeled 1211,Unlabeled 1211,Unlabeled 1211,Unlabeled 1212,Unlabeled 1212,Unlabeled 1212,Unlabeled 1213,Unlabeled 1213,Unlabeled 1213,Unlabeled 1214,Unlabeled 1214,Unlabeled 1214,Unlabeled 1215,Unlabeled 1215,Unlabeled 1215,Unlabeled 1216,Unlabeled 1216,Unlabeled 1216,Unlabeled 1217,Unlabeled 1217,Unlabeled 1217,Unlabeled 1218,Unlabeled 1218,Unlabeled 1218,Unlabeled 1219,Unlabeled 1219,Unlabeled 1219,Unlabeled 1220,Unlabeled 1220,Unlabeled 1220,Unlabeled 1221,Unlabeled 1221,Unlabeled 1221,Unlabeled 1222,Unlabeled 1222,Unlabeled 1222,Unlabeled 1224,Unlabeled 1224,Unlabeled 1224,Unlabeled 1225,Unlabeled 1225,Unlabeled 1225,Unlabeled 1226,Unlabeled 1226,Unlabeled 1226,Unlabeled 1227,Unlabeled 1227,Unlabeled 1227,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker5,chisel_july10:Marker5,chisel_july10:Marker5,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker5,gripper_july10:Marker5,gripper_july10:Marker5
,ID,"29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","CFD40","CFD40","CFD40","CFD70","CFD70","CFD70","CFDE0","CFDE0","CFDE0","CFDF0","CFDF0","CFDF0","CFD30","CFD30","CFD30","CFD80","CFD80","CFD80","CFD90","CFD90","CFD90","CFDA0","CFDA0","CFDA0","CFDB0","CFDB0","CFDB0","CFDD0","CFDD0","CFDD0","CFE80","CFE80","CFE80","CFE90","CFE90","CFE90","CFEB0","CFEB0","CFEB0","CFED0","CFED0","CFED0","CFEE0","CFEE0","CFEE0","CFFA0","CFFA0","CFFA0","CFFB0","CFFB0","CFFB0","CFFD0","CFFD0","CFFD0","CFFC0","CFFC0","CFFC0","CFC10","CFC10","CFC10","CFFE0","CFFE0","CFFE0","D0000","D0000","D0000","D0010","D0010","D0010","D0050","D0050","D0050","D0060","D0060","D0060","D0070","D0070","D0070","D0090","D0090","D0090","D00B0","D00B0","D00B0","CFC30","CFC30","CFC30","CFBF0","CFBF0","CFBF0","CFD00","CFD00","CFD00","CFD10","CFD10","CFD10","CFD20","CFD20","CFD20","CFE00","CFE00","CFE00","CFF70","CFF70","CFF70","CFE10","CFE10","CFE10","CFE20","CFE20","CFE20","CFF20","CFF20","CFF20"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.840401,0.298879,-0.289044,-0.347636,0.084690,0.252186,0.155529,-0.829516,-0.358528,-0.137810,-0.405425,-0.231627,0.265126,0.193803,-0.000541,-0.000070,0.000036,-1.000000,0.038831,0.138230,0.300307,0.215598,0.141128,0.428299,0.168548,0.141531,0.560972,-0.122220,0.143369,0.487069,-0.123850,0.141791,0.557490,0.231236,0.122134,0.562679,0.038869,0.124989,0.223313,0.039135,0.123933,0.299154,0.039071,0.123757,0.380697,-0.194838,0.296590,0.193902,-0.107538,0.133711,0.378102,-0.107710,0.131968,0.298641,-0.107899,0.131501,0.225754,0.195724,0.127682,0.218635,0.197700,0.130548,0.380896,0.197945,0.129162,0.298290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.289924,0.390697,0.057082,0.132457,0.310362,0.084252,0.253648,0.396433,0.031014,0.159181,0.282532,0.139196,0.155069,0.333262,0.128010,-0.272412,0.428115,0.125197,-0.315744,0.416196,0.109881,-0.323521,0.351467,0.120870,-0.370354,0.318210,0.146746,-0.407081,0.308760,0.093553
1,0.004167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.008333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.012500,-0.841625,0.298329,-0.285869,-0.347772,0.083907,0.251941,0.156084,-0.829637,-0.358320,-0.137799,-0.405365,-0.231819,0.264967,0.193654,-0.000503,-0.000060,0.000031,-1.000000,0.038835,0.138213,0.300296,0.215597,0.141122,0.428288,0.168544,0.141535,0.560964,-0.122219,0.143368,0.487054,-0.123847,0.141790,0.557477,0.231230,0.122141,0.562677,0.038883,0.124967,0.223300,0.039154,0.123918,0.299146,0.039074,0.123764,0.380676,-0.195017,0.296487,0.193816,-0.107544,0.133714,0.378088,-0.107701,0.131972,0.298620,-0.107902,0.131496,0.225731,0.195725,0.127677,0.218618,0.197705,0.130543,0.380879,0.197949,0.129163,0.298280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.288600,0.390530,0.056611,0.131221,0.310195,0.084579,0.252120,0.396373,0.030792,0.158290,0.282287,0.139329,0.154205,0.333070,0.128328,-0.272537,0.428010,0.125099,-0.315843,0.416107,0.109754,-0.323688,0.351353,0.120719,-0.370528,0.318112,0.146601,-0.407229,0.308702,0.093417
4,0.016667,-0.842185,0.298305,-0.284261,-0.347756,0.083650,0.251916,0.156300,-0.829757,-0.358291,-0.137749,-0.405161,-0.231885,0.264902,0.193549,-0.000526,-0.000058,0.000044,-1.000000,0.038829,0.138230,0.300292,0.215594,0.141126,0.428285,0.168533,0.141536,0.560960,-0.122226,0.143384,0.487053,-0.123852,0.141794,0.557469,0.231225,0.122141,0.562674,0.038873,0.124976,0.223293,0.039139,0.123925,0.299140,0.039071,0.123772,0.380680,-0.195100,0.296444,0.193779,-0.107550,0.133701,0.378076,-0.107704,0.131962,0.298615,-0.107901,0.131494,0.225726,0.195720,0.127676,0.218614,0.197699,0.130555,0.380879,0.197941,0.129171,0.298279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.288148,0.390523,0.056398,0.130790,0.310257,0.084756,0.251580,0.396351,0.030706,0.158007,0.282214,0.139352,0.153927,0.333033,0.128415,-0.272601,0.427983,0.125061,-0.315916,0.416074,0.109751,-0.323759,0.351324,0.120665,-0.370604,0.318102,0.146540,-0.407298,0.308695,0.093379
5,0.020833,-0.842714,0.298272,-0.282761,-0.347726,0.083412,0.251888,0.156480,-0.829960,-0.358321,-0.137623,-0.404761,-0.231920,0.264830,0.193370,-0.000488,-0.000122,0.000017,-1.000000,0.038811,0.138238,0.300264,0.215594,0.141145,0.428271,0.168535,0.141556,0.560956,-0.122222,0.143394,0.487037,-0.123856,0.141821,0.557462,0.231272,0.122198,0.562554,0.038882,0.124994,0.223284,0.039138,0.123952,0.299121,0.039074,0.123790,0.380664,-0.195161,0.296411,0.193726,-0.107537,0.133722,0.378062,-0.107700,0.131989,0.298600,-0.107894,0.131526,0.225717,0.195723,0.127701,0.218612,0.197698,0.130571,0.380877,0.197944,0.129171,0.298271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.287716,0.390496,0.056182,0.130361,0.310287,0.084878,0.251099,0.396379,0.030587,0.157755,0.282145,0.139366,0.153657,0.333004,0.128503,-0.272659,0.427961,0.125013,-0.315988,0.416077,0.109751,-0.323824,0.351305,0.120594,-0.370673,0.318089,0.146476,-0.407370,0.308705,0.093336
