Format Version,1.23,Take Name,cap_013,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 08.19.47.175 PM,Total Frames in Take,3582,Total Exported Frames,3582,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,Unlabeled 1358,Unlabeled 1358,Unlabeled 1358,Unlabeled 1359,Unlabeled 1359,Unlabeled 1359,Unlabeled 1360,Unlabeled 1360,Unlabeled 1360,Unlabeled 1361,Unlabeled 1361,Unlabeled 1361,Unlabeled 1362,Unlabeled 1362,Unlabeled 1362,Unlabeled 1363,Unlabeled 1363,Unlabeled 1363,Unlabeled 1364,Unlabeled 1364,Unlabeled 1364,Unlabeled 1365,Unlabeled 1365,Unlabeled 1365,Unlabeled 1366,Unlabeled 1366,Unlabeled 1366,Unlabeled 1367,Unlabeled 1367,Unlabeled 1367,Unlabeled 1368,Unlabeled 1368,Unlabeled 1368,Unlabeled 1370,Unlabeled 1370,Unlabeled 1370,Unlabeled 1371,Unlabeled 1371,Unlabeled 1371,Unlabeled 1372,Unlabeled 1372,Unlabeled 1372,Unlabeled 1374,Unlabeled 1374,Unlabeled 1374,Unlabeled 1375,Unlabeled 1375,Unlabeled 1375,Unlabeled 1376,Unlabeled 1376,Unlabeled 1376,Unlabeled 1379,Unlabeled 1379,Unlabeled 1379,Unlabeled 1382,Unlabeled 1382,Unlabeled 1382,Unlabeled 1383,Unlabeled 1383,Unlabeled 1383,Unlabeled 1384,Unlabeled 1384,Unlabeled 1384,Unlabeled 1385,Unlabeled 1385,Unlabeled 1385,Unlabeled 1386,Unlabeled 1386,Unlabeled 1386,Unlabeled 1387,Unlabeled 1387,Unlabeled 1387,Unlabeled 1388,Unlabeled 1388,Unlabeled 1388,Unlabeled 1389,Unlabeled 1389,Unlabeled 1389,Unlabeled 1390,Unlabeled 1390,Unlabeled 1390,Unlabeled 1391,Unlabeled 1391,Unlabeled 1391,Unlabeled 1392,Unlabeled 1392,Unlabeled 1392,Unlabeled 1393,Unlabeled 1393,Unlabeled 1393,Unlabeled 1394,Unlabeled 1394,Unlabeled 1394,Unlabeled 1395,Unlabeled 1395,Unlabeled 1395,Unlabeled 1397,Unlabeled 1397,Unlabeled 1397,Unlabeled 1398,Unlabeled 1398,Unlabeled 1398,Unlabeled 1399,Unlabeled 1399,Unlabeled 1399,Unlabeled 1400,Unlabeled 1400,Unlabeled 1400,Unlabeled 1401,Unlabeled 1401,Unlabeled 1401,Unlabeled 1402,Unlabeled 1402,Unlabeled 1402,Unlabeled 1404,Unlabeled 1404,Unlabeled 1404,Unlabeled 1405,Unlabeled 1405,Unlabeled 1405,Unlabeled 1406,Unlabeled 1406,Unlabeled 1406,Unlabeled 1408,Unlabeled 1408,Unlabeled 1408,Unlabeled 1409,Unlabeled 1409,Unlabeled 1409,Unlabeled 1410,Unlabeled 1410,Unlabeled 1410,Unlabeled 1412,Unlabeled 1412,Unlabeled 1412,Unlabeled 1413,Unlabeled 1413,Unlabeled 1413,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker5,chisel_july10:Marker5,chisel_july10:Marker5,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker5,gripper_july10:Marker5,gripper_july10:Marker5
,ID,"29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","D0B80","D0B80","D0B80","D0BC0","D0BC0","D0BC0","D0C80","D0C80","D0C80","D0C90","D0C90","D0C90","D0B70","D0B70","D0B70","D0BA0","D0BA0","D0BA0","D0BD0","D0BD0","D0BD0","D0BE0","D0BE0","D0BE0","D0BF0","D0BF0","D0BF0","D0C00","D0C00","D0C00","D0C50","D0C50","D0C50","D0D00","D0D00","D0D00","D0D10","D0D10","D0D10","D0D40","D0D40","D0D40","D0D60","D0D60","D0D60","D1180","D1180","D1180","D12F0","D12F0","D12F0","D1330","D1330","D1330","D1300","D1300","D1300","D1350","D1350","D1350","D1370","D1370","D1370","D13B0","D13B0","D13B0","D13F0","D13F0","D13F0","D1410","D1410","D1410","D1440","D1440","D1440","D1460","D1460","D1460","D1420","D1420","D1420","D1450","D1450","D1450","D1490","D1490","D1490","D14B0","D14B0","D14B0","D14D0","D14D0","D14D0","D14C0","D14C0","D14C0","D11D0","D11D0","D11D0","D14F0","D14F0","D14F0","D1510","D1510","D1510","D1520","D1520","D1520","D14A0","D14A0","D14A0","D1540","D1540","D1540","D14E0","D14E0","D14E0","D15A0","D15A0","D15A0","D1570","D1570","D1570","D1560","D1560","D1560","D15B0","D15B0","D15B0","D15E0","D15E0","D15E0","D1620","D1620","D1620","D15F0","D15F0","D15F0","D1650","D1650","D1650","D1660","D1660","D1660","D1640","D1640","D1640","D1680","D1680","D1680","D1690","D1690","D1690","D0D70","D0D70","D0D70","D1290","D1290","D1290","D0D90","D0D90","D0D90","D1270","D1270","D1270","D0FF0","D0FF0","D0FF0","D0C10","D0C10","D0C10","D1260","D1260","D1260","67637BC53F3411EF102BA28485B8CC85","67637BC53F3411EF102BA28485B8CC85","67637BC53F3411EF102BA28485B8CC85","D0C30","D0C30","D0C30","D12E0","D12E0","D12E0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.004167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.008333,-0.776176,0.131727,-0.515982,-0.337582,0.198925,0.138053,0.208581,-0.753941,-0.409146,-0.385422,-0.340033,-0.128312,0.269654,0.138998,-0.000538,-0.000107,0.000025,-1.000000,0.038849,0.138230,0.300276,0.215625,0.141136,0.428254,0.168549,0.141537,0.560942,-0.122223,0.143360,0.487026,-0.123723,0.141795,0.557485,0.231252,0.122136,0.562631,0.197779,0.130553,0.380896,-0.106600,0.312690,0.157416,0.039298,0.123378,0.299124,0.039180,0.123556,0.380648,0.039114,0.124531,0.223286,-0.107368,0.133787,0.377956,-0.107947,0.131214,0.225560,0.195975,0.127711,0.218689,0.198016,0.129208,0.298276,-0.107767,0.132027,0.298670,-0.222845,0.344971,0.053250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.363563,0.330117,0.124673,0.245156,0.196394,0.136509,0.339081,0.315149,0.090070,0.259052,0.193252,0.202425,0.240739,0.235354,0.175145,-0.206057,0.424422,0.083583,-0.234928,0.403105,0.052674,,,,-0.256407,0.288504,0.052015,-0.269399,0.282197,-0.011649
3,0.012500,-0.775587,0.131058,-0.516896,-0.337797,0.198983,0.137835,0.208730,-0.753864,-0.409156,-0.385483,-0.340123,-0.128250,0.269715,0.139045,-0.000754,-0.000155,-0.000036,-1.000000,0.038856,0.138349,0.300260,0.215688,0.141219,0.428250,0.168560,0.141541,0.560941,-0.122227,0.143368,0.487037,-0.123710,0.141798,0.557483,0.231306,0.122181,0.562533,0.197784,0.130559,0.380905,-0.106535,0.312717,0.157426,0.039307,0.123372,0.299125,0.039190,0.123562,0.380650,0.039122,0.124531,0.223299,-0.107357,0.133790,0.377963,-0.107935,0.131197,0.225553,0.195975,0.127716,0.218690,0.198029,0.129204,0.298277,-0.107764,0.132037,0.298671,-0.222774,0.345037,0.053266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.363551,0.329962,0.124747,0.245223,0.195966,0.136686,0.339097,0.314994,0.090132,0.259032,0.193098,0.202520,0.240718,0.235207,0.175209,-0.205986,0.424453,0.083581,-0.234859,0.403151,0.052678,,,,-0.256325,0.288552,0.052039,-0.269305,0.282228,-0.011639
4,0.016667,-0.775416,0.130924,-0.517092,-0.337940,0.198958,0.137721,0.208826,-0.753859,-0.409248,-0.385476,-0.340032,-0.128166,0.269764,0.139034,-0.000530,-0.000108,0.000045,-1.000000,0.038847,0.138244,0.300280,0.215622,0.141145,0.428265,0.168550,0.141558,0.560941,-0.122231,0.143382,0.487034,-0.123717,0.141817,0.557487,0.231248,0.122139,0.562636,0.197774,0.130567,0.380908,-0.106493,0.312750,0.157442,0.039299,0.123380,0.299126,0.039179,0.123574,0.380656,0.039115,0.124542,0.223301,-0.107369,0.133799,0.377969,-0.107944,0.131208,0.225562,0.195971,0.127727,0.218698,0.198018,0.129208,0.298279,-0.107767,0.132048,0.298677,-0.222698,0.345002,0.053251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.363525,0.329826,0.124793,0.245216,0.195840,0.136776,0.339093,0.314844,0.090184,0.258999,0.192990,0.202613,0.240687,0.235060,0.175258,-0.205945,0.424481,0.083580,-0.234814,0.403185,0.052690,,,,-0.256259,0.288565,0.052063,-0.269230,0.282288,-0.011638
5,0.020833,-0.775294,0.130816,-0.517231,-0.338050,0.198945,0.137618,0.208908,-0.753967,-0.409271,-0.385375,-0.339879,-0.128083,0.269798,0.138965,-0.000767,-0.000162,-0.000025,-1.000000,0.038837,0.138390,0.300247,0.215671,0.141252,0.428231,0.168534,0.141573,0.560932,-0.122237,0.143408,0.487020,-0.123725,0.141835,0.557479,0.231297,0.122212,0.562515,0.197764,0.130595,0.380887,-0.106429,0.312792,0.157442,0.039298,0.123393,0.299107,0.039171,0.123597,0.380641,0.039111,0.124567,0.223281,-0.107379,0.133815,0.377952,-0.107933,0.131201,0.225535,0.195967,0.127751,0.218687,0.198015,0.129231,0.298273,-0.107772,0.132064,0.298663,-0.222620,0.345021,0.053217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.363500,0.329713,0.124838,0.245216,0.195734,0.136846,0.339084,0.314687,0.090238,0.258989,0.192876,0.202695,0.240677,0.234960,0.175293,-0.205892,0.424521,0.083570,-0.234766,0.403218,0.052685,,,,-0.256205,0.288615,0.052060,-0.269185,0.282400,-0.011658
