Format Version,1.23,Take Name,cap_016,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 08.29.36.444 PM,Total Frames in Take,3109,Total Exported Frames,3109,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,Unlabeled 1501,Unlabeled 1501,Unlabeled 1501,Unlabeled 1502,Unlabeled 1502,Unlabeled 1502,Unlabeled 1503,Unlabeled 1503,Unlabeled 1503,Unlabeled 1504,Unlabeled 1504,Unlabeled 1504,Unlabeled 1505,Unlabeled 1505,Unlabeled 1505,Unlabeled 1506,Unlabeled 1506,Unlabeled 1506,Unlabeled 1507,Unlabeled 1507,Unlabeled 1507,Unlabeled 1508,Unlabeled 1508,Unlabeled 1508,Unlabeled 1509,Unlabeled 1509,Unlabeled 1509,Unlabeled 1510,Unlabeled 1510,Unlabeled 1510,Unlabeled 1511,Unlabeled 1511,Unlabeled 1511,Unlabeled 1512,Unlabeled 1512,Unlabeled 1512,Unlabeled 1513,Unlabeled 1513,Unlabeled 1513,Unlabeled 1515,Unlabeled 1515,Unlabeled 1515,Unlabeled 1516,Unlabeled 1516,Unlabeled 1516,Unlabeled 1518,Unlabeled 1518,Unlabeled 1518,Unlabeled 1521,Unlabeled 1521,Unlabeled 1521,Unlabeled 1522,Unlabeled 1522,Unlabeled 1522,Unlabeled 1523,Unlabeled 1523,Unlabeled 1523,Unlabeled 1524,Unlabeled 1524,Unlabeled 1524,Unlabeled 1525,Unlabeled 1525,Unlabeled 1525,Unlabeled 1527,Unlabeled 1527,Unlabeled 1527,Unlabeled 1528,Unlabeled 1528,Unlabeled 1528,Unlabeled 1529,Unlabeled 1529,Unlabeled 1529,Unlabeled 1530,Unlabeled 1530,Unlabeled 1530,Unlabeled 1531,Unlabeled 1531,Unlabeled 1531,Unlabeled 1532,Unlabeled 1532,Unlabeled 1532,Unlabeled 1533,Unlabeled 1533,Unlabeled 1533,Unlabeled 1534,Unlabeled 1534,Unlabeled 1534,Unlabeled 1536,Unlabeled 1536,Unlabeled 1536,Unlabeled 1537,Unlabeled 1537,Unlabeled 1537,Unlabeled 1538,Unlabeled 1538,Unlabeled 1538,Unlabeled 1540,Unlabeled 1540,Unlabeled 1540,Unlabeled 1541,Unlabeled 1541,Unlabeled 1541,Unlabeled 1542,Unlabeled 1542,Unlabeled 1542,Unlabeled 1543,Unlabeled 1543,Unlabeled 1543,Unlabeled 1544,Unlabeled 1544,Unlabeled 1544,Unlabeled 1545,Unlabeled 1545,Unlabeled 1545,Unlabeled 1546,Unlabeled 1546,Unlabeled 1546,Unlabeled 1547,Unlabeled 1547,Unlabeled 1547,Unlabeled 1548,Unlabeled 1548,Unlabeled 1548,Unlabeled 1549,Unlabeled 1549,Unlabeled 1549,Unlabeled 1550,Unlabeled 1550,Unlabeled 1550,Unlabeled 1551,Unlabeled 1551,Unlabeled 1551,Unlabeled 1552,Unlabeled 1552,Unlabeled 1552,Unlabeled 1553,Unlabeled 1553,Unlabeled 1553,Unlabeled 1554,Unlabeled 1554,Unlabeled 1554,Unlabeled 1555,Unlabeled 1555,Unlabeled 1555,Unlabeled 1556,Unlabeled 1556,Unlabeled 1556,Unlabeled 1557,Unlabeled 1557,Unlabeled 1557,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker5,chisel_july10:Marker5,chisel_july10:Marker5,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker5,gripper_july10:Marker5,gripper_july10:Marker5
,ID,"29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","D1F00","D1F00","D1F00","D1EC0","D1EC0","D1EC0","D1FE0","D1FE0","D1FE0","D1FF0","D1FF0","D1FF0","D1EF0","D1EF0","D1EF0","D1FA0","D1FA0","D1FA0","D3360","D3360","D3360","D33A0","D33A0","D33A0","D33D0","D33D0","D33D0","D34A0","D34A0","D34A0","D34B0","D34B0","D34B0","D34D0","D34D0","D34D0","D3530","D3530","D3530","D3560","D3560","D3560","D3A40","D3A40","D3A40","D3AA0","D3AA0","D3AA0","D3AB0","D3AB0","D3AB0","D3AD0","D3AD0","D3AD0","D3B00","D3B00","D3B00","D39E0","D39E0","D39E0","D3B10","D3B10","D3B10","D3B30","D3B30","D3B30","D3980","D3980","D3980","D3B20","D3B20","D3B20","D3B70","D3B70","D3B70","D3B60","D3B60","D3B60","D3B80","D3B80","D3B80","D3BD0","D3BD0","D3BD0","D3BE0","D3BE0","D3BE0","D3C00","D3C00","D3C00","D3C10","D3C10","D3C10","D3C20","D3C20","D3C20","D3C40","D3C40","D3C40","D3C30","D3C30","D3C30","D3C60","D3C60","D3C60","D3C70","D3C70","D3C70","D3BF0","D3BF0","D3BF0","D3C80","D3C80","D3C80","D3CB0","D3CB0","D3CB0","D3C90","D3C90","D3C90","D3CE0","D3CE0","D3CE0","D3D10","D3D10","D3D10","D3D00","D3D00","D3D00","D3D20","D3D20","D3D20","D3D30","D3D30","D3D30","D3D50","D3D50","D3D50","D3CC0","D3CC0","D3CC0","D3DA0","D3DA0","D3DA0","D3DB0","D3DB0","D3DB0","D3DC0","D3DC0","D3DC0","D3DE0","D3DE0","D3DE0","D3DF0","D3DF0","D3DF0","D3E00","D3E00","D3E00","D3DD0","D3DD0","D3DD0","D3E50","D3E50","D3E50","D3600","D3600","D3600","D37E0","D37E0","D37E0","D3650","D3650","D3650","D38E0","D38E0","D38E0","D38F0","D38F0","D38F0","D39F0","D39F0","D39F0","D3840","D3840","D3840","D3A60","D3A60","D3A60","D3A20","D3A20","D3A20","D38A0","D38A0","D38A0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.839728,0.008198,0.046119,-0.540984,0.048252,0.382022,-0.011427,-0.717100,0.355462,-0.444930,-0.401811,0.314081,0.263568,0.233930,-0.001181,-0.000063,-0.000046,-0.999999,0.038858,0.138525,0.300330,0.215453,0.141319,0.428416,0.168541,0.141539,0.560990,-0.122336,0.143347,0.486942,-0.123429,0.141773,0.557578,0.231202,0.122077,0.562698,0.039020,0.124382,0.380494,0.197677,0.130603,0.380900,0.039215,0.125231,0.299013,-0.107433,0.133042,0.378054,-0.107896,0.132487,0.298748,0.198013,0.129689,0.298265,0.195887,0.127947,0.218725,0.038918,0.126953,0.223187,-0.107852,0.132247,0.225682,0.325488,0.255322,0.278344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061766,0.480922,-0.258363,0.007902,0.413992,-0.101353,0.019024,0.478215,-0.245979,0.073371,0.405134,-0.086184,0.048999,0.449861,-0.098863,0.442570,0.372959,0.301428,0.450806,0.395641,0.260754,0.414828,0.366912,0.213468,0.376938,0.390520,0.168693,0.421262,0.400126,0.121838
1,0.004167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.008333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.012500,-0.839813,0.007988,0.046324,-0.540837,0.048299,0.381927,-0.011474,-0.715754,0.358132,-0.443059,-0.403902,0.312972,0.264701,0.234146,-0.001181,-0.000144,-0.000052,-0.999999,0.038825,0.138563,0.300271,0.215470,0.141351,0.428350,0.168514,0.141573,0.560925,-0.122335,0.143385,0.486913,-0.123427,0.141807,0.557550,0.231219,0.122129,0.562563,0.039026,0.124434,0.380458,0.197669,0.130640,0.380871,0.039206,0.125270,0.298976,-0.107462,0.133077,0.378004,-0.107916,0.132536,0.298707,0.198011,0.129731,0.298242,0.195878,0.127984,0.218709,0.038910,0.126994,0.223164,-0.107893,0.132284,0.225632,0.325474,0.255275,0.278320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061778,0.480988,-0.258436,0.007891,0.413986,-0.101446,0.018847,0.478040,-0.245700,0.073334,0.405064,-0.086306,0.048993,0.449831,-0.098960,0.442511,0.372943,0.301412,0.450732,0.395646,0.260765,0.414752,0.366869,0.213450,0.375574,0.393142,0.169922,0.421208,0.400090,0.121824
4,0.016667,-0.839868,0.008188,0.046421,-0.540740,0.048250,0.381900,-0.011491,-0.715819,0.358035,-0.443148,-0.403775,0.312992,0.264653,0.234151,-0.001205,-0.000139,-0.000042,-0.999999,0.038818,0.138580,0.300303,0.215459,0.141356,0.428410,0.168508,0.141584,0.560953,-0.122341,0.143395,0.486947,-0.123426,0.141815,0.557578,0.231196,0.122124,0.562578,0.039026,0.124430,0.380491,0.197664,0.130654,0.380902,0.039202,0.125280,0.299009,-0.107477,0.133088,0.378014,-0.107932,0.132542,0.298725,0.198005,0.129738,0.298272,0.195873,0.128004,0.218744,0.038910,0.127016,0.223190,-0.107919,0.132286,0.225642,0.325464,0.255279,0.278361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061791,0.481020,-0.258435,0.007863,0.414004,-0.101438,0.018860,0.478063,-0.245700,0.073305,0.405033,-0.086318,0.048969,0.449818,-0.098975,0.442493,0.372942,0.301445,0.450704,0.395652,0.260796,0.414722,0.366854,0.213471,0.375539,0.393126,0.169930,0.421199,0.400083,0.121858
5,0.020833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
