Format Version,1.23,Take Name,cap_019,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 08.31.11.677 PM,Total Frames in Take,1767,Total Exported Frames,1767,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,Unlabeled 1664,Unlabeled 1664,Unlabeled 1664,Unlabeled 1665,Unlabeled 1665,Unlabeled 1665,Unlabeled 1666,Unlabeled 1666,Unlabeled 1666,Unlabeled 1667,Unlabeled 1667,Unlabeled 1667,Unlabeled 1668,Unlabeled 1668,Unlabeled 1668,Unlabeled 1669,Unlabeled 1669,Unlabeled 1669,Unlabeled 1670,Unlabeled 1670,Unlabeled 1670,Unlabeled 1671,Unlabeled 1671,Unlabeled 1671,Unlabeled 1672,Unlabeled 1672,Unlabeled 1672,Unlabeled 1673,Unlabeled 1673,Unlabeled 1673,Unlabeled 1674,Unlabeled 1674,Unlabeled 1674,Unlabeled 1676,Unlabeled 1676,Unlabeled 1676,Unlabeled 1677,Unlabeled 1677,Unlabeled 1677,Unlabeled 1678,Unlabeled 1678,Unlabeled 1678,Unlabeled 1679,Unlabeled 1679,Unlabeled 1679,Unlabeled 1680,Unlabeled 1680,Unlabeled 1680,Unlabeled 1681,Unlabeled 1681,Unlabeled 1681,Unlabeled 1682,Unlabeled 1682,Unlabeled 1682,Unlabeled 1683,Unlabeled 1683,Unlabeled 1683,Unlabeled 1684,Unlabeled 1684,Unlabeled 1684,Unlabeled 1685,Unlabeled 1685,Unlabeled 1685,Unlabeled 1686,Unlabeled 1686,Unlabeled 1686,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker5,chisel_july10:Marker5,chisel_july10:Marker5,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker5,gripper_july10:Marker5,gripper_july10:Marker5
,ID,"29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","D4950","D4950","D4950","D4980","D4980","D4980","D49E0","D49E0","D49E0","D49F0","D49F0","D49F0","D4940","D4940","D4940","D4890","D4890","D4890","D4990","D4990","D4990","D4B20","D4B20","D4B20","D4BB0","D4BB0","D4BB0","D4BC0","D4BC0","D4BC0","D4BE0","D4BE0","D4BE0","D4BF0","D4BF0","D4BF0","D4C00","D4C00","D4C00","D4C10","D4C10","D4C10","D4C20","D4C20","D4C20","D4D10","D4D10","D4D10","D4D40","D4D40","D4D40","D4D50","D4D50","D4D50","D4D60","D4D60","D4D60","D4D70","D4D70","D4D70","D4D80","D4D80","D4D80","D4D90","D4D90","D4D90","D4DA0","D4DA0","D4DA0","D4DC0","D4DC0","D4DC0","D4DD0","D4DD0","D4DD0","D4E00","D4E00","D4E00","D4DF0","D4DF0","D4DF0","D4A30","D4A30","D4A30","D4B10","D4B10","D4B10","D4AF0","D4AF0","D4AF0","D4CB0","D4CB0","D4CB0","D4CE0","D4CE0","D4CE0","D4920","D4920","D4920","D4A70","D4A70","D4A70","D4910","D4910","D4910","D4930","D4930","D4930","D4900","D4900","D4900"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.854383,-0.113338,0.075012,-0.501554,0.171150,0.166602,0.199737,-0.612257,0.167076,-0.577482,-0.513558,0.275322,0.209602,0.231507,-0.001179,-0.000116,-0.000025,-0.999999,0.038814,0.138495,0.300396,0.215470,0.141276,0.428501,0.168494,0.141541,0.561006,-0.122354,0.143329,0.487021,-0.123405,0.141736,0.557690,0.231120,0.122020,0.562718,0.286410,0.228275,0.281191,0.039112,0.124362,0.380532,0.198120,0.129958,0.298396,-0.107824,0.132530,0.298657,-0.107427,0.132927,0.377922,-0.107688,0.132130,0.225667,0.039066,0.126890,0.223219,0.039333,0.125191,0.299051,0.197736,0.130603,0.381004,0.195960,0.127442,0.218782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.123018,0.285285,-0.033793,0.110486,0.198124,0.121507,0.084318,0.273733,-0.014107,0.177850,0.199430,0.124576,0.144731,0.240285,0.121190,0.374321,0.361850,0.236149,0.382177,0.363449,0.189824,0.357160,0.308739,0.162729,0.320510,0.299442,0.112250,0.366704,0.294087,0.066488
1,0.004167,-0.854420,-0.113497,0.074956,-0.501464,0.171306,0.166481,0.199844,-0.612071,0.166915,-0.577694,-0.513593,0.275320,0.209580,0.231558,-0.001211,-0.000123,-0.000010,-0.999999,0.038808,0.138507,0.300411,0.215469,0.141274,0.428514,0.168504,0.141536,0.561009,-0.122357,0.143336,0.487038,-0.123407,0.141732,0.557712,0.231098,0.122007,0.562737,0.286369,0.228293,0.281238,0.039105,0.124359,0.380544,0.198120,0.129963,0.298405,-0.107831,0.132517,0.298676,-0.107429,0.132933,0.377942,-0.107698,0.132146,0.225683,0.039050,0.126894,0.223239,0.039323,0.125210,0.299060,0.197729,0.130599,0.381011,0.195943,0.127441,0.218796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.123118,0.285187,-0.033644,0.110630,0.198001,0.121616,0.084434,0.273640,-0.013952,0.177980,0.199344,0.124690,0.144857,0.240167,0.121295,0.374266,0.361861,0.236162,0.382142,0.363440,0.189822,0.357147,0.308709,0.162760,0.320509,0.299377,0.112277,0.366730,0.294014,0.066512
2,0.008333,-0.854434,-0.113497,0.075105,-0.501419,0.171468,0.166352,0.199964,-0.611937,0.166743,-0.577873,-0.513608,0.275339,0.209564,0.231624,-0.001236,-0.000130,-0.000007,-0.999999,0.038812,0.138516,0.300429,0.215466,0.141279,0.428527,0.168511,0.141533,0.561033,-0.122353,0.143331,0.487053,-0.123402,0.141735,0.557732,0.231122,0.121997,0.562750,0.286345,0.228311,0.281293,0.039110,0.124369,0.380556,0.198115,0.129960,0.298424,-0.107822,0.132509,0.298695,-0.107434,0.132938,0.377958,-0.107693,0.132150,0.225702,0.039046,0.126906,0.223260,0.039324,0.125205,0.299079,0.197737,0.130607,0.381027,0.195939,0.127450,0.218807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.123242,0.285072,-0.033502,0.110794,0.197879,0.121766,0.084551,0.273551,-0.013805,0.178133,0.199203,0.124819,0.144986,0.240062,0.121407,0.374245,0.361871,0.236185,0.382108,0.363448,0.189839,0.357144,0.308687,0.162805,0.320518,0.299330,0.112313,0.366760,0.293957,0.066563
3,0.012500,-0.854413,-0.113579,0.075238,-0.501415,0.171639,0.166240,0.200096,-0.611601,0.166788,-0.578011,-0.513838,0.275266,0.209609,0.231711,-0.001216,-0.000071,0.000005,-0.999999,0.038846,0.138504,0.300481,0.215462,0.141276,0.428565,0.168517,0.141518,0.561071,-0.122351,0.143333,0.487083,-0.123408,0.141739,0.557763,0.231167,0.121990,0.562894,0.286273,0.228307,0.281376,0.039105,0.124366,0.380590,0.198111,0.129970,0.298445,-0.107810,0.132505,0.298732,-0.107434,0.132928,0.377991,-0.107698,0.132140,0.225743,0.039047,0.126905,0.223288,0.039318,0.125208,0.299118,0.197732,0.130613,0.381061,0.195934,0.127461,0.218844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.123332,0.284955,-0.033371,0.110950,0.197760,0.121917,0.084651,0.273444,-0.013655,0.178280,0.199081,0.124974,0.145132,0.239947,0.121536,0.374226,0.361876,0.236227,0.382092,0.363446,0.189884,0.357137,0.308666,0.162869,0.320516,0.299291,0.112370,0.366818,0.293868,0.066655
4,0.016667,-0.854365,-0.113660,0.075276,-0.501474,0.171789,0.166169,0.200237,-0.611335,0.166728,-0.578219,-0.513940,0.275246,0.209631,0.231800,-0.001207,-0.000061,0.000005,-0.999999,0.038858,0.138500,0.300506,0.215469,0.141279,0.428597,0.168522,0.141512,0.561097,-0.122353,0.143326,0.487103,-0.123398,0.141749,0.557782,0.231185,0.121991,0.562924,0.286263,0.228315,0.281439,0.039103,0.124374,0.380617,0.198114,0.129995,0.298479,-0.107792,0.132511,0.298761,-0.107433,0.132934,0.378015,-0.107694,0.132144,0.225762,0.039053,0.126916,0.223311,0.039320,0.125218,0.299143,0.197736,0.130629,0.381089,0.195939,0.127467,0.218873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.123431,0.284847,-0.033242,0.111076,0.197670,0.122077,0.084764,0.273334,-0.013525,0.178443,0.198987,0.125112,0.145244,0.239867,0.121661,0.374205,0.361880,0.236272,0.382061,0.363463,0.189941,0.357145,0.308670,0.162935,0.320539,0.299260,0.112429,0.366874,0.293796,0.066758
5,0.020833,-0.854345,-0.113788,0.075256,-0.501482,0.171928,0.166070,0.200343,-0.609071,0.167993,-0.578595,-0.515790,0.274545,0.210133,0.231939,-0.001263,-0.000077,0.000017,-0.999999,0.038848,0.138524,0.300516,0.215456,0.141285,0.428600,0.168528,0.141509,0.561107,-0.122356,0.143331,0.487117,-0.123405,0.141749,0.557797,0.231184,0.121975,0.562927,0.286252,0.228306,0.281493,0.039094,0.124374,0.380629,0.198103,0.129994,0.298491,-0.107809,0.132496,0.298778,-0.107438,0.132931,0.378027,-0.107701,0.132152,0.225777,0.039046,0.126909,0.223328,0.039316,0.125229,0.299154,0.197729,0.130628,0.381103,0.195929,0.127468,0.218880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.123515,0.284730,-0.033136,0.111200,0.197545,0.122191,0.084861,0.273217,-0.013413,0.178558,0.198896,0.125210,0.145364,0.239763,0.121776,0.374189,0.361883,0.236324,0.382047,0.363462,0.189987,0.357143,0.308651,0.162987,0.320544,0.299236,0.112479,0.367237,0.293302,0.066990
