Format Version,1.23,Take Name,cap_023,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 08.33.02.508 PM,Total Frames in Take,2918,Total Exported Frames,2918,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,Unlabeled 1853,Unlabeled 1853,Unlabeled 1853,Unlabeled 1854,Unlabeled 1854,Unlabeled 1854,Unlabeled 1855,Unlabeled 1855,Unlabeled 1855,Unlabeled 1856,Unlabeled 1856,Unlabeled 1856,Unlabeled 1857,Unlabeled 1857,Unlabeled 1857,Unlabeled 1858,Unlabeled 1858,Unlabeled 1858,Unlabeled 1859,Unlabeled 1859,Unlabeled 1859,Unlabeled 1860,Unlabeled 1860,Unlabeled 1860,Unlabeled 1861,Unlabeled 1861,Unlabeled 1861,Unlabeled 1862,Unlabeled 1862,Unlabeled 1862,Unlabeled 1863,Unlabeled 1863,Unlabeled 1863,Unlabeled 1865,Unlabeled 1865,Unlabeled 1865,Unlabeled 1866,Unlabeled 1866,Unlabeled 1866,Unlabeled 1867,Unlabeled 1867,Unlabeled 1867,Unlabeled 1868,Unlabeled 1868,Unlabeled 1868,Unlabeled 1869,Unlabeled 1869,Unlabeled 1869,Unlabeled 1870,Unlabeled 1870,Unlabeled 1870,Unlabeled 1871,Unlabeled 1871,Unlabeled 1871,Unlabeled 1872,Unlabeled 1872,Unlabeled 1872,Unlabeled 1875,Unlabeled 1875,Unlabeled 1875,Unlabeled 1877,Unlabeled 1877,Unlabeled 1877,Unlabeled 1878,Unlabeled 1878,Unlabeled 1878,Unlabeled 1880,Unlabeled 1880,Unlabeled 1880,Unlabeled 1881,Unlabeled 1881,Unlabeled 1881,Unlabeled 1882,Unlabeled 1882,Unlabeled 1882,Unlabeled 1883,Unlabeled 1883,Unlabeled 1883,Unlabeled 1884,Unlabeled 1884,Unlabeled 1884,Unlabeled 1885,Unlabeled 1885,Unlabeled 1885,Unlabeled 1886,Unlabeled 1886,Unlabeled 1886,Unlabeled 1887,Unlabeled 1887,Unlabeled 1887,Unlabeled 1888,Unlabeled 1888,Unlabeled 1888,Unlabeled 1889,Unlabeled 1889,Unlabeled 1889,Unlabeled 1891,Unlabeled 1891,Unlabeled 1891,Unlabeled 1892,Unlabeled 1892,Unlabeled 1892,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker5,chisel_july10:Marker5,chisel_july10:Marker5,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker5,gripper_july10:Marker5,gripper_july10:Marker5
,ID,"29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","D4950","D4950","D4950","D4980","D4980","D4980","D49E0","D49E0","D49E0","D49F0","D49F0","D49F0","D4940","D4940","D4940","D4990","D4990","D4990","D4FC0","D4FC0","D4FC0","D4FD0","D4FD0","D4FD0","D5870","D5870","D5870","D5C00","D5C00","D5C00","D5C90","D5C90","D5C90","D5CA0","D5CA0","D5CA0","D5CD0","D5CD0","D5CD0","D5CE0","D5CE0","D5CE0","D5CF0","D5CF0","D5CF0","D5E40","D5E40","D5E40","D5E50","D5E50","D5E50","D5E60","D5E60","D5E60","D5E80","D5E80","D5E80","D5E90","D5E90","D5E90","D5D60","D5D60","D5D60","D5EC0","D5EC0","D5EC0","D5ED0","D5ED0","D5ED0","D5EA0","D5EA0","D5EA0","D5EB0","D5EB0","D5EB0","D5F20","D5F20","D5F20","D5F30","D5F30","D5F30","D5F50","D5F50","D5F50","D5F10","D5F10","D5F10","D5F60","D5F60","D5F60","D5F70","D5F70","D5F70","D5F80","D5F80","D5F80","D5F90","D5F90","D5F90","D5FB0","D5FB0","D5FB0","D5FC0","D5FC0","D5FC0","D5FD0","D5FD0","D5FD0","D5FF0","D5FF0","D5FF0","D6010","D6010","D6010","D5FE0","D5FE0","D5FE0","D4A30","D4A30","D4A30","D5D30","D5D30","D5D30","D4AF0","D4AF0","D4AF0","D55E0","D55E0","D55E0","D5DC0","D5DC0","D5DC0","D4920","D4920","D4920","D5760","D5760","D5760","D4910","D4910","D4910","D4930","D4930","D4930","D5780","D5780","D5780"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.864854,-0.089051,0.140439,-0.473682,0.099242,0.285538,0.076668,-0.739193,0.206834,-0.396721,-0.503414,0.337963,0.244287,0.225064,0.000858,-0.000409,0.000222,-1.000000,0.038726,0.137487,0.300353,0.215313,0.140616,0.428382,0.168549,0.141520,0.560953,-0.122327,0.143313,0.486971,-0.123283,0.141715,0.557737,0.231274,0.122070,0.562578,0.039133,0.123822,0.380599,0.197771,0.130586,0.380921,0.039219,0.124307,0.299030,0.038999,0.125680,0.223249,0.368780,0.246279,0.272287,-0.107730,0.132069,0.225666,0.195963,0.127749,0.218721,-0.107832,0.132379,0.298589,0.198017,0.129832,0.298295,-0.107380,0.133686,0.377917,0.071094,0.374968,0.043233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044308,0.419113,-0.147180,0.035812,0.326979,0.005682,0.006560,0.411334,-0.124148,,,,0.074448,0.365129,0.003250,0.464437,0.374654,0.228559,0.458488,0.387798,0.183491,0.415425,0.346402,0.155467,0.364443,0.356196,0.119758,0.393036,0.357245,0.060985
1,0.004167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.008333,-0.864440,-0.087793,0.139369,-0.474986,0.096006,0.288367,0.074493,-0.739425,0.205144,-0.396007,-0.504326,0.339742,0.245017,0.225796,0.000817,-0.000408,0.000216,-1.000000,0.038744,0.137513,0.300376,0.215352,0.140637,0.428413,0.168551,0.141518,0.560962,-0.122329,0.143317,0.486989,-0.123265,0.141726,0.557770,0.231304,0.122081,0.562600,0.039152,0.123812,0.380633,0.197795,0.130598,0.380954,0.039214,0.124320,0.299052,0.038995,0.125702,0.223272,0.370801,0.247206,0.272854,-0.107726,0.132073,0.225682,0.195953,0.127773,0.218748,-0.107838,0.132403,0.298613,0.198012,0.129835,0.298314,-0.107383,0.133696,0.377931,0.068197,0.377575,0.041094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041896,0.421359,-0.149860,0.032808,0.329660,0.003190,0.004044,0.413634,-0.126953,,,,0.071512,0.367786,0.000720,0.466027,0.375466,0.228548,0.459984,0.388599,0.183539,0.416875,0.347106,0.155702,0.365752,0.356735,0.120187,0.394114,0.357668,0.061266
3,0.012500,-0.864358,-0.087253,0.138297,-0.475549,0.094359,0.289715,0.073498,-0.739657,0.204534,-0.395428,-0.504687,0.340607,0.245369,0.226121,0.000747,-0.000413,0.000207,-1.000000,0.038753,0.137550,0.300379,0.215384,0.140662,0.428380,0.168568,0.141524,0.560981,-0.122329,0.143323,0.486994,-0.123260,0.141724,0.557781,0.231305,0.122081,0.562611,0.039152,0.123821,0.380639,0.197795,0.130598,0.380961,0.039207,0.124315,0.299055,0.038994,0.125707,0.223275,0.371751,0.247560,0.273134,-0.107728,0.132083,0.225690,0.195954,0.127776,0.218760,-0.107838,0.132392,0.298619,0.198014,0.129843,0.298319,-0.107379,0.133697,0.377936,0.066820,0.378879,0.040147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040739,0.422462,-0.151152,0.031351,0.330967,0.001950,0.002850,0.414769,-0.128326,,,,0.070031,0.368998,-0.000308,0.466906,0.375901,0.228603,0.460743,0.388893,0.183554,0.417605,0.347436,0.155840,0.366384,0.357013,0.120400,0.394693,0.357953,0.061441
4,0.016667,-0.864239,-0.086139,0.138536,-0.475897,0.092811,0.290855,0.072361,-0.739621,0.204025,-0.394868,-0.505385,0.341345,0.245833,0.226506,0.000824,-0.000419,0.000212,-1.000000,0.038739,0.137511,0.300376,0.215349,0.140638,0.428405,0.168549,0.141524,0.560960,-0.122323,0.143316,0.486994,-0.123262,0.141724,0.557774,0.231300,0.122082,0.562599,0.039145,0.123823,0.380632,0.197785,0.130601,0.380960,0.039210,0.124334,0.299055,0.038994,0.125709,0.223274,0.372673,0.248063,0.273376,-0.107728,0.132094,0.225690,0.195954,0.127781,0.218761,-0.107836,0.132412,0.298619,0.198017,0.129851,0.298321,-0.107379,0.133701,0.377939,0.065443,0.380036,0.039008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039631,0.423533,-0.152446,0.029925,0.332185,0.000787,0.001680,0.415825,-0.129684,,,,0.068699,0.370072,-0.001598,0.467662,0.376327,0.228600,0.461507,0.389251,0.183567,0.418272,0.347765,0.156001,0.366997,0.357324,0.120590,0.395194,0.358224,0.061600
5,0.020833,-0.864076,-0.085501,0.137848,-0.476509,0.091289,0.292170,0.071352,-0.739946,0.203200,-0.394638,-0.505421,0.342206,0.246051,0.226755,0.000779,-0.000425,0.000199,-1.000000,0.038734,0.137538,0.300363,0.215363,0.140661,0.428357,0.168562,0.141535,0.560966,-0.122329,0.143318,0.486988,-0.123274,0.141726,0.557763,0.231277,0.122084,0.562589,0.039130,0.123820,0.380618,0.197768,0.130606,0.380951,0.039219,0.124314,0.299051,0.038997,0.125697,0.223270,0.373566,0.248335,0.273508,-0.107721,0.132085,0.225686,0.195952,0.127783,0.218759,-0.107828,0.132403,0.298617,0.198024,0.129853,0.298317,-0.107374,0.133696,0.377936,0.064092,0.381271,0.037994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038545,0.424600,-0.153714,0.028535,0.333474,-0.000421,0.000580,0.416861,-0.131010,,,,0.067343,0.371270,-0.002744,0.468381,0.376608,0.228635,0.462146,0.389629,0.183590,0.418896,0.348095,0.156102,0.367608,0.357533,0.120776,0.395687,0.358427,0.061738
