Format Version,1.23,Take Name,cap_025,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 08.34.09.176 PM,Total Frames in Take,3350,Total Exported Frames,3350,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,Unlabeled 1963,Unlabeled 1963,Unlabeled 1963,Unlabeled 1964,Unlabeled 1964,Unlabeled 1964,Unlabeled 1965,Unlabeled 1965,Unlabeled 1965,Unlabeled 1966,Unlabeled 1966,Unlabeled 1966,Unlabeled 1967,Unlabeled 1967,Unlabeled 1967,Unlabeled 1968,Unlabeled 1968,Unlabeled 1968,Unlabeled 1969,Unlabeled 1969,Unlabeled 1969,Unlabeled 1970,Unlabeled 1970,Unlabeled 1970,Unlabeled 1971,Unlabeled 1971,Unlabeled 1971,Unlabeled 1972,Unlabeled 1972,Unlabeled 1972,Unlabeled 1973,Unlabeled 1973,Unlabeled 1973,Unlabeled 1974,Unlabeled 1974,Unlabeled 1974,Unlabeled 1975,Unlabeled 1975,Unlabeled 1975,Unlabeled 1976,Unlabeled 1976,Unlabeled 1976,Unlabeled 1979,Unlabeled 1979,Unlabeled 1979,Unlabeled 1980,Unlabeled 1980,Unlabeled 1980,Unlabeled 1981,Unlabeled 1981,Unlabeled 1981,Unlabeled 1983,Unlabeled 1983,Unlabeled 1983,Unlabeled 1984,Unlabeled 1984,Unlabeled 1984,Unlabeled 1985,Unlabeled 1985,Unlabeled 1985,Unlabeled 1986,Unlabeled 1986,Unlabeled 1986,Unlabeled 1987,Unlabeled 1987,Unlabeled 1987,Unlabeled 1988,Unlabeled 1988,Unlabeled 1988,Unlabeled 1989,Unlabeled 1989,Unlabeled 1989,Unlabeled 1990,Unlabeled 1990,Unlabeled 1990,Unlabeled 1991,Unlabeled 1991,Unlabeled 1991,Unlabeled 1992,Unlabeled 1992,Unlabeled 1992,Unlabeled 1993,Unlabeled 1993,Unlabeled 1993,Unlabeled 1994,Unlabeled 1994,Unlabeled 1994,Unlabeled 1995,Unlabeled 1995,Unlabeled 1995,Unlabeled 1996,Unlabeled 1996,Unlabeled 1996,Unlabeled 1998,Unlabeled 1998,Unlabeled 1998,Unlabeled 1999,Unlabeled 1999,Unlabeled 1999,Unlabeled 2000,Unlabeled 2000,Unlabeled 2000,Unlabeled 2001,Unlabeled 2001,Unlabeled 2001,Unlabeled 2002,Unlabeled 2002,Unlabeled 2002,Unlabeled 2004,Unlabeled 2004,Unlabeled 2004,Unlabeled 2005,Unlabeled 2005,Unlabeled 2005,Unlabeled 2006,Unlabeled 2006,Unlabeled 2006,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker5,chisel_july10:Marker5,chisel_july10:Marker5,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker5,gripper_july10:Marker5,gripper_july10:Marker5
,ID,"29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","D6020","D6020","D6020","D4980","D4980","D4980","D49E0","D49E0","D49E0","D49F0","D49F0","D49F0","D4940","D4940","D4940","D4990","D4990","D4990","D4FD0","D4FD0","D4FD0","D63F0","D63F0","D63F0","D66A0","D66A0","D66A0","D6700","D6700","D6700","D6760","D6760","D6760","D6780","D6780","D6780","D67A0","D67A0","D67A0","D67C0","D67C0","D67C0","D67D0","D67D0","D67D0","D6820","D6820","D6820","D6830","D6830","D6830","D6850","D6850","D6850","D6860","D6860","D6860","D68B0","D68B0","D68B0","D68A0","D68A0","D68A0","D68D0","D68D0","D68D0","D68E0","D68E0","D68E0","D68F0","D68F0","D68F0","D6900","D6900","D6900","D6910","D6910","D6910","D6940","D6940","D6940","D6960","D6960","D6960","D6970","D6970","D6970","D6930","D6930","D6930","D69A0","D69A0","D69A0","D69B0","D69B0","D69B0","D6980","D6980","D6980","D6990","D6990","D6990","D6950","D6950","D6950","D69C0","D69C0","D69C0","D6A00","D6A00","D6A00","D69F0","D69F0","D69F0","D6A20","D6A20","D6A20","D69D0","D69D0","D69D0","D6A40","D6A40","D6A40","D6A50","D6A50","D6A50","D6A70","D6A70","D6A70","D6A60","D6A60","D6A60","D4A30","D4A30","D4A30","D60A0","D60A0","D60A0","D4AF0","D4AF0","D4AF0","D62F0","D62F0","D62F0","D6220","D6220","D6220","D4920","D4920","D4920","D62A0","D62A0","D62A0","D4910","D4910","D4910","D4930","D4930","D4930","D64F0","D64F0","D64F0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.746785,-0.190646,0.268225,-0.577946,-0.253959,0.438168,-0.088401,-0.761384,0.128089,-0.252869,-0.583048,0.226169,0.396043,0.013487,-0.000754,-0.000373,-0.000024,-1.000000,0.038826,0.138301,0.300311,0.215677,0.141163,0.428243,0.168539,0.141525,0.560900,-0.122258,0.143343,0.487019,-0.123288,0.141721,0.557721,0.231276,0.122110,0.562537,0.039166,0.123727,0.380566,0.039277,0.124095,0.298995,0.270304,0.398767,0.045955,0.198056,0.129874,0.298284,-0.107674,0.132178,0.225562,-0.107766,0.132391,0.298598,-0.107332,0.133011,0.377926,0.039112,0.125356,0.223275,0.196085,0.127872,0.218709,0.197793,0.130612,0.380894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.394510,0.496055,-0.307157,-0.341414,0.453011,-0.141883,-0.421955,0.493642,-0.271549,-0.279019,0.450481,-0.165826,-0.311424,0.490580,-0.167154,0.354237,0.513293,-0.039888,0.334250,0.523081,-0.081420,0.281727,0.483892,-0.088722,0.222282,0.495780,-0.106357,0.229262,0.489173,-0.170938
1,0.004167,-0.746849,-0.189880,0.268349,-0.578058,-0.253577,0.438315,-0.088014,-0.761238,0.128365,-0.253189,-0.583039,0.226476,0.396096,0.014044,-0.000739,-0.000364,-0.000016,-1.000000,0.038818,0.138296,0.300288,0.215666,0.141156,0.428225,0.168530,0.141523,0.560871,-0.122263,0.143352,0.486994,-0.123302,0.141721,0.557698,0.231256,0.122114,0.562524,0.039155,0.123735,0.380542,0.039290,0.124076,0.298971,0.270602,0.398783,0.046600,0.198046,0.129882,0.298257,-0.107670,0.132155,0.225540,-0.107777,0.132389,0.298565,-0.107346,0.133011,0.377895,0.039100,0.125380,0.223253,0.196072,0.127862,0.218673,0.197776,0.130609,0.380863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.393885,0.496282,-0.306929,-0.340975,0.453261,-0.141533,-0.421350,0.493880,-0.271315,-0.278558,0.450639,-0.165481,-0.310928,0.490705,-0.166859,0.354610,0.513354,-0.039198,0.334652,0.523103,-0.080817,0.282119,0.483927,-0.088110,0.222720,0.495802,-0.105834,0.229741,0.489226,-0.170360
2,0.008333,-0.747060,-0.189377,0.268112,-0.578061,-0.253197,0.438424,-0.087583,-0.761206,0.128516,-0.253551,-0.582891,0.226798,0.396062,0.014592,-0.000697,-0.000353,-0.000012,-1.000000,0.038802,0.138266,0.300299,0.215627,0.141137,0.428260,0.168511,0.141514,0.560870,-0.122273,0.143337,0.487003,-0.123317,0.141716,0.557699,0.231234,0.122104,0.562538,0.039146,0.123723,0.380547,0.039290,0.124059,0.298986,0.270861,0.398795,0.047207,0.198026,0.129866,0.298258,-0.107684,0.132153,0.225544,-0.107789,0.132377,0.298566,-0.107356,0.132992,0.377895,0.039071,0.125380,0.223254,0.196061,0.127845,0.218675,0.197768,0.130589,0.380864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.393235,0.496490,-0.306613,-0.340543,0.453440,-0.141245,-0.420747,0.494082,-0.271036,-0.278084,0.450773,-0.165034,-0.310440,0.490829,-0.166520,0.354916,0.513353,-0.038562,0.335016,0.523129,-0.080147,0.282480,0.483891,-0.087504,0.223137,0.495808,-0.105264,0.230192,0.489223,-0.169788
3,0.012500,-0.747189,-0.189144,0.267747,-0.578139,-0.252777,0.438623,-0.087148,-0.761049,0.128807,-0.253777,-0.582933,0.227110,0.396068,0.015188,-0.000708,-0.000340,-0.000009,-1.000000,0.038815,0.138249,0.300306,0.215640,0.141110,0.428270,0.168521,0.141485,0.560892,-0.122268,0.143326,0.487005,-0.123310,0.141686,0.557701,0.231235,0.122090,0.562542,0.039163,0.123695,0.380549,0.039304,0.124048,0.298990,0.271110,0.398805,0.047833,0.198035,0.129833,0.298272,-0.107677,0.132121,0.225552,-0.107778,0.132349,0.298573,-0.107346,0.132979,0.377902,0.039068,0.125380,0.223263,0.196074,0.127819,0.218679,0.197783,0.130568,0.380879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.392639,0.496680,-0.306332,-0.340067,0.453620,-0.140876,-0.420182,0.494294,-0.270780,-0.277580,0.450957,-0.164623,-0.309933,0.491054,-0.166089,0.355377,0.513366,-0.037825,0.335426,0.523083,-0.079507,0.282865,0.483871,-0.086877,0.223561,0.495774,-0.104697,0.230617,0.489220,-0.169244
4,0.016667,-0.747349,-0.188703,0.267738,-0.578081,-0.252339,0.438703,-0.086739,-0.761183,0.128981,-0.254186,-0.582541,0.227480,0.395931,0.015683,-0.000817,-0.000275,0.000065,-1.000000,0.038833,0.138271,0.300327,0.215648,0.141096,0.428277,0.168541,0.141476,0.560913,-0.122267,0.143311,0.487011,-0.123303,0.141685,0.557707,0.231147,0.121978,0.562631,0.039168,0.123670,0.380557,0.039289,0.124043,0.298995,0.271402,0.398806,0.048451,0.198052,0.129821,0.298284,-0.107676,0.132126,0.225556,-0.107777,0.132342,0.298572,-0.107339,0.132960,0.377907,0.039067,0.125384,0.223274,0.196082,0.127797,0.218694,0.197788,0.130567,0.380893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.392021,0.496887,-0.306011,-0.339568,0.453785,-0.140505,-0.419587,0.494487,-0.270455,-0.277087,0.451035,-0.164242,-0.309444,0.491187,-0.165713,0.355744,0.513313,-0.037157,0.335838,0.523085,-0.078801,0.283290,0.483832,-0.086263,0.223945,0.495727,-0.104165,0.231150,0.489193,-0.168623
5,0.020833,-0.747457,-0.188020,0.267697,-0.578183,-0.251972,0.438841,-0.086290,-0.761007,0.129266,-0.254348,-0.582637,0.227792,0.395969,0.016299,-0.000722,-0.000341,-0.000017,-1.000000,0.038847,0.138247,0.300318,0.215674,0.141114,0.428283,0.168561,0.141488,0.560920,-0.122247,0.143302,0.487017,-0.123287,0.141688,0.557711,0.231282,0.122069,0.562542,0.039187,0.123675,0.380564,0.039286,0.124054,0.298986,0.271727,0.398784,0.049033,0.198077,0.129829,0.298288,-0.107685,0.132129,0.225532,-0.107759,0.132348,0.298583,-0.107322,0.132961,0.377913,0.039074,0.125422,0.223285,0.196105,0.127809,0.218701,0.197814,0.130559,0.380899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.391375,0.497051,-0.305656,-0.339143,0.453977,-0.140198,-0.418950,0.494728,-0.270151,-0.276669,0.451194,-0.163812,-0.308968,0.491347,-0.165390,0.356099,0.513300,-0.036496,0.336251,0.523023,-0.078148,0.283717,0.483853,-0.085640,0.224381,0.495725,-0.103551,0.231586,0.489206,-0.168061
