Format Version,1.23,Take Name,cap_027,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 08.36.26.701 PM,Total Frames in Take,2001,Total Exported Frames,2001,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,Unlabeled 2064,Unlabeled 2064,Unlabeled 2064,Unlabeled 2065,Unlabeled 2065,Unlabeled 2065,Unlabeled 2066,Unlabeled 2066,Unlabeled 2066,Unlabeled 2067,Unlabeled 2067,Unlabeled 2067,Unlabeled 2068,Unlabeled 2068,Unlabeled 2068,Unlabeled 2069,Unlabeled 2069,Unlabeled 2069,Unlabeled 2070,Unlabeled 2070,Unlabeled 2070,Unlabeled 2071,Unlabeled 2071,Unlabeled 2071,Unlabeled 2072,Unlabeled 2072,Unlabeled 2072,Unlabeled 2073,Unlabeled 2073,Unlabeled 2073,Unlabeled 2075,Unlabeled 2075,Unlabeled 2075,Unlabeled 2076,Unlabeled 2076,Unlabeled 2076,Unlabeled 2077,Unlabeled 2077,Unlabeled 2077,Unlabeled 2078,Unlabeled 2078,Unlabeled 2078,Unlabeled 2079,Unlabeled 2079,Unlabeled 2079,Unlabeled 2080,Unlabeled 2080,Unlabeled 2080,Unlabeled 2081,Unlabeled 2081,Unlabeled 2081,Unlabeled 2082,Unlabeled 2082,Unlabeled 2082,Unlabeled 2083,Unlabeled 2083,Unlabeled 2083,Unlabeled 2084,Unlabeled 2084,Unlabeled 2084,Unlabeled 2085,Unlabeled 2085,Unlabeled 2085,Unlabeled 2086,Unlabeled 2086,Unlabeled 2086,Unlabeled 2087,Unlabeled 2087,Unlabeled 2087,Unlabeled 2088,Unlabeled 2088,Unlabeled 2088,Unlabeled 2089,Unlabeled 2089,Unlabeled 2089,Unlabeled 2090,Unlabeled 2090,Unlabeled 2090,Unlabeled 2091,Unlabeled 2091,Unlabeled 2091,Unlabeled 2093,Unlabeled 2093,Unlabeled 2093,Unlabeled 2094,Unlabeled 2094,Unlabeled 2094,Unlabeled 2095,Unlabeled 2095,Unlabeled 2095,Unlabeled 2096,Unlabeled 2096,Unlabeled 2096,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker5,chisel_july10:Marker5,chisel_july10:Marker5,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker5,gripper_july10:Marker5,gripper_july10:Marker5
,ID,"29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","D6020","D6020","D6020","D4980","D4980","D4980","D49E0","D49E0","D49E0","D49F0","D49F0","D49F0","D4940","D4940","D4940","D4FD0","D4FD0","D4FD0","D63F0","D63F0","D63F0","D67A0","D67A0","D67A0","D6A20","D6A20","D6A20","D7420","D7420","D7420","D7480","D7480","D7480","D74F0","D74F0","D74F0","D7540","D7540","D7540","D7570","D7570","D7570","D76D0","D76D0","D76D0","D7740","D7740","D7740","D7750","D7750","D7750","D7760","D7760","D7760","D7770","D7770","D7770","D7780","D7780","D7780","D77B0","D77B0","D77B0","D77A0","D77A0","D77A0","D77C0","D77C0","D77C0","D77D0","D77D0","D77D0","D77F0","D77F0","D77F0","D7800","D7800","D7800","D7810","D7810","D7810","D7820","D7820","D7820","D7830","D7830","D7830","D7840","D7840","D7840","D7850","D7850","D7850","D77E0","D77E0","D77E0","D7880","D7880","D7880","D7870","D7870","D7870","D78B0","D78B0","D78B0","D78D0","D78D0","D78D0","D7660","D7660","D7660","D76F0","D76F0","D76F0","D7640","D7640","D7640","D76C0","D76C0","D76C0","D76E0","D76E0","D76E0","D4920","D4920","D4920","D72A0","D72A0","D72A0","D72E0","D72E0","D72E0","D6A10","D6A10","D6A10","D7090","D7090","D7090"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.878741,0.088308,-0.063831,-0.464695,-0.095267,0.201111,0.168934,-0.842584,-0.389679,0.083146,-0.362338,-0.264633,0.284241,0.204926,0.000556,-0.000433,0.000136,-1.000000,0.038678,0.137489,0.300249,0.215352,0.140659,0.428294,0.168459,0.141109,0.560748,-0.122413,0.143021,0.486912,-0.123323,0.141734,0.557645,0.231263,0.122093,0.562490,0.039157,0.123818,0.298979,-0.234990,0.304346,0.190986,0.038861,0.124947,0.223135,0.038961,0.123421,0.380512,-0.107417,0.133917,0.377921,0.195867,0.127561,0.218604,0.197518,0.130263,0.380843,0.197748,0.129574,0.298217,-0.107872,0.132429,0.298620,-0.107961,0.132052,0.225603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.014304,0.336808,-0.045503,-0.109383,0.248999,0.077845,-0.059417,0.333479,-0.045677,-0.050426,0.234612,0.108473,-0.070735,0.281252,0.096797,-0.313693,0.447432,0.141708,-0.360712,0.442857,0.148310,-0.369238,0.378126,0.166985,-0.403926,0.353498,0.213276,-0.460377,0.346263,0.181333
1,0.004167,-0.878790,0.087895,-0.064347,-0.464610,-0.095190,0.200977,0.169013,-0.842625,-0.389822,0.083457,-0.362019,-0.264573,0.284307,0.204776,0.000456,-0.000379,0.000191,-1.000000,0.038678,0.137523,0.300252,0.215353,0.140661,0.428286,0.168463,0.141108,0.560740,-0.122414,0.143020,0.486899,-0.123338,0.141739,0.557648,0.231157,0.122017,0.562554,0.039154,0.123808,0.298973,-0.234929,0.304431,0.190959,0.038867,0.124947,0.223124,0.038966,0.123411,0.380506,-0.107420,0.133930,0.377932,0.195873,0.127569,0.218597,0.197524,0.130251,0.380847,0.197745,0.129566,0.298215,-0.107892,0.132427,0.298623,-0.107954,0.132052,0.225597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.014278,0.336764,-0.045385,-0.109313,0.248817,0.077909,-0.059390,0.333426,-0.045572,-0.050380,0.234556,0.108575,-0.070699,0.281160,0.096913,-0.313655,0.447461,0.141631,-0.360668,0.442845,0.148229,-0.369193,0.378188,0.166943,-0.403869,0.353577,0.213264,-0.460312,0.346308,0.181369
2,0.008333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.012500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.016667,-0.878896,0.087382,-0.064914,-0.464427,-0.095023,0.200748,0.169340,-0.842473,-0.390206,0.084039,-0.361823,-0.264347,0.284528,0.204544,0.000414,-0.000378,0.000189,-1.000000,0.038694,0.137544,0.300275,0.215373,0.140675,0.428308,0.168472,0.141105,0.560756,-0.122391,0.143022,0.486918,-0.123337,0.141742,0.557679,0.231180,0.122018,0.562578,0.039170,0.123843,0.298999,-0.234697,0.304667,0.190885,0.038877,0.124981,0.223156,0.038985,0.123444,0.380525,-0.107428,0.133916,0.377971,0.195891,0.127575,0.218622,0.197541,0.130266,0.380866,0.197775,0.129581,0.298233,-0.107912,0.132433,0.298658,-0.107934,0.132092,0.225622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.014193,0.336720,-0.044970,-0.109168,0.248601,0.078236,-0.059310,0.333295,-0.045202,-0.050229,0.234387,0.108952,-0.070604,0.280995,0.097264,-0.313531,0.447587,0.141392,-0.360544,0.442900,0.147976,-0.369025,0.378361,0.166845,-0.403693,0.353746,0.213225,-0.460103,0.346425,0.181402
5,0.020833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
