Format Version,1.23,Take Name,cap_028,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 08.37.01.942 PM,Total Frames in Take,2470,Total Exported Frames,2470,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,Unlabeled 2114,Unlabeled 2114,Unlabeled 2114,Unlabeled 2115,Unlabeled 2115,Unlabeled 2115,Unlabeled 2116,Unlabeled 2116,Unlabeled 2116,Unlabeled 2117,Unlabeled 2117,Unlabeled 2117,Unlabeled 2118,Unlabeled 2118,Unlabeled 2118,Unlabeled 2119,Unlabeled 2119,Unlabeled 2119,Unlabeled 2120,Unlabeled 2120,Unlabeled 2120,Unlabeled 2121,Unlabeled 2121,Unlabeled 2121,Unlabeled 2122,Unlabeled 2122,Unlabeled 2122,Unlabeled 2123,Unlabeled 2123,Unlabeled 2123,Unlabeled 2124,Unlabeled 2124,Unlabeled 2124,Unlabeled 2125,Unlabeled 2125,Unlabeled 2125,Unlabeled 2126,Unlabeled 2126,Unlabeled 2126,Unlabeled 2127,Unlabeled 2127,Unlabeled 2127,Unlabeled 2128,Unlabeled 2128,Unlabeled 2128,Unlabeled 2129,Unlabeled 2129,Unlabeled 2129,Unlabeled 2130,Unlabeled 2130,Unlabeled 2130,Unlabeled 2131,Unlabeled 2131,Unlabeled 2131,Unlabeled 2132,Unlabeled 2132,Unlabeled 2132,Unlabeled 2133,Unlabeled 2133,Unlabeled 2133,Unlabeled 2134,Unlabeled 2134,Unlabeled 2134,Unlabeled 2135,Unlabeled 2135,Unlabeled 2135,Unlabeled 2136,Unlabeled 2136,Unlabeled 2136,Unlabeled 2137,Unlabeled 2137,Unlabeled 2137,Unlabeled 2138,Unlabeled 2138,Unlabeled 2138,Unlabeled 2139,Unlabeled 2139,Unlabeled 2139,Unlabeled 2140,Unlabeled 2140,Unlabeled 2140,Unlabeled 2141,Unlabeled 2141,Unlabeled 2141,Unlabeled 2142,Unlabeled 2142,Unlabeled 2142,Unlabeled 2143,Unlabeled 2143,Unlabeled 2143,Unlabeled 2144,Unlabeled 2144,Unlabeled 2144,Unlabeled 2145,Unlabeled 2145,Unlabeled 2145,Unlabeled 2147,Unlabeled 2147,Unlabeled 2147,Unlabeled 2149,Unlabeled 2149,Unlabeled 2149,Unlabeled 2150,Unlabeled 2150,Unlabeled 2150,Unlabeled 2151,Unlabeled 2151,Unlabeled 2151,Unlabeled 2153,Unlabeled 2153,Unlabeled 2153,Unlabeled 2154,Unlabeled 2154,Unlabeled 2154,Unlabeled 2155,Unlabeled 2155,Unlabeled 2155,Unlabeled 2156,Unlabeled 2156,Unlabeled 2156,Unlabeled 2158,Unlabeled 2158,Unlabeled 2158,Unlabeled 2159,Unlabeled 2159,Unlabeled 2159,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker5,chisel_july10:Marker5,chisel_july10:Marker5,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker5,gripper_july10:Marker5,gripper_july10:Marker5
,ID,"29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","D6020","D6020","D6020","D4980","D4980","D4980","D49E0","D49E0","D49E0","D49F0","D49F0","D49F0","D4940","D4940","D4940","D4FD0","D4FD0","D4FD0","D63F0","D63F0","D63F0","D67A0","D67A0","D67A0","D6A20","D6A20","D6A20","D79E0","D79E0","D79E0","D7A40","D7A40","D7A40","D7A50","D7A50","D7A50","D7AA0","D7AA0","D7AA0","D7AB0","D7AB0","D7AB0","D7AE0","D7AE0","D7AE0","D7BD0","D7BD0","D7BD0","D7BE0","D7BE0","D7BE0","D7B80","D7B80","D7B80","D7BF0","D7BF0","D7BF0","D7C00","D7C00","D7C00","D7C40","D7C40","D7C40","D7C50","D7C50","D7C50","D7C10","D7C10","D7C10","D7C60","D7C60","D7C60","D7C80","D7C80","D7C80","D7C90","D7C90","D7C90","D7CA0","D7CA0","D7CA0","D7CB0","D7CB0","D7CB0","D7CC0","D7CC0","D7CC0","D7CD0","D7CD0","D7CD0","D7CE0","D7CE0","D7CE0","D7CF0","D7CF0","D7CF0","D7D10","D7D10","D7D10","D7D00","D7D00","D7D00","D7D20","D7D20","D7D20","D7D40","D7D40","D7D40","D7D60","D7D60","D7D60","D7D80","D7D80","D7D80","D7DD0","D7DD0","D7DD0","D7DA0","D7DA0","D7DA0","D7D50","D7D50","D7D50","D7E10","D7E10","D7E10","D7E50","D7E50","D7E50","D7E40","D7E40","D7E40","D7E60","D7E60","D7E60","D7C70","D7C70","D7C70","D7E70","D7E70","D7E70","D7AF0","D7AF0","D7AF0","D7B20","D7B20","D7B20","D7B00","D7B00","D7B00","D7B10","D7B10","D7B10","D7890","D7890","D7890","D4920","D4920","D4920","D7B50","D7B50","D7B50","D7970","D7970","D7970","D6A10","D6A10","D6A10","D7090","D7090","D7090"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.853676,0.210053,-0.257014,-0.401322,-0.088089,0.173403,0.196523,-0.836428,-0.365773,-0.124962,-0.388566,-0.226588,0.307161,0.219259,0.001030,-0.000404,0.000031,-0.999999,0.038616,0.137309,0.300361,0.215288,0.140629,0.428351,0.168427,0.141486,0.560938,-0.122471,0.142994,0.487010,-0.123388,0.141700,0.557740,0.231108,0.121981,0.562622,0.039160,0.124023,0.299112,-0.202394,0.325887,0.220058,0.038736,0.124847,0.223232,0.038997,0.123731,0.380628,0.197837,0.129823,0.298237,0.197612,0.130549,0.380882,-0.107601,0.132762,0.378007,-0.107930,0.132592,0.298699,-0.107776,0.132307,0.225674,0.195754,0.127534,0.218679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.083369,0.318041,0.052751,-0.058362,0.227297,0.112916,0.043301,0.316604,0.031894,-0.020456,0.208263,0.165484,-0.032306,0.256625,0.149601,-0.270298,0.471691,0.156148,-0.314240,0.459808,0.142157,-0.321470,0.394963,0.152138,-0.367141,0.360987,0.179145,-0.406034,0.352837,0.127335
1,0.004167,-0.853693,0.210073,-0.257020,-0.401272,-0.088151,0.173351,0.196551,-0.836266,-0.365577,-0.125372,-0.388966,-0.226741,0.307180,0.219494,0.001060,-0.000419,0.000028,-0.999999,0.038631,0.137273,0.300408,0.215311,0.140599,0.428402,0.168450,0.141470,0.560975,-0.122453,0.142971,0.487059,-0.123366,0.141674,0.557797,0.231129,0.121961,0.562659,0.039179,0.124003,0.299166,-0.202477,0.325869,0.220175,0.038749,0.124819,0.223272,0.039013,0.123696,0.380668,0.197856,0.129795,0.298276,0.197641,0.130524,0.380928,-0.107585,0.132745,0.378060,-0.107918,0.132564,0.298753,-0.107778,0.132295,0.225722,0.195760,0.127503,0.218726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.083312,0.318011,0.052804,-0.058430,0.227267,0.112948,0.043249,0.316568,0.031935,-0.020514,0.208231,0.165527,-0.032363,0.256544,0.149641,-0.270380,0.471685,0.156277,-0.314300,0.459791,0.142193,-0.321556,0.394948,0.152229,-0.367228,0.360975,0.179196,-0.406096,0.352823,0.127337
2,0.008333,-0.853685,0.210033,-0.257152,-0.401224,-0.088202,0.173295,0.196548,-0.836182,-0.365477,-0.125699,-0.389135,-0.226854,0.307196,0.219627,0.001017,-0.000421,0.000031,-0.999999,0.038659,0.137270,0.300440,0.215343,0.140586,0.428437,0.168478,0.141442,0.561001,-0.122420,0.142950,0.487091,-0.123338,0.141653,0.557833,0.231153,0.121934,0.562687,0.039212,0.123971,0.299199,-0.202547,0.325863,0.220267,0.038776,0.124818,0.223301,0.039042,0.123671,0.380691,0.197883,0.129778,0.298296,0.197669,0.130503,0.380949,-0.107558,0.132733,0.378102,-0.107901,0.132538,0.298777,-0.107776,0.132309,0.225747,0.195798,0.127496,0.218757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.083259,0.317992,0.052843,-0.058490,0.227224,0.112929,0.043204,0.316528,0.031965,-0.020558,0.208207,0.165548,-0.032403,0.256478,0.149657,-0.270457,0.471674,0.156389,-0.314379,0.459797,0.142215,-0.321634,0.394951,0.152285,-0.367299,0.360965,0.179226,-0.406149,0.352824,0.127325
3,0.012500,-0.853663,0.209936,-0.257348,-0.401196,-0.088249,0.173231,0.196530,-0.836093,-0.365302,-0.126046,-0.389379,-0.226974,0.307196,0.219766,0.001046,-0.000432,0.000018,-0.999999,0.038682,0.137235,0.300446,0.215372,0.140564,0.428444,0.168507,0.141424,0.560995,-0.122398,0.142921,0.487103,-0.123308,0.141630,0.557840,0.231182,0.121921,0.562692,0.039237,0.123951,0.299208,-0.202613,0.325860,0.220338,0.038789,0.124802,0.223312,0.039070,0.123640,0.380702,0.197922,0.129753,0.298302,0.197707,0.130491,0.380948,-0.107534,0.132712,0.378109,-0.107875,0.132516,0.298781,-0.107766,0.132291,0.225740,0.195816,0.127484,0.218774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.083201,0.317967,0.052855,-0.058531,0.227162,0.112898,0.043156,0.316496,0.031969,-0.020617,0.208171,0.165556,-0.032449,0.256415,0.149650,-0.270526,0.471677,0.156471,-0.314412,0.459767,0.142232,-0.321697,0.394948,0.152315,-0.367369,0.360954,0.179234,-0.406195,0.352819,0.127289
4,0.016667,-0.853609,0.209585,-0.257834,-0.401183,-0.088264,0.173129,0.196485,-0.836006,-0.365210,-0.126334,-0.389558,-0.227073,0.307218,0.219860,0.001012,-0.000429,0.000006,-0.999999,0.038689,0.137257,0.300434,0.215383,0.140581,0.428429,0.168514,0.141436,0.560974,-0.122390,0.142930,0.487093,-0.123304,0.141626,0.557831,0.231181,0.121925,0.562691,0.039246,0.123954,0.299186,-0.202692,0.325887,0.220379,0.038802,0.124817,0.223298,0.039087,0.123648,0.380689,0.197937,0.129743,0.298279,0.197715,0.130484,0.380926,-0.107530,0.132716,0.378102,-0.107858,0.132517,0.298763,-0.107761,0.132289,0.225724,0.195822,0.127494,0.218760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.083133,0.317950,0.052845,-0.058548,0.227021,0.112818,0.043083,0.316477,0.031952,-0.020661,0.208135,0.165537,-0.032500,0.256372,0.149628,-0.270604,0.471698,0.156520,-0.314459,0.459747,0.142242,-0.321763,0.394960,0.152319,-0.367435,0.360963,0.179230,-0.406235,0.352817,0.127249
5,0.020833,-0.853633,0.209461,-0.257929,-0.401134,-0.088311,0.173061,0.196463,-0.835852,-0.365162,-0.126609,-0.389844,-0.227166,0.307258,0.219974,0.001122,-0.000496,-0.000063,-0.999999,0.038676,0.137235,0.300404,0.215370,0.140594,0.428416,0.168525,0.141434,0.560954,-0.122404,0.142947,0.487080,-0.123300,0.141633,0.557805,0.231277,0.122046,0.562587,0.039237,0.123965,0.299158,-0.202779,0.325908,0.220403,0.038786,0.124832,0.223281,0.039082,0.123660,0.380670,0.197928,0.129746,0.298244,0.197712,0.130488,0.380897,-0.107544,0.132738,0.378089,-0.107853,0.132525,0.298730,-0.107755,0.132273,0.225699,0.195811,0.127508,0.218742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.083044,0.317931,0.052836,-0.058600,0.226957,0.112805,0.043002,0.316457,0.031944,-0.020723,0.208088,0.165520,-0.032564,0.256326,0.149601,-0.270692,0.471717,0.156544,-0.314505,0.459726,0.142232,-0.321826,0.394956,0.152322,-0.367501,0.360969,0.179214,-0.406274,0.352788,0.127222
