Format Version,1.23,Take Name,cap_029,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 08.37.32.408 PM,Total Frames in Take,2302,Total Exported Frames,2302,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,Unlabeled 2175,Unlabeled 2175,Unlabeled 2175,Unlabeled 2176,Unlabeled 2176,Unlabeled 2176,Unlabeled 2177,Unlabeled 2177,Unlabeled 2177,Unlabeled 2178,Unlabeled 2178,Unlabeled 2178,Unlabeled 2179,Unlabeled 2179,Unlabeled 2179,Unlabeled 2180,Unlabeled 2180,Unlabeled 2180,Unlabeled 2181,Unlabeled 2181,Unlabeled 2181,Unlabeled 2182,Unlabeled 2182,Unlabeled 2182,Unlabeled 2183,Unlabeled 2183,Unlabeled 2183,Unlabeled 2184,Unlabeled 2184,Unlabeled 2184,Unlabeled 2186,Unlabeled 2186,Unlabeled 2186,Unlabeled 2187,Unlabeled 2187,Unlabeled 2187,Unlabeled 2188,Unlabeled 2188,Unlabeled 2188,Unlabeled 2189,Unlabeled 2189,Unlabeled 2189,Unlabeled 2190,Unlabeled 2190,Unlabeled 2190,Unlabeled 2191,Unlabeled 2191,Unlabeled 2191,Unlabeled 2192,Unlabeled 2192,Unlabeled 2192,Unlabeled 2193,Unlabeled 2193,Unlabeled 2193,Unlabeled 2194,Unlabeled 2194,Unlabeled 2194,Unlabeled 2195,Unlabeled 2195,Unlabeled 2195,Unlabeled 2196,Unlabeled 2196,Unlabeled 2196,Unlabeled 2197,Unlabeled 2197,Unlabeled 2197,Unlabeled 2198,Unlabeled 2198,Unlabeled 2198,Unlabeled 2199,Unlabeled 2199,Unlabeled 2199,Unlabeled 2201,Unlabeled 2201,Unlabeled 2201,Unlabeled 2202,Unlabeled 2202,Unlabeled 2202,Unlabeled 2203,Unlabeled 2203,Unlabeled 2203,Unlabeled 2204,Unlabeled 2204,Unlabeled 2204,Unlabeled 2205,Unlabeled 2205,Unlabeled 2205,Unlabeled 2206,Unlabeled 2206,Unlabeled 2206,Unlabeled 2207,Unlabeled 2207,Unlabeled 2207,Unlabeled 2208,Unlabeled 2208,Unlabeled 2208,Unlabeled 2209,Unlabeled 2209,Unlabeled 2209,Unlabeled 2210,Unlabeled 2210,Unlabeled 2210,Unlabeled 2211,Unlabeled 2211,Unlabeled 2211,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker5,chisel_july10:Marker5,chisel_july10:Marker5,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker5,gripper_july10:Marker5,gripper_july10:Marker5
,ID,"29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","D7F00","D7F00","D7F00","D7F40","D7F40","D7F40","D7FD0","D7FD0","D7FD0","D7FE0","D7FE0","D7FE0","D7EF0","D7EF0","D7EF0","D7F50","D7F50","D7F50","D7F60","D7F60","D7F60","D7F70","D7F70","D7F70","D7F90","D7F90","D7F90","D80A0","D80A0","D80A0","D80B0","D80B0","D80B0","D80C0","D80C0","D80C0","D80D0","D80D0","D80D0","D80E0","D80E0","D80E0","D8100","D8100","D8100","D8220","D8220","D8220","D8230","D8230","D8230","D8240","D8240","D8240","D8250","D8250","D8250","D8270","D8270","D8270","D8290","D8290","D8290","D8260","D8260","D8260","D82B0","D82B0","D82B0","D82A0","D82A0","D82A0","D82C0","D82C0","D82C0","D8280","D8280","D8280","D82E0","D82E0","D82E0","D82D0","D82D0","D82D0","D82F0","D82F0","D82F0","D8320","D8320","D8320","D8310","D8310","D8310","D8390","D8390","D8390","D8380","D8380","D8380","D83A0","D83A0","D83A0","D83E0","D83E0","D83E0","D83F0","D83F0","D83F0","D83B0","D83B0","D83B0","D8410","D8410","D8410","D83D0","D83D0","D83D0","D8420","D8420","D8420","D7F80","D7F80","D7F80","D8030","D8030","D8030","D8120","D8120","D8120","D7ED0","D7ED0","D7ED0","D7EE0","D7EE0","D7EE0","D7FF0","D7FF0","D7FF0","D8040","D8040","D8040","D8150","D8150","D8150","D8000","D8000","D8000","D8010","D8010","D8010"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.862776,0.184077,-0.168164,-0.439835,-0.095289,0.138289,0.218401,-0.871075,-0.328114,0.000278,-0.365471,-0.242109,0.286119,0.218657,0.000661,-0.000395,-0.000029,-1.000000,0.038716,0.137460,0.300310,0.215521,0.140730,0.428192,0.168466,0.141460,0.560925,-0.122383,0.142952,0.486970,-0.123326,0.141675,0.557727,0.231169,0.121943,0.562594,0.038805,0.125185,0.223198,0.039109,0.123897,0.299022,0.039035,0.123713,0.380621,-0.205694,0.307505,0.210455,-0.108431,0.133116,0.225794,-0.108001,0.132500,0.298702,-0.107504,0.133676,0.377983,0.195837,0.127502,0.218643,0.197722,0.129481,0.298242,0.197663,0.130511,0.380901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050798,0.270040,0.038738,-0.080288,0.187510,0.128532,0.007379,0.270823,0.026463,-0.033795,0.169469,0.173584,-0.046163,0.217547,0.158703,-0.268355,0.456171,0.159901,-0.316221,0.454836,0.157174,-0.331930,0.389827,0.168982,-0.376175,0.364471,0.205920,-0.425782,0.363365,0.163510
1,0.004167,-0.862690,0.184570,-0.167452,-0.440068,-0.095266,0.138266,0.218394,-0.871111,-0.328077,0.000865,-0.365419,-0.241915,0.286218,0.218572,0.000741,-0.000453,-0.000100,-1.000000,0.038721,0.137437,0.300275,0.215533,0.140739,0.428170,0.168486,0.141450,0.560890,-0.122384,0.142951,0.486952,-0.123315,0.141666,0.557699,0.231275,0.122035,0.562504,0.038816,0.125194,0.223180,0.039111,0.123900,0.299002,0.039048,0.123715,0.380589,-0.205505,0.307542,0.210395,-0.108425,0.133097,0.225788,-0.107970,0.132492,0.298659,-0.107509,0.133678,0.377959,0.195839,0.127505,0.218609,0.197726,0.129490,0.298225,0.197679,0.130500,0.380874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050872,0.269765,0.038606,-0.080262,0.187455,0.128513,0.007447,0.270640,0.026360,-0.033764,0.169356,0.173528,-0.046058,0.217434,0.158634,-0.268111,0.456233,0.159782,-0.315971,0.454864,0.157085,-0.331728,0.389922,0.168943,-0.375938,0.364616,0.205942,-0.425592,0.363506,0.163575
2,0.008333,-0.862607,0.184966,-0.166763,-0.440327,-0.095277,0.138259,0.218427,-0.870967,-0.327940,0.001354,-0.365882,-0.241734,0.286295,0.218643,0.000594,-0.000393,-0.000024,-1.000000,0.038719,0.137477,0.300276,0.215520,0.140728,0.428152,0.168491,0.141429,0.560881,-0.122396,0.142952,0.486945,-0.123314,0.141654,0.557681,0.231155,0.121933,0.562580,0.038797,0.125207,0.223164,0.039111,0.123912,0.298995,0.039056,0.123717,0.380567,-0.205361,0.307578,0.210350,-0.108428,0.133096,0.225799,-0.107960,0.132466,0.298635,-0.107518,0.133679,0.377953,0.195832,0.127489,0.218603,0.197722,0.129482,0.298217,0.197688,0.130481,0.380845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050876,0.269534,0.038486,-0.080289,0.187419,0.128523,0.007454,0.270456,0.026287,-0.033767,0.169248,0.173501,-0.046017,0.217358,0.158616,-0.267885,0.456278,0.159675,-0.315759,0.454962,0.157036,-0.331531,0.390002,0.168934,-0.375725,0.364774,0.205975,-0.425414,0.363627,0.163654
3,0.012500,-0.862525,0.185192,-0.166177,-0.440614,-0.095280,0.138225,0.218468,-0.870826,-0.327845,0.001836,-0.366301,-0.241554,0.286408,0.218713,0.000599,-0.000402,-0.000042,-1.000000,0.038726,0.137463,0.300260,0.215524,0.140722,0.428128,0.168523,0.141420,0.560857,-0.122395,0.142937,0.486936,-0.123298,0.141634,0.557662,0.231156,0.121930,0.562573,0.038809,0.125230,0.223154,0.039115,0.123917,0.298985,0.039083,0.123723,0.380542,-0.205203,0.307611,0.210313,-0.108447,0.133155,0.225832,-0.107931,0.132444,0.298605,-0.107519,0.133652,0.377941,0.195833,0.127489,0.218593,0.197725,0.129471,0.298211,0.197711,0.130453,0.380821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050848,0.269301,0.038351,-0.080309,0.187340,0.128541,0.007421,0.270262,0.026205,-0.033783,0.169123,0.173477,-0.045999,0.217275,0.158594,-0.267646,0.456329,0.159558,-0.315537,0.454989,0.156969,-0.331336,0.390080,0.168921,-0.375525,0.364922,0.206009,-0.425196,0.363744,0.163726
4,0.016667,-0.862388,0.185206,-0.165862,-0.440993,-0.095314,0.138232,0.218547,-0.870686,-0.327727,0.002349,-0.366737,-0.241385,0.286495,0.218790,0.000583,-0.000415,-0.000045,-1.000000,0.038712,0.137468,0.300256,0.215506,0.140724,0.428117,0.168520,0.141407,0.560852,-0.122415,0.142935,0.486942,-0.123295,0.141631,0.557653,0.231156,0.121935,0.562571,0.038792,0.125256,0.223164,0.039099,0.123922,0.298996,0.039078,0.123729,0.380527,-0.205061,0.307652,0.210272,-0.108471,0.133238,0.225883,-0.107926,0.132430,0.298595,-0.107535,0.133658,0.377947,0.195828,0.127477,0.218605,0.197704,0.129466,0.298216,0.197715,0.130443,0.380810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050756,0.269123,0.038257,-0.080374,0.187281,0.128577,0.007331,0.270088,0.026137,-0.033837,0.169076,0.173491,-0.046022,0.217221,0.158590,-0.267450,0.456366,0.159459,-0.315347,0.455125,0.156966,-0.331152,0.390176,0.168933,-0.375324,0.365081,0.206062,-0.425021,0.363877,0.163821
5,0.020833,-0.862239,0.185070,-0.165693,-0.441404,-0.095343,0.138244,0.218630,-0.870793,-0.327508,0.002932,-0.366672,-0.241258,0.286530,0.218724,0.000638,-0.000435,-0.000041,-1.000000,0.038716,0.137443,0.300247,0.215506,0.140713,0.428105,0.168594,0.141410,0.560802,-0.122415,0.142936,0.486941,-0.123291,0.141629,0.557646,0.231139,0.121935,0.562584,0.038790,0.125269,0.223162,0.039104,0.123947,0.298992,0.039088,0.123740,0.380520,-0.204923,0.307712,0.210239,-0.108507,0.133364,0.225939,-0.107917,0.132416,0.298586,-0.107528,0.133658,0.377944,0.195823,0.127483,0.218603,0.197707,0.129470,0.298218,0.197719,0.130451,0.380797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050642,0.268971,0.038168,-0.080457,0.187203,0.128604,0.007221,0.269932,0.026045,-0.033890,0.169045,0.173510,-0.046055,0.217192,0.158599,-0.267247,0.456406,0.159375,-0.315174,0.455248,0.156954,-0.330964,0.390281,0.168939,-0.375143,0.365222,0.206100,-0.424862,0.364081,0.163898
