Format Version,1.23,Take Name,cap_034,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 08.46.31.674 PM,Total Frames in Take,3334,Total Exported Frames,3334,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,Unlabeled 2442,Unlabeled 2442,Unlabeled 2442,Unlabeled 2443,Unlabeled 2443,Unlabeled 2443,Unlabeled 2444,Unlabeled 2444,Unlabeled 2444,Unlabeled 2445,Unlabeled 2445,Unlabeled 2445,Unlabeled 2446,Unlabeled 2446,Unlabeled 2446,Unlabeled 2447,Unlabeled 2447,Unlabeled 2447,Unlabeled 2448,Unlabeled 2448,Unlabeled 2448,Unlabeled 2449,Unlabeled 2449,Unlabeled 2449,Unlabeled 2450,Unlabeled 2450,Unlabeled 2450,Unlabeled 2451,Unlabeled 2451,Unlabeled 2451,Unlabeled 2452,Unlabeled 2452,Unlabeled 2452,Unlabeled 2453,Unlabeled 2453,Unlabeled 2453,Unlabeled 2456,Unlabeled 2456,Unlabeled 2456,Unlabeled 2458,Unlabeled 2458,Unlabeled 2458,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker5,chisel_july10:Marker5,chisel_july10:Marker5,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker5,gripper_july10:Marker5,gripper_july10:Marker5
,ID,"29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","DA920","DA920","DA920","DA980","DA980","DA980","DAA00","DAA00","DAA00","DAA10","DAA10","DAA10","DA910","DA910","DA910","DA9A0","DA9A0","DA9A0","DA9C0","DA9C0","DA9C0","DAAF0","DAAF0","DAAF0","DB4D0","DB4D0","DB4D0","DB550","DB550","DB550","DB690","DB690","DB690","DB6A0","DB6A0","DB6A0","DB700","DB700","DB700","DB760","DB760","DB760","DB7A0","DB7A0","DB7A0","DB8B0","DB8B0","DB8B0","DB8F0","DB8F0","DB8F0","DB930","DB930","DB930","DB950","DB950","DB950","DB6C0","DB6C0","DB6C0","DB6B0","DB6B0","DB6B0","DB6D0","DB6D0","DB6D0","DB0B0","DB0B0","DB0B0","DB5D0","DB5D0","DB5D0","DB7C0","DB7C0","DB7C0","DB8D0","DB8D0","DB8D0","DB880","DB880","DB880","DB390","DB390","DB390","DAE30","DAE30","DAE30"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.004167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.008333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.012500,-0.851775,0.142690,-0.143579,-0.483222,-0.043619,0.266689,0.109070,-0.817154,-0.191330,0.142336,-0.524778,-0.318125,0.371501,0.125226,0.000396,-0.000315,0.000265,-1.000000,0.038776,0.137664,0.300322,0.215479,0.140689,0.428316,0.168537,0.141476,0.560904,-0.122257,0.143286,0.486961,-0.123402,0.141704,0.557708,0.231214,0.121939,0.562612,0.039375,0.124767,0.299044,0.039142,0.124109,0.380510,0.038956,0.125929,0.223164,0.196033,0.127530,0.218653,-0.287183,0.373396,0.114458,0.197642,0.130563,0.380888,0.197856,0.129424,0.298302,-0.107796,0.131960,0.225598,-0.107568,0.132726,0.377924,-0.107867,0.132146,0.298580,,,,,,,,,,,,,0.081047,0.385907,-0.093945,-0.038597,0.308612,0.014340,0.036759,0.383498,-0.102567,0.012901,0.295006,0.056276,-0.003131,0.341276,0.038093,-0.300161,0.504177,0.002363,-0.346383,0.513442,-0.000831,-0.379160,0.469792,0.036100,-0.424487,0.475476,0.079343,-0.476528,0.473036,0.039535
4,0.016667,-0.851321,0.142762,-0.143447,-0.484040,-0.042798,0.267991,0.108679,-0.817097,-0.191173,0.142463,-0.524891,-0.318076,0.371857,0.125128,0.000667,-0.000331,0.000295,-1.000000,0.038766,0.137523,0.300340,0.215421,0.140595,0.428348,0.168553,0.141470,0.560918,-0.122248,0.143276,0.486973,-0.123394,0.141692,0.557718,0.231220,0.121937,0.562625,0.039384,0.124759,0.299052,0.039149,0.124093,0.380525,0.038962,0.125917,0.223172,0.196045,0.127534,0.218670,-0.287129,0.373752,0.114410,0.197654,0.130560,0.380903,0.197870,0.129426,0.298319,-0.107794,0.131955,0.225607,-0.107556,0.132718,0.377939,-0.107846,0.132141,0.298590,,,,,,,,,,,,,0.081915,0.386836,-0.094562,-0.037835,0.309806,0.013903,0.037590,0.384301,-0.103194,0.013788,0.296140,0.055812,-0.002305,0.342416,0.037527,-0.300067,0.504511,0.002222,-0.346293,0.513737,-0.000976,-0.379084,0.470124,0.035966,-0.424390,0.475851,0.079223,-0.476459,0.473435,0.039395
5,0.020833,-0.850793,0.142011,-0.144561,-0.484856,-0.041917,0.269157,0.108185,-0.816951,-0.191116,0.142555,-0.525113,-0.318015,0.372230,0.125016,0.000494,-0.000379,0.000179,-1.000000,0.038789,0.137618,0.300329,0.215501,0.140685,0.428338,0.168561,0.141463,0.560919,-0.122238,0.143260,0.486980,-0.123385,0.141681,0.557730,0.231333,0.122018,0.562546,0.039388,0.124742,0.299054,0.039166,0.124085,0.380530,0.038971,0.125906,0.223184,0.196050,0.127529,0.218673,-0.287114,0.374095,0.114322,0.197661,0.130552,0.380914,0.197878,0.129422,0.298320,-0.107783,0.131938,0.225616,-0.107552,0.132716,0.377946,-0.107845,0.132146,0.298605,,,,,,,,,,,,,0.082753,0.387692,-0.095181,-0.036920,0.310700,0.013281,0.038471,0.385164,-0.103877,0.014652,0.297338,0.055306,-0.001455,0.343496,0.036899,-0.299984,0.504828,0.002040,-0.346226,0.514023,-0.001190,-0.379031,0.470464,0.035797,-0.424339,0.476186,0.079073,-0.476383,0.473779,0.039234
