Format Version,1.23,Take Name,cap_040,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 08.50.36.742 PM,Total Frames in Take,2726,Total Exported Frames,2726,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,Unlabeled 2721,Unlabeled 2721,Unlabeled 2721,Unlabeled 2722,Unlabeled 2722,Unlabeled 2722,Unlabeled 2723,Unlabeled 2723,Unlabeled 2723,Unlabeled 2724,Unlabeled 2724,Unlabeled 2724,Unlabeled 2725,Unlabeled 2725,Unlabeled 2725,Unlabeled 2726,Unlabeled 2726,Unlabeled 2726,Unlabeled 2727,Unlabeled 2727,Unlabeled 2727,Unlabeled 2728,Unlabeled 2728,Unlabeled 2728,Unlabeled 2729,Unlabeled 2729,Unlabeled 2729,Unlabeled 2730,Unlabeled 2730,Unlabeled 2730,Unlabeled 2731,Unlabeled 2731,Unlabeled 2731,Unlabeled 2733,Unlabeled 2733,Unlabeled 2733,Unlabeled 2734,Unlabeled 2734,Unlabeled 2734,Unlabeled 2735,Unlabeled 2735,Unlabeled 2735,Unlabeled 2736,Unlabeled 2736,Unlabeled 2736,Unlabeled 2737,Unlabeled 2737,Unlabeled 2737,Unlabeled 2738,Unlabeled 2738,Unlabeled 2738,Unlabeled 2739,Unlabeled 2739,Unlabeled 2739,Unlabeled 2740,Unlabeled 2740,Unlabeled 2740,Unlabeled 2742,Unlabeled 2742,Unlabeled 2742,Unlabeled 2743,Unlabeled 2743,Unlabeled 2743,Unlabeled 2744,Unlabeled 2744,Unlabeled 2744,Unlabeled 2745,Unlabeled 2745,Unlabeled 2745,Unlabeled 2746,Unlabeled 2746,Unlabeled 2746,Unlabeled 2747,Unlabeled 2747,Unlabeled 2747,Unlabeled 2749,Unlabeled 2749,Unlabeled 2749,Unlabeled 2750,Unlabeled 2750,Unlabeled 2750,Unlabeled 2751,Unlabeled 2751,Unlabeled 2751,Unlabeled 2752,Unlabeled 2752,Unlabeled 2752,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker5,chisel_july10:Marker5,chisel_july10:Marker5,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker5,gripper_july10:Marker5,gripper_july10:Marker5
,ID,"29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","DCA40","DCA40","DCA40","DC480","DC480","DC480","DC5F0","DC5F0","DC5F0","DC600","DC600","DC600","DC460","DC460","DC460","DC590","DC590","DC590","DD080","DD080","DD080","DD7D0","DD7D0","DD7D0","DDC00","DDC00","DDC00","DDC90","DDC90","DDC90","DDCB0","DDCB0","DDCB0","DDCC0","DDCC0","DDCC0","DDCD0","DDCD0","DDCD0","DDCE0","DDCE0","DDCE0","DDCF0","DDCF0","DDCF0","DDDB0","DDDB0","DDDB0","DDDD0","DDDD0","DDDD0","DDDE0","DDDE0","DDDE0","DDDF0","DDDF0","DDDF0","DDE10","DDE10","DDE10","DDE00","DDE00","DDE00","DDE40","DDE40","DDE40","DDE50","DDE50","DDE50","DDE60","DDE60","DDE60","DDE90","DDE90","DDE90","DDE80","DDE80","DDE80","DDE30","DDE30","DDE30","DDEA0","DDEA0","DDEA0","DDEB0","DDEB0","DDEB0","DDE20","DDE20","DDE20","DDED0","DDED0","DDED0","DD180","DD180","DD180","DDEE0","DDEE0","DDEE0","DDF10","DDF10","DDF10","DDBB0","DDBB0","DDBB0","DDD70","DDD70","DDD70","DC6B0","DC6B0","DC6B0","DDD30","DDD30","DDD30","DD6D0","DD6D0","DD6D0","DDA00","DDA00","DDA00","DDB60","DDB60","DDB60","DD0C0","DD0C0","DD0C0","DCB50","DCB50","DCB50","DC6A0","DC6A0","DC6A0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.765204,-0.047979,0.157472,-0.622385,0.009658,0.416296,-0.063412,-0.657233,0.249982,-0.509388,-0.496062,0.318485,0.297550,0.179046,-0.000946,-0.000116,-0.000113,-1.000000,0.038901,0.138250,0.300219,0.215876,0.141135,0.428131,0.168658,0.141432,0.560831,-0.122296,0.143137,0.486808,-0.123673,0.141590,0.557663,0.231195,0.121926,0.562618,0.039205,0.123679,0.380511,0.334076,0.306374,0.233173,0.197757,0.130829,0.380797,0.039324,0.124202,0.298865,-0.107810,0.132232,0.298404,-0.107643,0.133070,0.225493,-0.107360,0.133876,0.377763,0.195794,0.128465,0.218434,0.198092,0.129569,0.298179,0.039100,0.125641,0.223105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.040897,0.461708,-0.320974,-0.052354,0.431148,-0.144952,-0.078970,0.463852,-0.297992,0.014812,0.422749,-0.145082,-0.012592,0.463967,-0.160624,0.437678,0.431963,0.205798,0.444534,0.441104,0.160057,0.411256,0.396229,0.124838,0.371998,0.401466,0.075763,0.415420,0.398805,0.027129
1,0.004167,-0.766694,-0.051519,0.154365,-0.621046,0.010452,0.416034,-0.063747,-0.655970,0.250306,-0.509813,-0.497132,0.318668,0.297782,0.179576,-0.001112,-0.000083,-0.000159,-0.999999,0.038952,0.138330,0.300228,0.215977,0.141195,0.428143,0.168685,0.141432,0.560845,-0.122287,0.143128,0.486818,-0.123659,0.141582,0.557670,0.231229,0.121935,0.562634,0.039227,0.123680,0.380526,0.334593,0.306280,0.233488,0.197765,0.130816,0.380797,0.039327,0.124203,0.298867,-0.107811,0.132204,0.298407,-0.107626,0.133072,0.225497,-0.107356,0.133869,0.377767,0.195806,0.128471,0.218410,0.198104,0.129557,0.298182,0.039111,0.125649,0.223109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.040363,0.462146,-0.321094,-0.051342,0.430521,-0.145355,-0.078444,0.464299,-0.298135,0.015328,0.423049,-0.145243,-0.012095,0.464268,-0.160743,0.438081,0.432006,0.206148,0.444971,0.441111,0.160400,0.411679,0.396194,0.125190,0.372455,0.401346,0.076123,0.416134,0.398413,0.027807
2,0.008333,-0.766847,-0.051891,0.154179,-0.620871,0.010948,0.416270,-0.063846,-0.655780,0.249843,-0.510301,-0.497116,0.319186,0.297702,0.179985,-0.000950,-0.000091,-0.000130,-1.000000,0.038957,0.138237,0.300256,0.215950,0.141125,0.428195,0.168703,0.141423,0.560860,-0.122273,0.143118,0.486836,-0.123646,0.141567,0.557699,0.231249,0.121917,0.562655,0.039246,0.123668,0.380543,0.335110,0.306164,0.233850,0.197777,0.130815,0.380815,0.039349,0.124197,0.298886,-0.107792,0.132191,0.298428,-0.107621,0.133064,0.225515,-0.107345,0.133864,0.377781,0.195826,0.128453,0.218401,0.198117,0.129532,0.298196,0.039130,0.125635,0.223118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.039799,0.462571,-0.321247,-0.050893,0.430823,-0.145522,-0.078081,0.464493,-0.297894,0.015749,0.423329,-0.145383,-0.011644,0.464533,-0.160885,0.438468,0.432062,0.206493,0.445338,0.441155,0.160705,0.412084,0.396152,0.125537,0.372923,0.401232,0.076486,0.416630,0.398296,0.028175
3,0.012500,-0.766144,-0.045892,0.158593,-0.621101,0.010757,0.416654,-0.063852,-0.655772,0.248936,-0.511102,-0.496758,0.319790,0.297499,0.180385,-0.000973,-0.000095,-0.000101,-1.000000,0.038952,0.138266,0.300278,0.215945,0.141133,0.428225,0.168696,0.141440,0.560876,-0.122274,0.143154,0.486861,-0.123642,0.141586,0.557721,0.231242,0.121919,0.562672,0.039240,0.123678,0.380560,0.335591,0.306177,0.234296,0.197890,0.130844,0.380917,0.039341,0.124205,0.298903,-0.107791,0.132232,0.298460,-0.107633,0.133088,0.225535,-0.107346,0.133886,0.377809,0.195798,0.128505,0.218431,0.198114,0.129565,0.298222,0.039121,0.125661,0.223147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.039339,0.462983,-0.321411,-0.050946,0.432034,-0.145532,-0.077408,0.465152,-0.298426,0.015983,0.423144,-0.145300,-0.011157,0.464867,-0.160986,0.438668,0.432102,0.206730,0.445652,0.441228,0.161028,0.412518,0.396124,0.125926,0.373308,0.401070,0.076813,0.417027,0.398214,0.028510
4,0.016667,-0.766178,-0.047883,0.157281,-0.621241,0.011421,0.417219,-0.063988,-0.655586,0.248352,-0.511608,-0.496776,0.320272,0.297423,0.180807,-0.000994,-0.000121,-0.000089,-1.000000,0.038919,0.138295,0.300293,0.215913,0.141155,0.428235,0.168669,0.141463,0.560885,-0.122278,0.143173,0.486887,-0.123647,0.141612,0.557744,0.231205,0.121926,0.562668,0.039222,0.123711,0.380571,0.335937,0.306338,0.234763,0.197861,0.130862,0.380921,0.039330,0.124246,0.298939,-0.107803,0.132263,0.298492,-0.107635,0.133126,0.225567,-0.107347,0.133907,0.377833,0.195768,0.128552,0.218460,0.198106,0.129592,0.298242,0.039113,0.125685,0.223170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.038839,0.463497,-0.321519,-0.050563,0.432416,-0.145598,-0.077119,0.465372,-0.298261,0.016593,0.423880,-0.145677,-0.010740,0.465163,-0.161100,0.438970,0.432133,0.206993,0.445974,0.441287,0.161350,0.412919,0.396127,0.126271,0.373675,0.400947,0.077136,0.417446,0.398075,0.028859
5,0.020833,-0.766570,-0.047829,0.157366,-0.620740,0.011811,0.417396,-0.064179,-0.655485,0.247673,-0.512006,-0.496838,0.320747,0.297359,0.181246,-0.001021,-0.000119,-0.000065,-0.999999,0.038879,0.138343,0.300304,0.215875,0.141185,0.428237,0.168568,0.141495,0.560931,-0.122306,0.143217,0.486903,-0.123662,0.141655,0.557749,0.231181,0.121948,0.562659,0.039171,0.123746,0.380563,0.336423,0.306525,0.235155,0.197823,0.130893,0.380924,0.039298,0.124293,0.298955,-0.107817,0.132315,0.298509,-0.107657,0.133171,0.225582,-0.107370,0.133951,0.377848,0.195706,0.128653,0.218483,0.198084,0.129646,0.298263,0.039099,0.125740,0.223188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.038412,0.464022,-0.321676,-0.050159,0.432722,-0.145769,-0.076713,0.465859,-0.298360,0.016968,0.424158,-0.145867,-0.010329,0.465454,-0.161242,0.439326,0.432184,0.207243,0.446243,0.441383,0.161630,0.413236,0.396110,0.126587,0.374043,0.400850,0.077469,0.417810,0.397940,0.029213
