Format Version,1.23,Take Name,cap_049,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 08.55.40.908 PM,Total Frames in Take,2046,Total Exported Frames,2046,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,Unlabeled 3130,Unlabeled 3130,Unlabeled 3130,Unlabeled 3131,Unlabeled 3131,Unlabeled 3131,Unlabeled 3132,Unlabeled 3132,Unlabeled 3132,Unlabeled 3133,Unlabeled 3133,Unlabeled 3133,Unlabeled 3134,Unlabeled 3134,Unlabeled 3134,Unlabeled 3135,Unlabeled 3135,Unlabeled 3135,Unlabeled 3136,Unlabeled 3136,Unlabeled 3136,Unlabeled 3137,Unlabeled 3137,Unlabeled 3137,Unlabeled 3138,Unlabeled 3138,Unlabeled 3138,Unlabeled 3139,Unlabeled 3139,Unlabeled 3139,Unlabeled 3141,Unlabeled 3141,Unlabeled 3141,Unlabeled 3142,Unlabeled 3142,Unlabeled 3142,Unlabeled 3143,Unlabeled 3143,Unlabeled 3143,Unlabeled 3144,Unlabeled 3144,Unlabeled 3144,Unlabeled 3145,Unlabeled 3145,Unlabeled 3145,Unlabeled 3146,Unlabeled 3146,Unlabeled 3146,Unlabeled 3147,Unlabeled 3147,Unlabeled 3147,Unlabeled 3148,Unlabeled 3148,Unlabeled 3148,Unlabeled 3149,Unlabeled 3149,Unlabeled 3149,Unlabeled 3150,Unlabeled 3150,Unlabeled 3150,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker5,chisel_july10:Marker5,chisel_july10:Marker5,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker5,gripper_july10:Marker5,gripper_july10:Marker5
,ID,"29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","E0560","E0560","E0560","DF530","DF530","DF530","DF5A0","DF5A0","DF5A0","DF5B0","DF5B0","DF5B0","E0510","E0510","E0510","DF550","DF550","DF550","DFC30","DFC30","DFC30","DFE20","DFE20","DFE20","E0500","E0500","E0500","E0690","E0690","E0690","E06A0","E06A0","E06A0","E06C0","E06C0","E06C0","E06E0","E06E0","E06E0","E0710","E0710","E0710","E0740","E0740","E0740","E07C0","E07C0","E07C0","E07D0","E07D0","E07D0","E07E0","E07E0","E07E0","E0800","E0800","E0800","E0810","E0810","E0810","E0820","E0820","E0820","E0830","E0830","E0830","E0840","E0840","E0840","E0850","E0850","E0850","E07F0","E07F0","E07F0","E0670","E0670","E0670","E0680","E0680","E0680","E0770","E0770","E0770","E0760","E0760","E0760","E0410","E0410","E0410","DF4E0","DF4E0","DF4E0","E0610","E0610","E0610","E05E0","E05E0","E05E0","E0010","E0010","E0010","E0550","E0550","E0550"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.816522,-0.044744,0.051919,-0.573231,0.187518,0.344295,-0.013656,-0.650305,0.205834,-0.520183,-0.513951,0.339063,0.271961,0.212696,0.000811,-0.000352,0.000353,-1.000000,0.038628,0.137454,0.300397,0.215292,0.140549,0.428388,0.168494,0.141492,0.560995,-0.122429,0.143270,0.486929,-0.123554,0.141722,0.557872,0.231107,0.121891,0.562675,0.039189,0.124468,0.299042,0.039082,0.125756,0.223284,0.355343,0.285043,0.263277,0.039023,0.123830,0.380543,-0.107807,0.133277,0.225638,0.195967,0.128174,0.218757,0.197962,0.129664,0.298356,0.197735,0.130900,0.380984,-0.107903,0.132315,0.298665,-0.107498,0.133696,0.377882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175911,0.424498,-0.267442,0.139007,0.365747,-0.102369,0.134406,0.419635,-0.251790,0.205238,0.363720,-0.091366,0.176454,0.404810,-0.105547,0.452382,0.413272,0.224468,0.457375,0.419145,0.178100,0.425321,0.370078,0.147666,0.384303,0.369477,0.099730,0.426632,0.364800,0.050281
1,0.004167,-0.816453,-0.044843,0.051682,-0.573343,0.187454,0.344279,-0.013574,-0.650203,0.206013,-0.520117,-0.514075,0.338980,0.271992,0.212731,0.000778,-0.000358,0.000353,-1.000000,0.038631,0.137465,0.300409,0.215293,0.140551,0.428405,0.168496,0.141478,0.560993,-0.122421,0.143270,0.486945,-0.123543,0.141715,0.557887,0.231111,0.121891,0.562690,0.039187,0.124440,0.299047,0.039087,0.125750,0.223288,0.355345,0.285001,0.263297,0.039028,0.123833,0.380556,-0.107802,0.133271,0.225654,0.195970,0.128164,0.218760,0.197965,0.129647,0.298366,0.197749,0.130889,0.380993,-0.107890,0.132307,0.298677,-0.107488,0.133689,0.377894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175880,0.424417,-0.267391,0.138961,0.365685,-0.102304,0.134372,0.419545,-0.251744,0.205182,0.363697,-0.091282,0.176389,0.404766,-0.105472,0.452360,0.413254,0.224530,0.457375,0.419118,0.178134,0.425289,0.370070,0.147704,0.384280,0.369474,0.099772,0.426623,0.364783,0.050328
2,0.008333,-0.816383,-0.044927,0.051458,-0.573456,0.187404,0.344272,-0.013505,-0.650240,0.205975,-0.520138,-0.514022,0.338998,0.271956,0.212763,0.000820,-0.000349,0.000327,-1.000000,0.038658,0.137432,0.300408,0.215307,0.140536,0.428419,0.168516,0.141466,0.560972,-0.122386,0.143250,0.486940,-0.123513,0.141691,0.557883,0.231130,0.121898,0.562700,0.039216,0.124430,0.299044,0.039107,0.125743,0.223286,0.355368,0.284925,0.263289,0.039059,0.123826,0.380548,-0.107775,0.133255,0.225647,0.196003,0.128136,0.218741,0.197993,0.129639,0.298350,0.197778,0.130889,0.380976,-0.107865,0.132287,0.298665,-0.107470,0.133663,0.377886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175866,0.424341,-0.267369,0.138937,0.365631,-0.102248,0.134352,0.419472,-0.251724,0.205143,0.363676,-0.091205,0.176338,0.404732,-0.105393,0.452350,0.413237,0.224584,0.457383,0.419104,0.178158,0.425291,0.370049,0.147744,0.384285,0.369447,0.099804,0.426617,0.364772,0.050365
3,0.012500,-0.816349,-0.044972,0.051330,-0.573513,0.187345,0.344232,-0.013447,-0.650178,0.206037,-0.520141,-0.514072,0.338964,0.271951,0.212798,0.000815,-0.000366,0.000310,-1.000000,0.038664,0.137429,0.300406,0.215309,0.140535,0.428416,0.168545,0.141466,0.560965,-0.122367,0.143243,0.486944,-0.123496,0.141675,0.557885,0.231134,0.121900,0.562690,0.039235,0.124420,0.299035,0.039122,0.125736,0.223277,0.356313,0.282892,0.262743,0.039080,0.123816,0.380547,-0.107770,0.133258,0.225636,0.196025,0.128128,0.218728,0.198014,0.129618,0.298339,0.197791,0.130874,0.380963,-0.107851,0.132286,0.298666,-0.107432,0.133651,0.377894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175820,0.424275,-0.267342,0.138891,0.365574,-0.102195,0.134320,0.419392,-0.251689,0.205093,0.363626,-0.091139,0.176274,0.404674,-0.105326,0.452329,0.413219,0.224646,0.457383,0.419082,0.178180,0.425280,0.370025,0.147777,0.384284,0.369427,0.099842,0.426609,0.364741,0.050401
4,0.016667,-0.816268,-0.044870,0.051401,-0.573630,0.187290,0.344217,-0.013383,-0.650167,0.206037,-0.520198,-0.514028,0.338964,0.271915,0.212815,0.000824,-0.000362,0.000284,-1.000000,0.038683,0.137414,0.300394,0.215325,0.140535,0.428404,0.168557,0.141467,0.560942,-0.122340,0.143220,0.486934,-0.123468,0.141659,0.557873,0.231133,0.121894,0.562690,0.039271,0.124402,0.299019,0.039137,0.125731,0.223260,0.356315,0.282846,0.262773,0.039107,0.123802,0.380533,-0.107746,0.133266,0.225622,0.196058,0.128103,0.218701,0.198038,0.129604,0.298316,0.197805,0.130866,0.380941,-0.107840,0.132285,0.298649,-0.107415,0.133644,0.377878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175790,0.424203,-0.267324,0.138847,0.365553,-0.102113,0.134280,0.419310,-0.251660,0.205040,0.363582,-0.091082,0.176227,0.404620,-0.105270,0.452311,0.413188,0.224687,0.457371,0.419061,0.178199,0.425283,0.370000,0.147812,0.384289,0.369401,0.099863,0.426613,0.364715,0.050427
5,0.020833,-0.816256,-0.044975,0.051334,-0.573645,0.187250,0.344165,-0.013333,-0.650192,0.205965,-0.520275,-0.513949,0.338972,0.271869,0.212845,0.000367,-0.000431,0.000376,-1.000000,0.038666,0.137567,0.300352,0.215316,0.140542,0.428387,0.168516,0.141093,0.560835,-0.122326,0.143228,0.486921,-0.123459,0.141660,0.557860,0.231225,0.121982,0.562607,0.039272,0.124399,0.298991,0.039133,0.125742,0.223236,0.356298,0.282808,0.262797,0.039109,0.123795,0.380522,-0.107754,0.133261,0.225604,0.196057,0.128112,0.218687,0.198050,0.129598,0.298307,0.197805,0.130875,0.380918,-0.107835,0.132290,0.298632,-0.107403,0.133630,0.377866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175732,0.424149,-0.267291,0.138802,0.365489,-0.102056,0.134216,0.419237,-0.251607,0.204997,0.363531,-0.091028,0.176167,0.404558,-0.105225,0.452280,0.413177,0.224731,0.457341,0.419053,0.178233,0.425265,0.369964,0.147848,0.384276,0.369375,0.099898,0.426599,0.364697,0.050457
