Format Version,1.23,Take Name,cap_053,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 08.58.53.081 PM,Total Frames in Take,1773,Total Exported Frames,1773,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,Unlabeled 3293,Unlabeled 3293,Unlabeled 3293,Unlabeled 3294,Unlabeled 3294,Unlabeled 3294,Unlabeled 3295,Unlabeled 3295,Unlabeled 3295,Unlabeled 3296,Unlabeled 3296,Unlabeled 3296,Unlabeled 3297,Unlabeled 3297,Unlabeled 3297,Unlabeled 3298,Unlabeled 3298,Unlabeled 3298,Unlabeled 3299,Unlabeled 3299,Unlabeled 3299,Unlabeled 3300,Unlabeled 3300,Unlabeled 3300,Unlabeled 3301,Unlabeled 3301,Unlabeled 3301,Unlabeled 3302,Unlabeled 3302,Unlabeled 3302,Unlabeled 3303,Unlabeled 3303,Unlabeled 3303,Unlabeled 3304,Unlabeled 3304,Unlabeled 3304,Unlabeled 3305,Unlabeled 3305,Unlabeled 3305,Unlabeled 3306,Unlabeled 3306,Unlabeled 3306,Unlabeled 3307,Unlabeled 3307,Unlabeled 3307,Unlabeled 3308,Unlabeled 3308,Unlabeled 3308,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker5,chisel_july10:Marker5,chisel_july10:Marker5,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker5,gripper_july10:Marker5,gripper_july10:Marker5
,ID,"29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","E1A80","E1A80","E1A80","E1AD0","E1AD0","E1AD0","E1B30","E1B30","E1B30","E1B40","E1B40","E1B40","E1FA0","E1FA0","E1FA0","E1A20","E1A20","E1A20","E1AE0","E1AE0","E1AE0","E1DF0","E1DF0","E1DF0","E2050","E2050","E2050","E20B0","E20B0","E20B0","E20F0","E20F0","E20F0","E2110","E2110","E2110","E2120","E2120","E2120","E2140","E2140","E2140","E2150","E2150","E2150","E2190","E2190","E2190","E21A0","E21A0","E21A0","E21B0","E21B0","E21B0","E21C0","E21C0","E21C0","E21D0","E21D0","E21D0","E21E0","E21E0","E21E0","E1FB0","E1FB0","E1FB0","E2020","E2020","E2020","E1B90","E1B90","E1B90","E2170","E2170","E2170","E1B60","E1B60","E1B60","E2100","E2100","E2100","E20C0","E20C0","E20C0","E2040","E2040","E2040","E1A90","E1A90","E1A90","E1A40","E1A40","E1A40"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.858778,0.153196,-0.063561,-0.484759,-0.102891,0.276366,0.083863,-0.745839,-0.201138,0.295717,-0.561978,-0.345342,0.352676,0.119841,-0.000171,-0.000461,0.000343,-1.000000,0.038682,0.137893,0.300361,0.215441,0.140769,0.428318,0.168515,0.141136,0.560822,-0.122297,0.143302,0.486970,-0.123434,0.141737,0.557902,0.231194,0.122027,0.562629,0.039202,0.123943,0.299027,0.039001,0.123478,0.380539,0.038929,0.125140,0.223192,-0.316014,0.349718,0.100368,0.195939,0.128011,0.218665,-0.107916,0.132178,0.298636,0.197783,0.129531,0.298314,-0.107825,0.133182,0.225627,-0.107444,0.133971,0.377961,0.197587,0.130579,0.380891,,,,,,,,,,,,,,,,,,,0.005831,0.390907,-0.130689,-0.106079,0.321039,-0.009716,-0.039231,0.392853,-0.133516,-0.050992,0.301306,0.024896,-0.064780,0.349397,0.010005,-0.351332,0.458050,-0.027755,-0.395396,0.473359,-0.021267,-0.420220,0.440722,0.031167,-0.451559,0.460257,0.082212,-0.512673,0.457568,0.058268
1,0.004167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.008333,-0.859025,0.151916,-0.065550,-0.484460,-0.102650,0.276075,0.083943,-0.745515,-0.201098,0.296103,-0.562219,-0.345055,0.352769,0.120113,-0.000191,-0.000565,0.000292,-1.000000,0.038689,0.137924,0.300334,0.215525,0.140806,0.428255,0.168535,0.141117,0.560781,-0.122278,0.143316,0.486977,-0.123424,0.141747,0.557918,0.231327,0.122112,0.562538,0.039232,0.123944,0.299010,0.039034,0.123466,0.380529,0.038963,0.125142,0.223185,-0.315718,0.349721,0.100514,0.195984,0.128016,0.218653,-0.107905,0.132196,0.298659,0.197822,0.129537,0.298301,-0.107790,0.133183,0.225640,-0.107433,0.133986,0.377972,0.197626,0.130590,0.380877,,,,,,,,,,,,,,,,,,,0.006208,0.391195,-0.130439,-0.105886,0.320727,-0.009631,-0.039097,0.392735,-0.133309,-0.050778,0.301198,0.025114,-0.064606,0.349289,0.010221,-0.351092,0.458013,-0.027581,-0.395190,0.473331,-0.021053,-0.419970,0.440766,0.031395,-0.451255,0.460337,0.082448,-0.512420,0.457642,0.058554
3,0.012500,-0.859041,0.151870,-0.065424,-0.484462,-0.102546,0.276025,0.084090,-0.747944,-0.199612,0.297093,-0.558991,-0.345673,0.351742,0.119967,-0.000132,-0.000553,0.000309,-1.000000,0.038687,0.137891,0.300344,0.215488,0.140779,0.428315,0.168524,0.141118,0.560784,-0.122278,0.143311,0.486984,-0.123420,0.141750,0.557914,0.231329,0.122101,0.562532,0.039232,0.123938,0.299019,0.039042,0.123480,0.380536,0.038965,0.125152,0.223193,-0.315565,0.349714,0.100587,0.195991,0.128015,0.218652,-0.107894,0.132190,0.298661,0.197821,0.129538,0.298310,-0.107779,0.133192,0.225640,-0.107423,0.133979,0.377985,0.197631,0.130590,0.380884,,,,,,,,,,,,,,,,,,,0.006243,0.391159,-0.130296,-0.105823,0.320702,-0.009479,-0.039032,0.392679,-0.133189,-0.050670,0.301147,0.025246,-0.064516,0.349229,0.010359,-0.350978,0.457975,-0.027490,-0.395242,0.474003,-0.018873,-0.419843,0.440753,0.031511,-0.451104,0.460343,0.082562,-0.512284,0.457667,0.058700
4,0.016667,-0.859051,0.152018,-0.065054,-0.484448,-0.102461,0.275982,0.084243,-0.748005,-0.199586,0.297356,-0.558779,-0.345574,0.351669,0.120018,-0.000104,-0.000539,0.000296,-1.000000,0.038669,0.137880,0.300350,0.215460,0.140778,0.428322,0.168497,0.141120,0.560798,-0.122295,0.143310,0.486979,-0.123442,0.141746,0.557918,0.231307,0.122114,0.562543,0.039214,0.123943,0.299028,0.039009,0.123475,0.380546,0.038938,0.125143,0.223199,-0.315430,0.349721,0.100678,0.195964,0.128011,0.218664,-0.107930,0.132186,0.298664,0.197796,0.129527,0.298320,-0.107816,0.133187,0.225646,-0.107450,0.133983,0.377987,0.197601,0.130581,0.380898,,,,,,,,,,,,,,,,,,,0.006302,0.391107,-0.130190,-0.105800,0.320728,-0.009283,-0.038971,0.392613,-0.133064,-0.050584,0.301075,0.025374,-0.064429,0.349148,0.010516,-0.350882,0.457942,-0.027413,-0.395148,0.473980,-0.018795,-0.419739,0.440735,0.031631,-0.450971,0.460331,0.082675,-0.512150,0.457693,0.058855
5,0.020833,-0.859057,0.151916,-0.065058,-0.484469,-0.102357,0.275915,0.084386,-0.747797,-0.199651,0.297640,-0.558882,-0.345409,0.351694,0.120112,-0.000183,-0.000473,0.000360,-1.000000,0.038655,0.137903,0.300361,0.215429,0.140769,0.428321,0.168474,0.141122,0.560802,-0.122310,0.143313,0.486979,-0.123458,0.141748,0.557909,0.231175,0.122034,0.562626,0.039188,0.123943,0.299031,0.038986,0.123484,0.380552,0.038913,0.125146,0.223204,-0.315305,0.349700,0.100758,0.195932,0.128006,0.218674,-0.107942,0.132196,0.298659,0.197768,0.129532,0.298321,-0.107830,0.133183,0.225635,-0.107457,0.133981,0.377976,0.197588,0.130580,0.380896,,,,,,,,,,,,,,,,,,,0.006375,0.391048,-0.130069,-0.105711,0.320656,-0.009127,-0.038911,0.392547,-0.132937,-0.050486,0.301010,0.025496,-0.064360,0.349095,0.010664,-0.350791,0.457919,-0.027363,-0.395066,0.473977,-0.018701,-0.419611,0.440704,0.031731,-0.450822,0.460340,0.082780,-0.512012,0.457721,0.058995
