Format Version,1.23,Take Name,cap_057,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 09.00.28.041 PM,Total Frames in Take,1734,Total Exported Frames,1734,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,Unlabeled 3428,Unlabeled 3428,Unlabeled 3428,Unlabeled 3429,Unlabeled 3429,Unlabeled 3429,Unlabeled 3430,Unlabeled 3430,Unlabeled 3430,Unlabeled 3431,Unlabeled 3431,Unlabeled 3431,Unlabeled 3432,Unlabeled 3432,Unlabeled 3432,Unlabeled 3433,Unlabeled 3433,Unlabeled 3433,Unlabeled 3434,Unlabeled 3434,Unlabeled 3434,Unlabeled 3435,Unlabeled 3435,Unlabeled 3435,Unlabeled 3436,Unlabeled 3436,Unlabeled 3436,Unlabeled 3437,Unlabeled 3437,Unlabeled 3437,Unlabeled 3438,Unlabeled 3438,Unlabeled 3438,Unlabeled 3440,Unlabeled 3440,Unlabeled 3440,Unlabeled 3441,Unlabeled 3441,Unlabeled 3441,Unlabeled 3442,Unlabeled 3442,Unlabeled 3442,Unlabeled 3443,Unlabeled 3443,Unlabeled 3443,Unlabeled 3444,Unlabeled 3444,Unlabeled 3444,Unlabeled 3445,Unlabeled 3445,Unlabeled 3445,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker5,chisel_july10:Marker5,chisel_july10:Marker5,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker5,gripper_july10:Marker5,gripper_july10:Marker5
,ID,"29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","E2A50","E2A50","E2A50","E2A70","E2A70","E2A70","E2B70","E2B70","E2B70","E2B80","E2B80","E2B80","E2B00","E2B00","E2B00","E29A0","E29A0","E29A0","E2A80","E2A80","E2A80","E2B40","E2B40","E2B40","E2D50","E2D50","E2D50","E2D80","E2D80","E2D80","E2DB0","E2DB0","E2DB0","E2DD0","E2DD0","E2DD0","E2DF0","E2DF0","E2DF0","E2E10","E2E10","E2E10","E2E20","E2E20","E2E20","E2E60","E2E60","E2E60","E2E70","E2E70","E2E70","E2E90","E2E90","E2E90","E2EA0","E2EA0","E2EA0","E2EB0","E2EB0","E2EB0","E2EC0","E2EC0","E2EC0","E2F00","E2F00","E2F00","E2CF0","E2CF0","E2CF0","E2DE0","E2DE0","E2DE0","E2E50","E2E50","E2E50","E2AE0","E2AE0","E2AE0","E2DC0","E2DC0","E2DC0","E2C40","E2C40","E2C40","E2BA0","E2BA0","E2BA0","E2BC0","E2BC0","E2BC0","E2BB0","E2BB0","E2BB0","E2BD0","E2BD0","E2BD0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.825392,0.166545,-0.165419,-0.513447,-0.011130,0.279583,0.092908,-0.789619,-0.226084,0.260370,-0.507539,-0.275362,0.329111,0.197322,0.000427,-0.000612,0.000088,-1.000000,0.038616,0.137679,0.300400,0.215427,0.140763,0.428312,0.168517,0.141470,0.560920,-0.122303,0.143267,0.486945,-0.123487,0.141683,0.558079,0.231265,0.122114,0.562528,0.038849,0.125907,0.223148,0.039277,0.124672,0.299031,0.039051,0.124051,0.380503,-0.247740,0.329201,0.179893,-0.107951,0.132313,0.298602,0.197799,0.129544,0.298283,-0.108042,0.132968,0.225626,0.195928,0.127977,0.218626,0.197560,0.130669,0.380883,-0.107537,0.133831,0.377946,,,,,,,,,,,,,,,,,,,,,,0.129529,0.378561,-0.110596,0.000892,0.313815,-0.004089,0.085745,0.376920,-0.121711,0.049321,0.301871,0.041576,0.036230,0.347015,0.019095,-0.280188,0.456554,0.068142,-0.325475,0.469276,0.075841,-0.350525,0.428567,0.121302,-0.383682,0.438612,0.173850,-0.443761,0.438154,0.148041
1,0.004167,-0.825298,0.166628,-0.165282,-0.513615,-0.011083,0.279785,0.092873,-0.789506,-0.226138,0.260407,-0.507672,-0.275325,0.329144,0.197360,0.000243,-0.000532,0.000120,-1.000000,0.038660,0.137734,0.300413,0.215451,0.140773,0.428321,0.168561,0.141451,0.560915,-0.122270,0.143256,0.486939,-0.123455,0.141651,0.558075,0.231180,0.122028,0.562627,0.038873,0.125893,0.223168,0.039308,0.124643,0.299028,0.039078,0.124033,0.380500,-0.247750,0.329234,0.179911,-0.107920,0.132281,0.298599,0.197819,0.129536,0.298304,-0.108026,0.132976,0.225652,0.195951,0.127973,0.218642,0.197587,0.130663,0.380901,-0.107511,0.133828,0.377964,,,,,,,,,,,,,,,,,,,,,,0.129575,0.378660,-0.110677,0.000933,0.314002,-0.004127,0.085797,0.377010,-0.121791,0.049384,0.302028,0.041519,0.036275,0.347160,0.019015,-0.280200,0.456564,0.068155,-0.325466,0.469247,0.075831,-0.350519,0.428554,0.121306,-0.383661,0.438621,0.173873,-0.443743,0.438151,0.148061
2,0.008333,-0.825222,0.166752,-0.165072,-0.513764,-0.011019,0.279979,0.092820,-0.789447,-0.226159,0.260433,-0.507740,-0.275307,0.329186,0.197371,0.000425,-0.000615,0.000043,-1.000000,0.038696,0.137641,0.300387,0.215484,0.140740,0.428326,0.168665,0.141431,0.560849,-0.122225,0.143224,0.486931,-0.123417,0.141621,0.558068,0.231317,0.122104,0.562544,0.038903,0.125880,0.223163,0.039359,0.124615,0.299007,0.039120,0.124015,0.380497,-0.247748,0.329255,0.179920,-0.107870,0.132239,0.298580,0.197854,0.129525,0.298303,-0.108001,0.132960,0.225649,0.195980,0.127959,0.218646,0.197607,0.130664,0.380901,-0.107492,0.133818,0.377963,,,,,,,,,,,,,,,,,,,,,,0.129628,0.378755,-0.110768,0.000995,0.314215,-0.004198,0.085852,0.377090,-0.121883,0.049464,0.302168,0.041458,0.036347,0.347282,0.018904,-0.280205,0.456584,0.068163,-0.325458,0.469263,0.075807,-0.350519,0.428570,0.121289,-0.383642,0.438657,0.173888,-0.443741,0.438178,0.148063
3,0.012500,-0.825171,0.166514,-0.165254,-0.513865,-0.010946,0.280099,0.092751,-0.789412,-0.226167,0.260514,-0.507751,-0.275315,0.329229,0.197382,0.000374,-0.000599,0.000055,-1.000000,0.038709,0.137656,0.300395,0.215486,0.140740,0.428345,0.168679,0.141419,0.560857,-0.122210,0.143219,0.486931,-0.123410,0.141617,0.558073,0.231311,0.122083,0.562555,0.038898,0.125871,0.223177,0.039368,0.124618,0.299009,0.039129,0.124007,0.380493,-0.247781,0.329290,0.179932,-0.107864,0.132257,0.298582,0.197848,0.129517,0.298312,-0.107996,0.132948,0.225662,0.195970,0.127948,0.218658,0.197608,0.130659,0.380907,-0.107488,0.133806,0.377972,,,,,,,,,,,,,,,,,,,,,,0.129645,0.378863,-0.110859,0.001060,0.314289,-0.004299,0.085875,0.377194,-0.121970,0.049523,0.302304,0.041394,0.036404,0.347413,0.018796,-0.280233,0.456622,0.068177,-0.325481,0.469293,0.075811,-0.350530,0.428599,0.121297,-0.383651,0.438707,0.173898,-0.443745,0.438232,0.148097
4,0.016667,-0.825166,0.166299,-0.165380,-0.513902,-0.010879,0.280230,0.092665,-0.789400,-0.226145,0.260586,-0.507741,-0.275348,0.329304,0.197390,0.000419,-0.000605,0.000056,-1.000000,0.038698,0.137669,0.300389,0.215469,0.140764,0.428336,0.168669,0.141460,0.560846,-0.122212,0.143251,0.486924,-0.123409,0.141651,0.558072,0.231300,0.122116,0.562554,0.038885,0.125895,0.223177,0.039359,0.124653,0.299004,0.039118,0.124045,0.380488,-0.247821,0.329359,0.179948,-0.107865,0.132289,0.298588,0.197839,0.129535,0.298306,-0.108013,0.132965,0.225640,0.195965,0.127975,0.218653,0.197600,0.130687,0.380898,-0.107500,0.133836,0.377971,,,,,,,,,,,,,,,,,,,,,,0.129652,0.379011,-0.110957,0.001116,0.314403,-0.004414,0.085881,0.377333,-0.122064,0.049579,0.302444,0.041312,0.036448,0.347593,0.018695,-0.280265,0.456689,0.068188,-0.325520,0.469374,0.075823,-0.350557,0.428662,0.121304,-0.383672,0.438803,0.173907,-0.443770,0.438325,0.148121
5,0.020833,-0.825173,0.165820,-0.165736,-0.513930,-0.010791,0.280308,0.092586,-0.789413,-0.226122,0.260677,-0.507685,-0.275405,0.329367,0.197414,0.000526,-0.000611,0.000037,-1.000000,0.038659,0.137658,0.300402,0.215430,0.140784,0.428342,0.168602,0.141556,0.560874,-0.122244,0.143276,0.486939,-0.123432,0.141678,0.558082,0.231276,0.122133,0.562557,0.038861,0.125918,0.223176,0.039327,0.124684,0.299021,0.039090,0.124058,0.380501,-0.247880,0.329421,0.179974,-0.107900,0.132318,0.298600,0.197805,0.129567,0.298302,-0.108027,0.132994,0.225650,0.195932,0.127994,0.218657,0.197572,0.130695,0.380895,-0.107529,0.133865,0.377974,,,,,,,,,,,,,,,,,,,,,,0.129637,0.379145,-0.111064,0.001203,0.314428,-0.004524,0.085867,0.377491,-0.122151,0.049620,0.302583,0.041242,0.036478,0.347745,0.018614,-0.280314,0.456755,0.068216,-0.325579,0.469454,0.075868,-0.350608,0.428742,0.121347,-0.383717,0.438886,0.173941,-0.443802,0.438410,0.148170
