Format Version,1.23,Take Name,cap_065,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 09.04.41.746 PM,Total Frames in Take,1805,Total Exported Frames,1805,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,Unlabeled 3739,Unlabeled 3739,Unlabeled 3739,Unlabeled 3740,Unlabeled 3740,Unlabeled 3740,Unlabeled 3741,Unlabeled 3741,Unlabeled 3741,Unlabeled 3742,Unlabeled 3742,Unlabeled 3742,Unlabeled 3743,Unlabeled 3743,Unlabeled 3743,Unlabeled 3744,Unlabeled 3744,Unlabeled 3744,Unlabeled 3745,Unlabeled 3745,Unlabeled 3745,Unlabeled 3746,Unlabeled 3746,Unlabeled 3746,Unlabeled 3747,Unlabeled 3747,Unlabeled 3747,Unlabeled 3748,Unlabeled 3748,Unlabeled 3748,Unlabeled 3749,Unlabeled 3749,Unlabeled 3749,Unlabeled 3750,Unlabeled 3750,Unlabeled 3750,Unlabeled 3751,Unlabeled 3751,Unlabeled 3751,Unlabeled 3752,Unlabeled 3752,Unlabeled 3752,Unlabeled 3753,Unlabeled 3753,Unlabeled 3753,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker5,chisel_july10:Marker5,chisel_july10:Marker5,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker5,gripper_july10:Marker5,gripper_july10:Marker5
,ID,"29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","E4160","E4160","E4160","E42A0","E42A0","E42A0","E4320","E4320","E4320","E4330","E4330","E4330","E44D0","E44D0","E44D0","E42B0","E42B0","E42B0","E42C0","E42C0","E42C0","E42D0","E42D0","E42D0","E43E0","E43E0","E43E0","E46A0","E46A0","E46A0","E46B0","E46B0","E46B0","E46C0","E46C0","E46C0","E46D0","E46D0","E46D0","E46E0","E46E0","E46E0","E4710","E4710","E4710","E4770","E4770","E4770","E4780","E4780","E4780","E4760","E4760","E4760","E47A0","E47A0","E47A0","E47B0","E47B0","E47B0","E4720","E4720","E4720","E4240","E4240","E4240","E4740","E4740","E4740","E4220","E4220","E4220","E4230","E4230","E4230","E42E0","E42E0","E42E0","E4340","E4340","E4340","E4350","E4350","E4350","E4360","E4360","E4360","E4370","E4370","E4370"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.875803,0.186757,-0.309210,-0.320125,-0.063348,0.241065,-0.001987,-0.856617,-0.225869,0.249357,-0.391167,-0.162702,0.269737,0.115376,0.000577,-0.000994,0.000124,-0.999999,0.038392,0.137655,0.300566,0.215354,0.140754,0.428337,0.168523,0.141532,0.560936,-0.122317,0.143341,0.486976,-0.123639,0.141716,0.558664,0.231215,0.122154,0.562565,0.039102,0.124269,0.299059,0.039031,0.124035,0.380559,0.038788,0.125630,0.223210,-0.136326,0.271849,0.099370,0.195811,0.127940,0.218702,0.197729,0.129549,0.298324,0.197512,0.130717,0.380922,-0.107936,0.132586,0.298655,-0.108095,0.132925,0.225722,-0.107650,0.133857,0.377999,,,,,,,,,,,,,,,,0.098029,0.423241,-0.110132,-0.034086,0.308967,-0.075058,0.060522,0.419747,-0.134847,0.001127,0.287876,-0.021779,-0.015892,0.335691,-0.033297,-0.156350,0.426082,0.022992,-0.200179,0.439420,0.034034,-0.228835,0.390767,0.067944,-0.261795,0.389824,0.121580,-0.321353,0.400932,0.097222
1,0.004167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.008333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.012500,-0.875700,0.188309,-0.300305,-0.327882,-0.060356,0.242830,0.000786,-0.857199,-0.230454,0.242088,-0.391784,-0.161156,0.270378,0.115009,0.000237,-0.000909,0.000089,-1.000000,0.038506,0.137797,0.300596,0.215516,0.140850,0.428334,0.168575,0.141514,0.560961,-0.122248,0.143306,0.486997,-0.123573,0.141705,0.558686,0.231250,0.122098,0.562680,0.039189,0.124289,0.299076,0.039100,0.124012,0.380571,0.038864,0.125634,0.223227,-0.134762,0.272736,0.098867,0.195901,0.127936,0.218712,0.197818,0.129544,0.298338,0.197594,0.130720,0.380942,-0.107868,0.132582,0.298666,-0.108010,0.132923,0.225746,-0.107565,0.133851,0.378015,,,,,,,,,,,,,,,,0.101446,0.421788,-0.111829,-0.031565,0.309707,-0.073368,0.063544,0.418598,-0.135899,0.004468,0.288632,-0.020601,-0.012232,0.336502,-0.032287,-0.156041,0.427265,0.023454,-0.200178,0.439985,0.034201,-0.228489,0.390624,0.067441,-0.261907,0.389167,0.120902,-0.321454,0.399479,0.096030
4,0.016667,-0.875744,0.188780,-0.297285,-0.330237,-0.059345,0.243311,0.001611,-0.857459,-0.232227,0.239488,-0.391765,-0.160594,0.270572,0.114769,0.000608,-0.001001,0.000114,-0.999999,0.038480,0.137633,0.300575,0.215462,0.140750,0.428340,0.168599,0.141524,0.560948,-0.122237,0.143313,0.486995,-0.123555,0.141722,0.558672,0.231321,0.122149,0.562569,0.039214,0.124292,0.299065,0.039122,0.124017,0.380568,0.038886,0.125640,0.223218,-0.133093,0.274058,0.098375,0.195932,0.127943,0.218698,0.197846,0.129558,0.298328,0.197619,0.130727,0.380925,-0.107851,0.132588,0.298657,-0.107984,0.132932,0.225737,-0.107545,0.133861,0.378000,,,,,,,,,,,,,,,,0.102596,0.421328,-0.112465,-0.030708,0.309799,-0.072881,0.064478,0.418213,-0.136277,0.005518,0.288759,-0.020268,-0.011053,0.336688,-0.031995,-0.155969,0.427679,0.023604,-0.200193,0.440172,0.034228,-0.228394,0.390604,0.067250,-0.261940,0.388857,0.120615,-0.321442,0.398902,0.095562
5,0.020833,-0.875630,0.188710,-0.294817,-0.332782,-0.058248,0.243796,0.002463,-0.858023,-0.233750,0.237246,-0.390987,-0.160203,0.270641,0.114309,0.000258,-0.000985,0.000065,-1.000000,0.038489,0.137834,0.300552,0.215543,0.140891,0.428294,0.168577,0.141554,0.560935,-0.122245,0.143343,0.486983,-0.123582,0.141749,0.558661,0.231310,0.122174,0.562541,0.039217,0.124314,0.299036,0.039107,0.124042,0.380551,0.038890,0.125666,0.223194,-0.132590,0.274322,0.098167,0.195935,0.127983,0.218664,0.197846,0.129581,0.298302,0.197622,0.130742,0.380905,-0.107846,0.132612,0.298629,-0.107980,0.132948,0.225705,-0.107540,0.133863,0.377978,,,,,,,,,,,,,,,,0.103643,0.420918,-0.113088,-0.029812,0.309807,-0.072470,0.065370,0.417804,-0.136725,0.006623,0.288971,-0.019941,-0.009832,0.336967,-0.031697,-0.155915,0.428084,0.023722,-0.200251,0.440376,0.034257,-0.228329,0.390598,0.067040,-0.262014,0.388519,0.120305,-0.321465,0.398437,0.095152
