Format Version,1.23,Take Name,cap_083,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 09.13.16.945 PM,Total Frames in Take,1901,Total Exported Frames,1901,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,Unlabeled 4378,Unlabeled 4378,Unlabeled 4378,Unlabeled 4379,Unlabeled 4379,Unlabeled 4379,Unlabeled 4380,Unlabeled 4380,Unlabeled 4380,Unlabeled 4381,Unlabeled 4381,Unlabeled 4381,Unlabeled 4382,Unlabeled 4382,Unlabeled 4382,Unlabeled 4383,Unlabeled 4383,Unlabeled 4383,Unlabeled 4384,Unlabeled 4384,Unlabeled 4384,Unlabeled 4385,Unlabeled 4385,Unlabeled 4385,Unlabeled 4386,Unlabeled 4386,Unlabeled 4386,Unlabeled 4387,Unlabeled 4387,Unlabeled 4387,Unlabeled 4388,Unlabeled 4388,Unlabeled 4388,Unlabeled 4389,Unlabeled 4389,Unlabeled 4389,Unlabeled 4390,Unlabeled 4390,Unlabeled 4390,Unlabeled 4391,Unlabeled 4391,Unlabeled 4391,Unlabeled 4392,Unlabeled 4392,Unlabeled 4392,Unlabeled 4393,Unlabeled 4393,Unlabeled 4393,Unlabeled 4394,Unlabeled 4394,Unlabeled 4394,Unlabeled 4395,Unlabeled 4395,Unlabeled 4395,Unlabeled 4396,Unlabeled 4396,Unlabeled 4396,Unlabeled 4397,Unlabeled 4397,Unlabeled 4397,Unlabeled 4398,Unlabeled 4398,Unlabeled 4398,Unlabeled 4399,Unlabeled 4399,Unlabeled 4399,Unlabeled 4400,Unlabeled 4400,Unlabeled 4400,Unlabeled 4401,Unlabeled 4401,Unlabeled 4401,Unlabeled 4402,Unlabeled 4402,Unlabeled 4402,Unlabeled 4403,Unlabeled 4403,Unlabeled 4403,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker5,chisel_july10:Marker5,chisel_july10:Marker5,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker5,gripper_july10:Marker5,gripper_july10:Marker5
,ID,"29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","E77D0","E77D0","E77D0","E7810","E7810","E7810","E7870","E7870","E7870","E7880","E7880","E7880","E77B0","E77B0","E77B0","E7750","E7750","E7750","E7820","E7820","E7820","E7830","E7830","E7830","E7840","E7840","E7840","E78E0","E78E0","E78E0","E79D0","E79D0","E79D0","E79E0","E79E0","E79E0","E79F0","E79F0","E79F0","E7A00","E7A00","E7A00","E7A30","E7A30","E7A30","E7AA0","E7AA0","E7AA0","E7AB0","E7AB0","E7AB0","E7AC0","E7AC0","E7AC0","E7AD0","E7AD0","E7AD0","E7AE0","E7AE0","E7AE0","E7B00","E7B00","E7B00","E7AF0","E7AF0","E7AF0","E7B30","E7B30","E7B30","E7B20","E7B20","E7B20","E7B50","E7B50","E7B50","E7B10","E7B10","E7B10","E7B60","E7B60","E7B60","E7B70","E7B70","E7B70","E7B80","E7B80","E7B80","E7B90","E7B90","E7B90","E7BA0","E7BA0","E7BA0","E7A70","E7A70","E7A70","E7990","E7990","E7990","E7A40","E7A40","E7A40","E7780","E7780","E7780","E7710","E7710","E7710","E7740","E7740","E7740","E7760","E7760","E7760","E7770","E7770","E7770","E7790","E7790","E7790","E77A0","E77A0","E77A0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.865160,0.186479,-0.000004,-0.465535,-0.066563,0.258529,0.099949,-0.784178,-0.198146,0.318279,-0.494471,-0.230931,0.302327,0.141567,0.000261,-0.001165,0.000066,-0.999999,0.038359,0.137844,0.300667,0.215508,0.140928,0.428263,0.168513,0.141568,0.560925,-0.122336,0.143364,0.486960,-0.123536,0.141666,0.559376,0.231241,0.122185,0.562617,-0.190438,0.298928,0.107343,0.039245,0.124952,0.299072,0.039022,0.124209,0.380530,0.038948,0.126438,0.223192,-0.108041,0.132951,0.225694,0.197779,0.129472,0.298297,-0.107952,0.132638,0.298664,0.195876,0.128208,0.218687,-0.107635,0.132834,0.377976,0.197608,0.130639,0.380874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039825,0.374154,-0.115197,-0.070776,0.309150,0.009639,-0.004644,0.381618,-0.114331,-0.016484,0.281562,0.038821,-0.025202,0.331681,0.027898,-0.231845,0.426930,0.009500,-0.274576,0.444227,0.019737,-0.300284,0.407411,0.068106,-0.328485,0.422318,0.122520,-0.390061,0.428096,0.101173
1,0.004167,-0.865231,0.186406,-0.000287,-0.465434,-0.066310,0.258505,0.100443,-0.784379,-0.198446,0.317817,-0.494329,-0.230672,0.302325,0.141752,0.000288,-0.001154,0.000064,-0.999999,0.038361,0.137839,0.300654,0.215494,0.140930,0.428260,0.168521,0.141582,0.560906,-0.122329,0.143370,0.486940,-0.123531,0.141671,0.559359,0.231224,0.122192,0.562612,-0.190179,0.298981,0.107571,0.039252,0.124957,0.299056,0.039029,0.124212,0.380521,0.038953,0.126429,0.223175,-0.108053,0.132946,0.225689,0.197776,0.129480,0.298289,-0.107946,0.132638,0.298654,0.195872,0.128214,0.218689,-0.107625,0.132837,0.377958,0.197596,0.130649,0.380877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040130,0.374218,-0.114643,-0.070517,0.309136,0.010122,-0.004347,0.381641,-0.113804,-0.016221,0.281557,0.039354,-0.024922,0.331689,0.028439,-0.231607,0.427047,0.009772,-0.274357,0.444285,0.020022,-0.300075,0.407406,0.068338,-0.328329,0.422268,0.122742,-0.389850,0.427998,0.101389
2,0.008333,-0.865288,0.186389,-0.000357,-0.465335,-0.066062,0.258518,0.100937,-0.784599,-0.198658,0.317430,-0.494143,-0.230453,0.302306,0.141926,0.000588,-0.001208,0.000106,-0.999999,0.038322,0.137705,0.300663,0.215413,0.140848,0.428279,0.168528,0.141584,0.560900,-0.122329,0.143386,0.486928,-0.123526,0.141688,0.559353,0.231222,0.122215,0.562609,-0.189868,0.299074,0.107829,0.039254,0.124968,0.299044,0.039023,0.124221,0.380510,0.038947,0.126426,0.223161,-0.108074,0.132958,0.225684,0.197752,0.129487,0.298287,-0.107944,0.132662,0.298647,0.195853,0.128216,0.218693,-0.107627,0.132846,0.377947,0.197579,0.130656,0.380867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040407,0.374283,-0.114130,-0.070302,0.309161,0.010649,-0.004071,0.381708,-0.113270,-0.015934,0.281602,0.039841,-0.024691,0.331710,0.028960,-0.231377,0.427137,0.010033,-0.274153,0.444340,0.020298,-0.299897,0.407411,0.068569,-0.328158,0.422219,0.122959,-0.389661,0.427917,0.101584
3,0.012500,-0.865336,0.186302,-0.000788,-0.465280,-0.065840,0.258555,0.101409,-0.784781,-0.198781,0.317090,-0.494023,-0.230268,0.302296,0.142113,0.000273,-0.001154,0.000075,-0.999999,0.038350,0.137876,0.300635,0.215469,0.140960,0.428241,0.168516,0.141605,0.560884,-0.122336,0.143405,0.486915,-0.123535,0.141705,0.559333,0.231209,0.122218,0.562602,-0.189603,0.299135,0.108039,0.039250,0.124987,0.299034,0.039017,0.124244,0.380490,0.038942,0.126448,0.223145,-0.108080,0.132965,0.225664,0.197747,0.129524,0.298278,-0.107951,0.132678,0.298633,0.195845,0.128230,0.218676,-0.107629,0.132867,0.377935,0.197573,0.130670,0.380865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040707,0.374387,-0.113543,-0.070042,0.309229,0.011133,-0.003781,0.381759,-0.112778,-0.015671,0.281661,0.040354,-0.024465,0.331743,0.029414,-0.231185,0.427200,0.010312,-0.273977,0.444380,0.020551,-0.299717,0.407418,0.068773,-0.327992,0.422184,0.123176,-0.389501,0.427873,0.101749
4,0.016667,-0.865331,0.186573,-0.000432,-0.465179,-0.065618,0.258606,0.101929,-0.784948,-0.198969,0.316726,-0.493916,-0.230073,0.302281,0.142305,0.000274,-0.001162,0.000079,-0.999999,0.038341,0.137884,0.300638,0.215462,0.140966,0.428246,0.168514,0.141615,0.560890,-0.122345,0.143417,0.486919,-0.123537,0.141715,0.559333,0.231204,0.122226,0.562595,-0.189383,0.299174,0.108252,0.039244,0.124992,0.299039,0.039013,0.124250,0.380501,0.038937,0.126437,0.223144,-0.108088,0.132984,0.225665,0.197739,0.129514,0.298281,-0.107946,0.132686,0.298637,0.195837,0.128238,0.218676,-0.107635,0.132875,0.377933,0.197571,0.130673,0.380856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040947,0.374436,-0.113031,-0.069830,0.309330,0.011651,-0.003524,0.381808,-0.112238,-0.015436,0.281682,0.040875,-0.024203,0.331776,0.029954,-0.230998,0.427255,0.010569,-0.273803,0.444415,0.020809,-0.299534,0.407431,0.068996,-0.327848,0.422118,0.123417,-0.389362,0.427799,0.101928
5,0.020833,-0.865341,0.186746,-0.000360,-0.465091,-0.065416,0.258646,0.102415,-0.785010,-0.199278,0.316230,-0.494010,-0.229834,0.302327,0.142540,0.000305,-0.001167,0.000091,-0.999999,0.038332,0.137862,0.300649,0.215457,0.140948,0.428252,0.168503,0.141607,0.560903,-0.122349,0.143410,0.486929,-0.123548,0.141711,0.559357,0.231200,0.122214,0.562603,-0.189172,0.299211,0.108455,0.039233,0.124996,0.299055,0.039004,0.124245,0.380512,0.038927,0.126435,0.223159,-0.108082,0.132962,0.225671,0.197738,0.129500,0.298291,-0.107958,0.132677,0.298649,0.195833,0.128220,0.218680,-0.107646,0.132866,0.377960,0.197566,0.130662,0.380864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041200,0.374483,-0.112510,-0.069608,0.309404,0.012147,-0.003255,0.381854,-0.111734,-0.015206,0.281725,0.041352,-0.023981,0.331795,0.030477,-0.230810,0.427335,0.010834,-0.273652,0.444449,0.021068,-0.299349,0.407452,0.069229,-0.327718,0.422057,0.123642,-0.389232,0.427699,0.102100
