Format Version,1.23,Take Name,cap_094,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 09.19.32.944 PM,Total Frames in Take,2367,Total Exported Frames,2367,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,Unlabeled 4793,Unlabeled 4793,Unlabeled 4793,Unlabeled 4794,Unlabeled 4794,Unlabeled 4794,Unlabeled 4795,Unlabeled 4795,Unlabeled 4795,Unlabeled 4796,Unlabeled 4796,Unlabeled 4796,Unlabeled 4797,Unlabeled 4797,Unlabeled 4797,Unlabeled 4798,Unlabeled 4798,Unlabeled 4798,Unlabeled 4799,Unlabeled 4799,Unlabeled 4799,Unlabeled 4800,Unlabeled 4800,Unlabeled 4800,Unlabeled 4801,Unlabeled 4801,Unlabeled 4801,Unlabeled 4802,Unlabeled 4802,Unlabeled 4802,Unlabeled 4803,Unlabeled 4803,Unlabeled 4803,Unlabeled 4804,Unlabeled 4804,Unlabeled 4804,Unlabeled 4805,Unlabeled 4805,Unlabeled 4805,Unlabeled 4806,Unlabeled 4806,Unlabeled 4806,Unlabeled 4807,Unlabeled 4807,Unlabeled 4807,Unlabeled 4808,Unlabeled 4808,Unlabeled 4808,Unlabeled 4809,Unlabeled 4809,Unlabeled 4809,Unlabeled 4810,Unlabeled 4810,Unlabeled 4810,Unlabeled 4811,Unlabeled 4811,Unlabeled 4811,Unlabeled 4812,Unlabeled 4812,Unlabeled 4812,Unlabeled 4813,Unlabeled 4813,Unlabeled 4813,Unlabeled 4814,Unlabeled 4814,Unlabeled 4814,Unlabeled 4815,Unlabeled 4815,Unlabeled 4815,Unlabeled 4816,Unlabeled 4816,Unlabeled 4816,Unlabeled 4817,Unlabeled 4817,Unlabeled 4817,Unlabeled 4818,Unlabeled 4818,Unlabeled 4818,Unlabeled 4819,Unlabeled 4819,Unlabeled 4819,Unlabeled 4820,Unlabeled 4820,Unlabeled 4820,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker5,chisel_july10:Marker5,chisel_july10:Marker5,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker5,gripper_july10:Marker5,gripper_july10:Marker5
,ID,"29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","EA2B0","EA2B0","EA2B0","E9290","E9290","E9290","E9310","E9310","E9310","E9320","E9320","E9320","E9DC0","E9DC0","E9DC0","E92B0","E92B0","E92B0","EA000","EA000","EA000","EA120","EA120","EA120","EA2E0","EA2E0","EA2E0","EA350","EA350","EA350","EA3F0","EA3F0","EA3F0","EA400","EA400","EA400","EA490","EA490","EA490","EA4B0","EA4B0","EA4B0","EA4E0","EA4E0","EA4E0","EA680","EA680","EA680","EA690","EA690","EA690","EA6A0","EA6A0","EA6A0","EA6D0","EA6D0","EA6D0","EA6B0","EA6B0","EA6B0","EA6F0","EA6F0","EA6F0","EA710","EA710","EA710","EA730","EA730","EA730","EA740","EA740","EA740","EA750","EA750","EA750","EA770","EA770","EA770","EA760","EA760","EA760","EA720","EA720","EA720","EA790","EA790","EA790","EA7D0","EA7D0","EA7D0","EA7B0","EA7B0","EA7B0","EA7F0","EA7F0","EA7F0","EA800","EA800","EA800","EA1A0","EA1A0","EA1A0","EA3B0","EA3B0","EA3B0","EA330","EA330","EA330","EA530","EA530","EA530","EA670","EA670","EA670","E92E0","E92E0","E92E0","EA650","EA650","EA650","EA630","EA630","EA630","E9FF0","E9FF0","E9FF0","EA620","EA620","EA620"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.816850,-0.036189,0.067301,-0.571767,0.250687,0.351914,-0.298753,-0.739224,0.242483,-0.280461,-0.562220,0.456093,0.279233,0.050675,-0.000681,-0.000957,-0.000043,-0.999999,0.038396,0.138346,0.300624,0.215597,0.141272,0.428233,0.168475,0.141602,0.560914,-0.122364,0.143392,0.486954,-0.123840,0.141643,0.559897,0.231205,0.122217,0.562511,0.039012,0.124295,0.380551,0.494921,0.276624,0.095152,0.197665,0.131114,0.380874,0.197855,0.130277,0.298230,0.039066,0.124922,0.299014,-0.107661,0.133395,0.377904,-0.108013,0.132976,0.298582,0.195877,0.128737,0.218764,0.038810,0.126383,0.223211,-0.107903,0.134125,0.225697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237856,0.432828,-0.552249,0.201227,0.375189,-0.386765,0.196311,0.428752,-0.535755,0.268000,0.370836,-0.376953,0.240145,0.412719,-0.390481,0.606522,0.379281,0.030507,0.596304,0.393666,-0.013218,0.541385,0.362926,-0.032996,0.488502,0.383442,-0.060731,0.507054,0.378819,-0.123101
1,0.004167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.008333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.012500,-0.816837,-0.036135,0.067232,-0.571797,0.250674,0.351997,-0.298740,-0.740167,0.241321,-0.280788,-0.561315,0.456459,0.278791,0.050671,-0.000716,-0.000969,-0.000061,-0.999999,0.038419,0.138356,0.300685,0.215626,0.141277,0.428310,0.168502,0.141596,0.560965,-0.122345,0.143382,0.487012,-0.123816,0.141637,0.559947,0.231244,0.122216,0.562557,0.039031,0.124293,0.380608,0.494846,0.276746,0.095164,0.197689,0.131116,0.380927,0.197859,0.130292,0.298276,0.039053,0.124947,0.299057,-0.107670,0.133390,0.377942,-0.108024,0.132972,0.298621,0.195892,0.128747,0.218808,0.038799,0.126401,0.223249,-0.107909,0.134129,0.225740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237883,0.432896,-0.552240,0.201215,0.375268,-0.386785,0.196337,0.428815,-0.535757,0.268009,0.370910,-0.376925,0.240160,0.412800,-0.390466,0.606484,0.379330,0.030508,0.596285,0.393697,-0.013230,0.541351,0.362965,-0.032987,0.488504,0.383198,-0.060425,0.507006,0.378852,-0.123081
4,0.016667,-0.816822,-0.036125,0.067259,-0.571816,0.250668,0.352004,-0.298724,-0.740119,0.241375,-0.280697,-0.561402,0.456427,0.278826,0.050702,-0.000744,-0.000984,-0.000059,-0.999999,0.038416,0.138353,0.300708,0.215631,0.141265,0.428316,0.168503,0.141573,0.560997,-0.122345,0.143374,0.487043,-0.123814,0.141612,0.559984,0.231252,0.122205,0.562573,0.039029,0.124279,0.380633,0.494869,0.276674,0.095143,0.197691,0.131112,0.380957,0.197867,0.130275,0.298302,0.039035,0.124937,0.299076,-0.107684,0.133396,0.377965,-0.108037,0.132980,0.298645,0.195890,0.128734,0.218844,0.038783,0.126385,0.223270,-0.107925,0.134118,0.225765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237880,0.432891,-0.552228,0.201206,0.375272,-0.386770,0.196323,0.428808,-0.535729,0.267999,0.370914,-0.376915,0.240156,0.412805,-0.390457,0.606478,0.379324,0.030507,0.596268,0.393689,-0.013217,0.541329,0.362967,-0.032971,0.488505,0.383214,-0.060413,0.506976,0.378857,-0.123064
5,0.020833,-0.816812,-0.036075,0.067294,-0.571829,0.250671,0.352032,-0.298712,-0.740113,0.241348,-0.280711,-0.561414,0.456424,0.278830,0.050721,-0.000729,-0.000976,-0.000055,-0.999999,0.038424,0.138335,0.300723,0.215631,0.141252,0.428336,0.168508,0.141573,0.561009,-0.122334,0.143358,0.487057,-0.123816,0.141605,0.560006,0.231260,0.122181,0.562593,0.039034,0.124275,0.380648,0.494856,0.276727,0.095166,0.197697,0.131109,0.380970,0.197871,0.130274,0.298320,0.039039,0.124939,0.299094,-0.107687,0.133389,0.377991,-0.108035,0.132964,0.298659,0.195896,0.128731,0.218862,0.038791,0.126394,0.223285,-0.107915,0.134109,0.225778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237886,0.432912,-0.552218,0.201212,0.375300,-0.386750,0.196343,0.428831,-0.535729,0.268006,0.370930,-0.376908,0.240162,0.412838,-0.390450,0.606478,0.379330,0.030515,0.596260,0.393699,-0.013197,0.541318,0.362979,-0.032956,0.488490,0.383213,-0.060399,0.506972,0.378853,-0.123052
