Format Version,1.23,Take Name,cap_100,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 09.40.32.191 PM,Total Frames in Take,2426,Total Exported Frames,2426,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,Unlabeled 5021,Unlabeled 5021,Unlabeled 5021,Unlabeled 5022,Unlabeled 5022,Unlabeled 5022,Unlabeled 5023,Unlabeled 5023,Unlabeled 5023,Unlabeled 5024,Unlabeled 5024,Unlabeled 5024,Unlabeled 5025,Unlabeled 5025,Unlabeled 5025,Unlabeled 5026,Unlabeled 5026,Unlabeled 5026,Unlabeled 5027,Unlabeled 5027,Unlabeled 5027,Unlabeled 5028,Unlabeled 5028,Unlabeled 5028,Unlabeled 5029,Unlabeled 5029,Unlabeled 5029,Unlabeled 5030,Unlabeled 5030,Unlabeled 5030,Unlabeled 5031,Unlabeled 5031,Unlabeled 5031,Unlabeled 5032,Unlabeled 5032,Unlabeled 5032,Unlabeled 5033,Unlabeled 5033,Unlabeled 5033,Unlabeled 5034,Unlabeled 5034,Unlabeled 5034,Unlabeled 5035,Unlabeled 5035,Unlabeled 5035,Unlabeled 5036,Unlabeled 5036,Unlabeled 5036,Unlabeled 5037,Unlabeled 5037,Unlabeled 5037,Unlabeled 5038,Unlabeled 5038,Unlabeled 5038,Unlabeled 5039,Unlabeled 5039,Unlabeled 5039,Unlabeled 5040,Unlabeled 5040,Unlabeled 5040,Unlabeled 5041,Unlabeled 5041,Unlabeled 5041,Unlabeled 5042,Unlabeled 5042,Unlabeled 5042,Unlabeled 5043,Unlabeled 5043,Unlabeled 5043,Unlabeled 5044,Unlabeled 5044,Unlabeled 5044,Unlabeled 5045,Unlabeled 5045,Unlabeled 5045,Unlabeled 5046,Unlabeled 5046,Unlabeled 5046,Unlabeled 5047,Unlabeled 5047,Unlabeled 5047,Unlabeled 5049,Unlabeled 5049,Unlabeled 5049,Unlabeled 5050,Unlabeled 5050,Unlabeled 5050,Unlabeled 5051,Unlabeled 5051,Unlabeled 5051,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker5,chisel_july10:Marker5,chisel_july10:Marker5,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker5,gripper_july10:Marker5,gripper_july10:Marker5
,ID,"29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","EBF10","EBF10","EBF10","EB3A0","EB3A0","EB3A0","F7DF0","F7DF0","F7DF0","F87D0","F87D0","F87D0","EBAD0","EBAD0","EBAD0","EBB30","EBB30","EBB30","EBC70","EBC70","EBC70","EBE80","EBE80","EBE80","EFD50","EFD50","EFD50","F7780","F7780","F7780","F7DA0","F7DA0","F7DA0","F82C0","F82C0","F82C0","F8C70","F8C70","F8C70","F8F30","F8F30","F8F30","F8F50","F8F50","F8F50","F9080","F9080","F9080","F9140","F9140","F9140","F91B0","F91B0","F91B0","F9150","F9150","F9150","F91C0","F91C0","F91C0","F91D0","F91D0","F91D0","F91E0","F91E0","F91E0","F91F0","F91F0","F91F0","F9200","F9200","F9200","F9220","F9220","F9220","F9210","F9210","F9210","F9230","F9230","F9230","F8EC0","F8EC0","F8EC0","F9260","F9260","F9260","F9250","F9250","F9250","F9280","F9280","F9280","F9290","F9290","F9290","F92B0","F92B0","F92B0","F92C0","F92C0","F92C0","F92F0","F92F0","F92F0","F4F20","F4F20","F4F20","F8F90","F8F90","F8F90","F8D00","F8D00","F8D00","F90E0","F90E0","F90E0","F9100","F9100","F9100","EBDF0","EBDF0","EBDF0","F8FC0","F8FC0","F8FC0","F9020","F9020","F9020","EB420","EB420","EB420","F9000","F9000","F9000"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.696954,-0.274346,0.385828,-0.538634,-0.287968,0.361075,0.141262,-0.765407,-0.021372,-0.283954,-0.577119,-0.072088,0.284873,0.125203,0.000474,0.000400,0.000650,-1.000000,0.038975,0.137846,0.299999,0.215466,0.140882,0.428292,0.168479,0.141253,0.560771,-0.122345,0.143366,0.487043,-0.123913,0.142378,0.556494,0.231310,0.122164,0.562536,-0.026608,0.302847,0.152391,0.197644,0.130896,0.380928,0.197843,0.130006,0.298290,0.195889,0.130648,0.218847,0.215540,0.131191,0.537131,0.039291,0.125176,0.299095,0.039054,0.124449,0.380547,-0.107519,0.133542,0.377993,0.038898,0.126555,0.223176,-0.107912,0.133647,0.225684,-0.107910,0.132791,0.298689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.488875,0.421639,-0.023280,-0.387318,0.377147,0.117415,-0.503913,0.419112,0.019160,-0.335270,0.373278,0.075684,-0.366538,0.415132,0.084215,0.012989,0.425604,0.048703,-0.014135,0.427747,0.010390,-0.054781,0.374941,0.011964,-0.116668,0.369533,0.001892,-0.115888,0.359142,-0.062660
1,0.004167,-0.696955,-0.274324,0.385857,-0.538622,-0.287970,0.361097,0.141257,-0.765439,-0.021311,-0.283762,-0.577173,-0.072091,0.284885,0.125220,0.000382,0.000400,0.000640,-1.000000,0.038981,0.137898,0.299994,0.215505,0.140917,0.428264,0.168465,0.141254,0.560763,-0.122339,0.143376,0.487043,-0.123912,0.142384,0.556498,0.231311,0.122172,0.562540,-0.026605,0.302859,0.152414,0.197646,0.130910,0.380916,0.197835,0.130013,0.298293,0.195888,0.130646,0.218840,0.215547,0.131215,0.537121,0.039297,0.125191,0.299087,0.039058,0.124449,0.380543,-0.107511,0.133568,0.377999,0.038893,0.126554,0.223173,-0.107917,0.133648,0.225691,-0.107903,0.132802,0.298683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.488885,0.421683,-0.023285,-0.387317,0.377175,0.117423,-0.503917,0.419141,0.019154,-0.335267,0.373299,0.075684,-0.366535,0.415159,0.084204,0.012999,0.425613,0.048722,-0.014105,0.427681,0.010361,-0.054781,0.374966,0.011973,-0.116672,0.369559,0.001929,-0.115894,0.359163,-0.062632
2,0.008333,-0.696926,-0.274278,0.385899,-0.538653,-0.287964,0.361115,0.141232,-0.765506,-0.021290,-0.283638,-0.577146,-0.072073,0.284891,0.125215,0.000348,0.000409,0.000648,-1.000000,0.038984,0.137927,0.299968,0.215497,0.140938,0.428237,0.168470,0.141267,0.560741,-0.122335,0.143392,0.487014,-0.123912,0.142401,0.556469,0.231304,0.122176,0.562522,-0.026596,0.302868,0.152413,0.197635,0.130917,0.380904,0.197832,0.130021,0.298275,0.195877,0.130654,0.218824,0.215558,0.131190,0.537103,0.039303,0.125202,0.299068,0.039065,0.124459,0.380515,-0.107502,0.133570,0.377974,0.038890,0.126573,0.223155,-0.107898,0.133648,0.225662,-0.107899,0.132821,0.298666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.488877,0.421697,-0.023313,-0.387314,0.377201,0.117399,-0.503910,0.419157,0.019125,-0.335263,0.373327,0.075664,-0.366519,0.415156,0.084166,0.013014,0.425626,0.048733,-0.014078,0.427666,0.010347,-0.054771,0.374994,0.011976,-0.116664,0.369586,0.001947,-0.115896,0.359199,-0.062615
3,0.012500,-0.696910,-0.274306,0.385886,-0.538670,-0.287964,0.361125,0.141216,-0.765532,-0.021171,-0.283473,-0.577196,-0.072094,0.284895,0.125229,0.000961,0.000448,0.000488,-0.999999,0.038989,0.137730,0.299985,0.215488,0.140933,0.428226,0.168451,0.141673,0.560870,-0.122333,0.143394,0.487005,-0.123923,0.142401,0.556458,0.231283,0.122182,0.562519,-0.026596,0.302854,0.152422,0.197621,0.130921,0.380893,0.197809,0.130031,0.298268,0.195855,0.130656,0.218814,0.215566,0.131248,0.537088,0.039294,0.125194,0.299049,0.039064,0.124464,0.380496,-0.107510,0.133566,0.377958,0.038874,0.126568,0.223146,-0.107917,0.133647,0.225646,-0.107900,0.132825,0.298653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.488876,0.421680,-0.023320,-0.387320,0.377199,0.117390,-0.503911,0.419155,0.019110,-0.335281,0.373347,0.075635,-0.366516,0.415151,0.084154,0.013021,0.425619,0.048752,-0.014040,0.427613,0.010336,-0.054765,0.375007,0.011994,-0.116673,0.369605,0.001969,-0.115904,0.359226,-0.062590
4,0.016667,-0.696919,-0.274286,0.385896,-0.538660,-0.287965,0.361113,0.141208,-0.765598,-0.021122,-0.283445,-0.577125,-0.072095,0.284882,0.125239,0.000931,0.000458,0.000502,-0.999999,0.038979,0.137744,0.299976,0.215457,0.140935,0.428227,0.168445,0.141663,0.560861,-0.122336,0.143401,0.486984,-0.123934,0.142406,0.556452,0.231260,0.122179,0.562516,-0.026599,0.302850,0.152432,0.197599,0.130927,0.380897,0.197791,0.130031,0.298269,0.195828,0.130652,0.218814,0.215551,0.131194,0.537104,0.039295,0.125195,0.299034,0.039062,0.124451,0.380484,-0.107518,0.133560,0.377943,0.038865,0.126564,0.223144,-0.107912,0.133647,0.225629,-0.107902,0.132819,0.298640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.488867,0.421683,-0.023331,-0.387322,0.377199,0.117382,-0.503900,0.419146,0.019106,-0.335305,0.373354,0.075619,-0.366502,0.415127,0.084146,0.013032,0.425620,0.048783,-0.014025,0.427625,0.010384,-0.054763,0.375020,0.012021,-0.116677,0.369615,0.001992,-0.115907,0.359254,-0.062561
5,0.020833,-0.696910,-0.274292,0.385890,-0.538673,-0.287973,0.361112,0.141209,-0.765629,-0.021069,-0.283451,-0.577082,-0.072108,0.284877,0.125261,0.001016,0.000458,0.000495,-0.999999,0.038963,0.137697,0.299976,0.215432,0.140912,0.428232,0.168435,0.141658,0.560858,-0.122346,0.143383,0.486982,-0.123950,0.142401,0.556450,0.231241,0.122183,0.562518,-0.026604,0.302816,0.152445,0.197567,0.130905,0.380893,0.197770,0.130028,0.298276,0.195808,0.130654,0.218816,0.215539,0.131199,0.537123,0.039279,0.125194,0.299034,0.039063,0.124437,0.380486,-0.107516,0.133544,0.377939,0.038842,0.126553,0.223152,-0.107929,0.133635,0.225622,-0.107910,0.132804,0.298625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.488868,0.421672,-0.023324,-0.387340,0.377201,0.117376,-0.503900,0.419128,0.019109,-0.335331,0.373359,0.075610,-0.366502,0.415115,0.084147,0.013034,0.425617,0.048816,-0.014025,0.427648,0.010449,-0.054764,0.375023,0.012047,-0.116683,0.369632,0.002023,-0.115911,0.359272,-0.062532
