Format Version,1.23,Take Name,cap_117,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 09.48.55.942 PM,Total Frames in Take,1870,Total Exported Frames,1870,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,Unlabeled 5665,Unlabeled 5665,Unlabeled 5665,Unlabeled 5666,Unlabeled 5666,Unlabeled 5666,Unlabeled 5667,Unlabeled 5667,Unlabeled 5667,Unlabeled 5668,Unlabeled 5668,Unlabeled 5668,Unlabeled 5669,Unlabeled 5669,Unlabeled 5669,Unlabeled 5670,Unlabeled 5670,Unlabeled 5670,Unlabeled 5671,Unlabeled 5671,Unlabeled 5671,Unlabeled 5672,Unlabeled 5672,Unlabeled 5672,Unlabeled 5673,Unlabeled 5673,Unlabeled 5673,Unlabeled 5674,Unlabeled 5674,Unlabeled 5674,Unlabeled 5675,Unlabeled 5675,Unlabeled 5675,Unlabeled 5676,Unlabeled 5676,Unlabeled 5676,Unlabeled 5677,Unlabeled 5677,Unlabeled 5677,Unlabeled 5678,Unlabeled 5678,Unlabeled 5678,Unlabeled 5679,Unlabeled 5679,Unlabeled 5679,Unlabeled 5680,Unlabeled 5680,Unlabeled 5680,Unlabeled 5681,Unlabeled 5681,Unlabeled 5681,Unlabeled 5682,Unlabeled 5682,Unlabeled 5682,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker5,chisel_july10:Marker5,chisel_july10:Marker5,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker5,gripper_july10:Marker5,gripper_july10:Marker5
,ID,"29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","FCF60","FCF60","FCF60","FCA20","FCA20","FCA20","FCA80","FCA80","FCA80","FCA90","FCA90","FCA90","FCF50","FCF50","FCF50","FCA40","FCA40","FCA40","FCC60","FCC60","FCC60","FCD80","FCD80","FCD80","FCF90","FCF90","FCF90","FCFD0","FCFD0","FCFD0","FD000","FD000","FD000","FD010","FD010","FD010","FD040","FD040","FD040","FD050","FD050","FD050","FD0C0","FD0C0","FD0C0","FD0E0","FD0E0","FD0E0","FD100","FD100","FD100","FCCD0","FCCD0","FCCD0","FD120","FD120","FD120","FD150","FD150","FD150","FD160","FD160","FD160","FD180","FD180","FD180","FD190","FD190","FD190","FC990","FC990","FC990","FCFF0","FCFF0","FCFF0","FCFC0","FCFC0","FCFC0","FD0F0","FD0F0","FD0F0","FCFE0","FCFE0","FCFE0","FC9C0","FC9C0","FC9C0","FCEC0","FCEC0","FCEC0","FC9A0","FC9A0","FC9A0","FC9B0","FC9B0","FC9B0","FC2A0","FC2A0","FC2A0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.817706,-0.080916,0.112146,-0.558779,0.176773,0.300658,0.048217,-0.668882,0.232640,-0.460755,-0.534959,0.351468,0.251749,0.209449,0.000041,0.000696,0.000321,-1.000000,0.039088,0.138138,0.299947,0.215619,0.141198,0.428271,0.168484,0.141636,0.560892,-0.122426,0.143340,0.486881,-0.124046,0.142349,0.556381,0.231286,0.122143,0.562552,0.038987,0.124328,0.380418,0.039016,0.127054,0.223205,0.039159,0.125294,0.298934,0.372756,0.261779,0.261216,-0.107904,0.133538,0.225642,0.197922,0.130198,0.298231,-0.107902,0.133110,0.298631,0.195870,0.128492,0.218681,0.215104,0.131525,0.537036,-0.107519,0.133329,0.377978,0.197658,0.131082,0.380810,,,,,,,,,,,,,,,,,,,,,,0.130870,0.387131,-0.199522,0.116538,0.324731,-0.032467,0.091763,0.381913,-0.177796,0.183420,0.321712,-0.031114,0.153753,0.363770,-0.039820,0.480660,0.379154,0.217843,0.482438,0.386903,0.171423,0.442863,0.343043,0.141753,0.398713,0.349099,0.097070,0.436393,0.342266,0.044228
1,0.004167,-0.817708,-0.080921,0.111997,-0.558804,0.176729,0.300656,0.048293,-0.668866,0.232586,-0.460758,-0.534999,0.351464,0.251750,0.209520,0.000027,0.000687,0.000326,-1.000000,0.039087,0.138153,0.299957,0.215620,0.141208,0.428275,0.168483,0.141648,0.560899,-0.122425,0.143351,0.486889,-0.124039,0.142358,0.556398,0.231293,0.122144,0.562562,0.038984,0.124346,0.380428,0.039008,0.127070,0.223212,0.039155,0.125316,0.298950,0.372748,0.261777,0.261261,-0.107908,0.133557,0.225657,0.197918,0.130215,0.298247,-0.107897,0.133112,0.298639,0.195876,0.128507,0.218692,0.215117,0.131526,0.537042,-0.107521,0.133349,0.377994,0.197660,0.131107,0.380829,,,,,,,,,,,,,,,,,,,,,,0.130866,0.387116,-0.199459,0.116512,0.324721,-0.032403,0.091762,0.381900,-0.177749,0.183400,0.321709,-0.031030,0.153711,0.363759,-0.039752,0.480654,0.379149,0.217881,0.482419,0.386900,0.171467,0.442858,0.343047,0.141811,0.398702,0.349091,0.097132,0.436380,0.342247,0.044286
2,0.008333,-0.817709,-0.080922,0.111829,-0.558836,0.176669,0.300655,0.048370,-0.668932,0.232500,-0.460742,-0.534968,0.351465,0.251727,0.209592,-0.000621,0.000639,0.000522,-0.999999,0.039050,0.138380,0.299948,0.215598,0.141218,0.428289,0.168471,0.141242,0.560776,-0.122443,0.143383,0.486916,-0.124048,0.142374,0.556414,0.231270,0.122140,0.562567,0.038971,0.124361,0.380451,0.038986,0.127077,0.223238,0.039140,0.125342,0.298979,0.372734,0.261778,0.261329,-0.107919,0.133568,0.225679,0.197905,0.130241,0.298274,-0.107918,0.133128,0.298658,0.195863,0.128538,0.218718,0.215104,0.131527,0.537067,-0.107542,0.133354,0.378010,0.197640,0.131120,0.380847,,,,,,,,,,,,,,,,,,,,,,0.130860,0.387095,-0.199399,0.116461,0.324705,-0.032351,0.091746,0.381880,-0.177687,0.183364,0.321711,-0.030949,0.153663,0.363750,-0.039683,0.480635,0.379131,0.217925,0.482380,0.386903,0.171515,0.442835,0.343036,0.141879,0.398675,0.349090,0.097205,0.436344,0.342242,0.044357
3,0.012500,-0.817726,-0.080899,0.111652,-0.558850,0.176606,0.300642,0.048446,-0.669050,0.232355,-0.460802,-0.534831,0.351507,0.251661,0.209647,0.000569,0.000594,0.000784,-0.999999,0.038961,0.137773,0.299988,0.215367,0.140789,0.428321,0.168462,0.141243,0.560791,-0.122439,0.143380,0.486939,-0.124043,0.142378,0.556437,0.231157,0.122048,0.562660,0.038972,0.124372,0.380478,0.038979,0.127088,0.223244,0.039136,0.125351,0.299005,0.372681,0.261768,0.261419,-0.107940,0.133561,0.225686,0.197898,0.130257,0.298292,-0.107928,0.133123,0.298670,0.195864,0.128551,0.218744,0.215082,0.131503,0.537091,-0.107551,0.133364,0.378020,0.197643,0.131136,0.380872,,,,,,,,,,,,,,,,,,,,,,0.130859,0.387080,-0.199338,0.116414,0.324683,-0.032301,0.091741,0.381857,-0.177641,0.183329,0.321694,-0.030862,0.153622,0.363740,-0.039608,0.480627,0.379112,0.217991,0.482345,0.386901,0.171563,0.442832,0.343026,0.141941,0.398664,0.349066,0.097271,0.436328,0.342233,0.044416
4,0.016667,-0.817758,-0.080919,0.111414,-0.558848,0.176544,0.300623,0.048525,-0.669164,0.232201,-0.460847,-0.534718,0.351532,0.251601,0.209716,0.000604,0.000572,0.000795,-0.999999,0.038937,0.137764,0.300004,0.215344,0.140783,0.428336,0.168449,0.141242,0.560799,-0.122447,0.143392,0.486960,-0.124045,0.142387,0.556461,0.231133,0.122062,0.562664,0.038964,0.124379,0.380505,0.038957,0.127083,0.223256,0.039129,0.125372,0.299041,0.372687,0.261724,0.261481,-0.107956,0.133578,0.225699,0.197896,0.130274,0.298327,-0.107956,0.133137,0.298683,0.195851,0.128573,0.218774,0.215101,0.131501,0.537122,-0.107569,0.133376,0.378029,0.197642,0.131154,0.380892,,,,,,,,,,,,,,,,,,,,,,0.130865,0.387068,-0.199275,0.116369,0.324657,-0.032256,0.091737,0.381832,-0.177579,0.183298,0.321684,-0.030770,0.153576,0.363718,-0.039535,0.480600,0.379092,0.218043,0.482296,0.386897,0.171620,0.442814,0.343015,0.142007,0.398643,0.349046,0.097350,0.436289,0.342222,0.044487
5,0.020833,-0.817768,-0.080823,0.111342,-0.558862,0.176497,0.300602,0.048592,-0.669322,0.232021,-0.460892,-0.534559,0.351587,0.251511,0.209766,0.000597,0.000563,0.000787,-0.999999,0.038931,0.137767,0.300007,0.215333,0.140786,0.428335,0.168443,0.141240,0.560795,-0.122438,0.143391,0.486965,-0.124037,0.142382,0.556468,0.231121,0.122067,0.562666,0.038971,0.124372,0.380510,0.038953,0.127100,0.223253,0.039133,0.125381,0.299047,0.372747,0.261688,0.261583,-0.107970,0.133586,0.225696,0.197897,0.130276,0.298331,-0.107943,0.133137,0.298685,0.195856,0.128572,0.218780,0.215107,0.131464,0.537136,-0.107578,0.133375,0.378030,0.197651,0.131155,0.380892,,,,,,,,,,,,,,,,,,,,,,0.130881,0.387048,-0.199224,0.116343,0.324641,-0.032204,0.091748,0.381810,-0.177529,0.183272,0.321658,-0.030697,0.153552,0.363699,-0.039475,0.480594,0.379053,0.218092,0.482261,0.386883,0.171654,0.442808,0.342988,0.142057,0.398634,0.349008,0.097412,0.436268,0.342200,0.044549
