Format Version,1.23,Take Name,cap_123,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 09.51.32.777 PM,Total Frames in Take,1814,Total Exported Frames,1814,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,Unlabeled 5886,Unlabeled 5886,Unlabeled 5886,Unlabeled 5887,Unlabeled 5887,Unlabeled 5887,Unlabeled 5888,Unlabeled 5888,Unlabeled 5888,Unlabeled 5889,Unlabeled 5889,Unlabeled 5889,Unlabeled 5890,Unlabeled 5890,Unlabeled 5890,Unlabeled 5891,Unlabeled 5891,Unlabeled 5891,Unlabeled 5892,Unlabeled 5892,Unlabeled 5892,Unlabeled 5893,Unlabeled 5893,Unlabeled 5893,Unlabeled 5894,Unlabeled 5894,Unlabeled 5894,Unlabeled 5895,Unlabeled 5895,Unlabeled 5895,Unlabeled 5896,Unlabeled 5896,Unlabeled 5896,Unlabeled 5899,Unlabeled 5899,Unlabeled 5899,Unlabeled 5900,Unlabeled 5900,Unlabeled 5900,Unlabeled 5901,Unlabeled 5901,Unlabeled 5901,Unlabeled 5902,Unlabeled 5902,Unlabeled 5902,Unlabeled 5903,Unlabeled 5903,Unlabeled 5903,Unlabeled 5904,Unlabeled 5904,Unlabeled 5904,Unlabeled 5905,Unlabeled 5905,Unlabeled 5905,Unlabeled 5906,Unlabeled 5906,Unlabeled 5906,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker5,chisel_july10:Marker5,chisel_july10:Marker5,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker5,gripper_july10:Marker5,gripper_july10:Marker5
,ID,"29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","FE240","FE240","FE240","FE700","FE700","FE700","FE770","FE770","FE770","FE810","FE810","FE810","FE6B0","FE6B0","FE6B0","FE6C0","FE6C0","FE6C0","FE7D0","FE7D0","FE7D0","FE7E0","FE7E0","FE7E0","FE880","FE880","FE880","FE960","FE960","FE960","FE9A0","FE9A0","FE9A0","FE9B0","FE9B0","FE9B0","FE9C0","FE9C0","FE9C0","FEA20","FEA20","FEA20","FEA30","FEA30","FEA30","FEA80","FEA80","FEA80","FEAB0","FEAB0","FEAB0","FEAC0","FEAC0","FEAC0","FEAD0","FEAD0","FEAD0","FEAE0","FEAE0","FEAE0","FEAF0","FEAF0","FEAF0","FEB10","FEB10","FEB10","FEB20","FEB20","FEB20","FEB40","FEB40","FEB40","FE830","FE830","FE830","FE7A0","FE7A0","FE7A0","FE7B0","FE7B0","FE7B0","FEA50","FEA50","FEA50","FE850","FE850","FE850","FE360","FE360","FE360","FE900","FE900","FE900","FE460","FE460","FE460","FE250","FE250","FE250","FE330","FE330","FE330"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.751309,-0.044069,0.127420,-0.646032,0.145342,0.371439,-0.080164,-0.656438,0.261825,-0.461854,-0.535936,0.341066,0.305781,0.151498,0.000057,0.000669,0.000277,-1.000000,0.039103,0.138175,0.299943,0.215631,0.141248,0.428269,0.168527,0.141688,0.560898,-0.122410,0.143377,0.486876,-0.124026,0.142373,0.556385,0.231328,0.122217,0.562518,0.038991,0.124356,0.380406,0.039175,0.125358,0.298925,0.038926,0.127187,0.223111,0.361080,0.313632,0.204545,-0.107844,0.134125,0.225611,0.195850,0.128905,0.218753,-0.107925,0.132961,0.298530,0.197939,0.130285,0.298228,0.197812,0.131164,0.380913,-0.107538,0.133986,0.377855,0.214708,0.131727,0.536938,,,,,,,,,,,,,,,,,,,,,,,,,0.106061,0.401756,-0.341870,0.086764,0.379677,-0.165281,0.066725,0.403060,-0.320528,0.154318,0.373855,-0.161894,0.126127,0.413152,-0.180870,0.475244,0.427186,0.167059,0.479455,0.435294,0.120984,0.439357,0.393612,0.089031,0.397439,0.402126,0.042546,0.437062,0.394218,-0.008842
1,0.004167,-0.751311,-0.043747,0.127230,-0.646088,0.145232,0.371428,-0.080137,-0.656370,0.261735,-0.462133,-0.535824,0.341028,0.305747,0.151469,-0.000069,0.000734,0.000332,-1.000000,0.039094,0.138224,0.299941,0.215613,0.141260,0.428259,0.168488,0.141690,0.560877,-0.122420,0.143382,0.486868,-0.124026,0.142379,0.556365,0.231208,0.122141,0.562589,0.038987,0.124357,0.380397,0.039170,0.125363,0.298919,0.038926,0.127187,0.223101,0.360980,0.313671,0.204562,-0.107855,0.134129,0.225587,0.195854,0.128922,0.218742,-0.107931,0.132947,0.298510,0.197934,0.130280,0.298222,0.197807,0.131184,0.380897,-0.107539,0.133986,0.377843,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106138,0.401725,-0.341870,0.086705,0.379671,-0.165272,0.066802,0.403025,-0.320578,0.154271,0.373833,-0.161876,0.126101,0.413106,-0.180865,0.475141,0.427209,0.167060,0.479364,0.435324,0.120991,0.439300,0.393625,0.089022,0.397399,0.402102,0.042530,0.437044,0.394204,-0.008851
2,0.008333,-0.751337,-0.043528,0.126966,-0.646125,0.145112,0.371410,-0.080113,-0.656254,0.261722,-0.462338,-0.535794,0.340946,0.305745,0.151446,-0.000707,0.000699,0.000501,-0.999999,0.039057,0.138434,0.299901,0.215591,0.141269,0.428237,0.168452,0.141270,0.560722,-0.122433,0.143385,0.486855,-0.124041,0.142384,0.556355,0.231186,0.122138,0.562578,0.038977,0.124363,0.380392,0.039156,0.125372,0.298907,0.038910,0.127193,0.223088,0.360953,0.313573,0.204504,-0.107876,0.134135,0.225577,0.195840,0.128926,0.218735,-0.107947,0.132960,0.298508,0.197926,0.130285,0.298213,0.197778,0.131180,0.380886,-0.107557,0.133988,0.377834,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106196,0.401702,-0.341866,0.086642,0.379651,-0.165276,0.066850,0.402984,-0.320617,0.154206,0.373805,-0.161849,0.126048,0.413082,-0.180872,0.475037,0.427239,0.167062,0.479257,0.435344,0.120986,0.439218,0.393628,0.089022,0.397339,0.402092,0.042509,0.437011,0.394189,-0.008850
3,0.012500,-0.751370,-0.043403,0.126571,-0.646173,0.144999,0.371414,-0.080090,-0.656235,0.261603,-0.462630,-0.535624,0.340911,0.305688,0.151420,-0.000577,0.000634,0.000428,-1.000000,0.039047,0.138398,0.299878,0.215583,0.141280,0.428227,0.168457,0.141285,0.560713,-0.122437,0.143384,0.486842,-0.124041,0.142392,0.556345,0.231282,0.122236,0.562482,0.038970,0.124364,0.380380,0.039147,0.125386,0.298903,0.038903,0.127197,0.223085,0.360825,0.313578,0.204483,-0.107881,0.134153,0.225570,0.195826,0.128941,0.218728,-0.107966,0.132963,0.298497,0.197913,0.130294,0.298203,0.197763,0.131193,0.380881,-0.107559,0.133989,0.377826,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106275,0.401682,-0.341869,0.086592,0.379628,-0.165304,0.066912,0.402959,-0.320654,0.154147,0.373819,-0.161825,0.126010,0.413072,-0.180859,0.474933,0.427253,0.167067,0.479143,0.435378,0.121013,0.439151,0.393624,0.089032,0.397289,0.402069,0.042494,0.436978,0.394178,-0.008850
4,0.016667,-0.751421,-0.043277,0.126173,-0.646200,0.144873,0.371390,-0.080045,-0.656161,0.261602,-0.462828,-0.535544,0.340833,0.305651,0.151414,-0.000519,0.000622,0.000423,-1.000000,0.039029,0.138373,0.299898,0.215560,0.141269,0.428251,0.168455,0.141290,0.560727,-0.122450,0.143384,0.486867,-0.124054,0.142390,0.556365,0.231271,0.122248,0.562497,0.038958,0.124367,0.380394,0.039136,0.125394,0.298919,0.038889,0.127192,0.223104,0.360734,0.313538,0.204482,-0.107905,0.134141,0.225579,0.195801,0.128938,0.218745,-0.107968,0.132966,0.298514,0.197905,0.130294,0.298224,0.197757,0.131190,0.380895,-0.107575,0.133993,0.377839,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106348,0.401648,-0.341857,0.086532,0.379582,-0.165299,0.066957,0.402917,-0.320661,0.154074,0.373803,-0.161782,0.125952,0.413057,-0.180822,0.474811,0.427250,0.167100,0.479044,0.435370,0.121043,0.439081,0.393606,0.089057,0.397233,0.402039,0.042498,0.436929,0.394152,-0.008824
5,0.020833,-0.751481,-0.043124,0.125807,-0.646212,0.144759,0.371359,-0.080008,-0.656084,0.261613,-0.463048,-0.535442,0.340764,0.305595,0.151403,-0.000073,0.000726,0.000323,-1.000000,0.039052,0.138222,0.299956,0.215568,0.141259,0.428270,0.168439,0.141682,0.560898,-0.122451,0.143377,0.486885,-0.124053,0.142372,0.556384,0.231166,0.122147,0.562597,0.038957,0.124349,0.380416,0.039127,0.125362,0.298938,0.038890,0.127183,0.223116,0.360649,0.313497,0.204460,-0.107892,0.134125,0.225596,0.195800,0.128925,0.218759,-0.107978,0.132946,0.298536,0.197905,0.130285,0.298248,0.197761,0.131180,0.380909,-0.107570,0.133974,0.377854,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106427,0.401621,-0.341860,0.086488,0.379546,-0.165315,0.067017,0.402878,-0.320680,0.154026,0.373772,-0.161730,0.125897,0.413036,-0.180785,0.474700,0.427233,0.167142,0.478958,0.435353,0.121082,0.439010,0.393569,0.089084,0.397185,0.401992,0.042504,0.436905,0.394115,-0.008795
