Format Version,1.23,Take Name,cap_126,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-07-10 09.53.13.011 PM,Total Frames in Take,2101,Total Exported Frames,2101,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,chisel_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,gripper_july10,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,Unlabeled 5994,Unlabeled 5994,Unlabeled 5994,Unlabeled 5995,Unlabeled 5995,Unlabeled 5995,Unlabeled 5996,Unlabeled 5996,Unlabeled 5996,Unlabeled 5997,Unlabeled 5997,Unlabeled 5997,Unlabeled 5998,Unlabeled 5998,Unlabeled 5998,Unlabeled 5999,Unlabeled 5999,Unlabeled 5999,Unlabeled 6000,Unlabeled 6000,Unlabeled 6000,Unlabeled 6001,Unlabeled 6001,Unlabeled 6001,Unlabeled 6002,Unlabeled 6002,Unlabeled 6002,Unlabeled 6003,Unlabeled 6003,Unlabeled 6003,Unlabeled 6004,Unlabeled 6004,Unlabeled 6004,Unlabeled 6005,Unlabeled 6005,Unlabeled 6005,Unlabeled 6006,Unlabeled 6006,Unlabeled 6006,Unlabeled 6007,Unlabeled 6007,Unlabeled 6007,Unlabeled 6008,Unlabeled 6008,Unlabeled 6008,Unlabeled 6009,Unlabeled 6009,Unlabeled 6009,Unlabeled 6011,Unlabeled 6011,Unlabeled 6011,Unlabeled 6012,Unlabeled 6012,Unlabeled 6012,Unlabeled 6013,Unlabeled 6013,Unlabeled 6013,Unlabeled 6016,Unlabeled 6016,Unlabeled 6016,Unlabeled 6018,Unlabeled 6018,Unlabeled 6018,Unlabeled 6020,Unlabeled 6020,Unlabeled 6020,Unlabeled 6021,Unlabeled 6021,Unlabeled 6021,Unlabeled 6022,Unlabeled 6022,Unlabeled 6022,Unlabeled 6023,Unlabeled 6023,Unlabeled 6023,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker1,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker2,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker3,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker4,chisel_july10:Marker5,chisel_july10:Marker5,chisel_july10:Marker5,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker1,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker2,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker3,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker4,gripper_july10:Marker5,gripper_july10:Marker5,gripper_july10:Marker5
,ID,"29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","29B0304E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","D3A78B7E3F2F11EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","4A59D5583F3211EF102BA28485B8CC85","FF2F0","FF2F0","FF2F0","FF1F0","FF1F0","FF1F0","FE770","FE770","FE770","FF300","FF300","FF300","FEE00","FEE00","FEE00","FF1B0","FF1B0","FF1B0","FF1C0","FF1C0","FF1C0","FF230","FF230","FF230","FF250","FF250","FF250","FF290","FF290","FF290","FF2C0","FF2C0","FF2C0","FF320","FF320","FF320","FF360","FF360","FF360","FF3E0","FF3E0","FF3E0","FF3F0","FF3F0","FF3F0","FF3D0","FF3D0","FF3D0","FF470","FF470","FF470","FF4B0","FF4B0","FF4B0","FF4C0","FF4C0","FF4C0","FF4A0","FF4A0","FF4A0","FF440","FF440","FF440","FF4E0","FF4E0","FF4E0","FF4F0","FF4F0","FF4F0","FF4D0","FF4D0","FF4D0","FF510","FF510","FF510","FF550","FF550","FF550","FF5A0","FF5A0","FF5A0","FF570","FF570","FF570","FF5B0","FF5B0","FF5B0","FF5D0","FF5D0","FF5D0","FF400","FF400","FF400","FF450","FF450","FF450","FEDF0","FEDF0","FEDF0","FF330","FF330","FF330","FF3B0","FF3B0","FF3B0","FE360","FE360","FE360","FF210","FF210","FF210","FE900","FE900","FE900","FE250","FE250","FE250","FF0A0","FF0A0","FF0A0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.788330,-0.039822,0.062600,-0.610762,0.096526,0.362425,0.011118,-0.702530,0.244637,-0.398656,-0.536357,0.334432,0.263095,0.227796,0.001258,0.000656,0.000509,-0.999999,0.039039,0.137530,0.299966,0.215414,0.140790,0.428326,0.168510,0.141644,0.560888,-0.122414,0.143338,0.486870,-0.124041,0.142335,0.556377,0.231292,0.122120,0.562596,0.360017,0.267921,0.277511,-0.107644,0.135808,0.225851,0.039109,0.125927,0.298924,0.197669,0.131230,0.380814,0.038968,0.124691,0.380397,0.038840,0.128030,0.223129,-0.107625,0.133082,0.298644,-0.107486,0.134142,0.378000,0.197936,0.130557,0.298215,0.195881,0.128389,0.218620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.083021,0.418369,-0.249029,0.047270,0.376079,-0.078857,0.041522,0.415495,-0.232235,0.113479,0.374121,-0.068351,0.085185,0.414154,-0.086015,0.472654,0.380975,0.231683,0.470353,0.392091,0.185926,0.424979,0.353276,0.157544,0.377051,0.365609,0.118261,0.408942,0.360478,0.061419
1,0.004167,-0.788550,-0.039354,0.062702,-0.610499,0.096192,0.362437,0.011148,-0.702643,0.244561,-0.398898,-0.536063,0.334258,0.262962,0.227996,0.001187,0.000699,0.000555,-0.999999,0.039025,0.137540,0.299982,0.215383,0.140778,0.428327,0.168500,0.141650,0.560882,-0.122411,0.143325,0.486878,-0.124034,0.142322,0.556387,0.231157,0.122032,0.562677,0.359838,0.267857,0.277772,-0.107656,0.135794,0.225835,0.039113,0.125905,0.298925,0.197665,0.131228,0.380816,0.038975,0.124684,0.380394,0.038841,0.128016,0.223135,-0.107640,0.133072,0.298636,-0.107499,0.134134,0.377994,0.197934,0.130535,0.298221,0.195891,0.128372,0.218627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.082742,0.418465,-0.248923,0.046996,0.376123,-0.078751,0.041399,0.415846,-0.232450,0.113232,0.374196,-0.068250,0.084931,0.414227,-0.085895,0.472389,0.380909,0.231991,0.470110,0.392086,0.186177,0.424772,0.353225,0.157813,0.376853,0.365549,0.118508,0.408754,0.360444,0.061691
2,0.008333,-0.788677,-0.039354,0.062892,-0.610315,0.095943,0.362452,0.011228,-0.702689,0.244515,-0.399261,-0.535753,0.334083,0.262825,0.228188,0.001226,0.000677,0.000549,-0.999999,0.039010,0.137518,0.299978,0.215364,0.140768,0.428317,0.168483,0.141643,0.560881,-0.122406,0.143316,0.486882,-0.124024,0.142319,0.556385,0.231149,0.122040,0.562657,0.359752,0.267913,0.277628,-0.107675,0.135789,0.225821,0.039125,0.125887,0.298938,0.197675,0.131214,0.380816,0.038983,0.124665,0.380396,0.038859,0.127997,0.223125,-0.107659,0.133065,0.298623,-0.107524,0.134121,0.377984,0.197943,0.130524,0.298217,0.195899,0.128360,0.218618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.082440,0.418598,-0.248820,0.046718,0.376200,-0.078634,0.041079,0.415987,-0.232342,0.112977,0.374249,-0.068164,0.084656,0.414262,-0.085793,0.472138,0.380852,0.232276,0.469830,0.392062,0.186485,0.424576,0.353175,0.158092,0.376697,0.365486,0.118743,0.408595,0.360392,0.061973
3,0.012500,-0.788764,-0.039252,0.063131,-0.610185,0.095651,0.362503,0.011328,-0.702673,0.244487,-0.399475,-0.535628,0.333874,0.262756,0.228426,0.001239,0.000640,0.000554,-0.999999,0.038972,0.137513,0.299983,0.215327,0.140764,0.428308,0.168461,0.141644,0.560874,-0.122411,0.143318,0.486897,-0.124030,0.142321,0.556405,0.231113,0.122041,0.562651,0.359563,0.267862,0.277852,-0.107703,0.135795,0.225814,0.039115,0.125893,0.298953,0.197674,0.131223,0.380833,0.038973,0.124670,0.380420,0.038848,0.127991,0.223147,-0.107679,0.133074,0.298623,-0.107544,0.134135,0.377983,0.197940,0.130534,0.298237,0.195892,0.128366,0.218639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.082131,0.418741,-0.248697,0.046423,0.376317,-0.078497,0.040730,0.416123,-0.232228,0.112664,0.374320,-0.068067,0.084360,0.414315,-0.085686,0.471886,0.380818,0.232539,0.469551,0.392032,0.186759,0.424367,0.353143,0.158381,0.376504,0.365448,0.119024,0.408413,0.360365,0.062215
4,0.016667,-0.788929,-0.039347,0.063156,-0.609962,0.095385,0.362513,0.011410,-0.702878,0.244289,-0.399651,-0.535317,0.333714,0.262621,0.228654,0.001235,0.000627,0.000574,-0.999999,0.038947,0.137518,0.299988,0.215301,0.140761,0.428303,0.168431,0.141644,0.560875,-0.122418,0.143328,0.486912,-0.124037,0.142328,0.556409,0.231089,0.122034,0.562654,0.359375,0.267765,0.278040,-0.107719,0.135798,0.225813,0.039116,0.125902,0.298964,0.197672,0.131240,0.380841,0.038966,0.124682,0.380429,0.038846,0.128016,0.223162,-0.107698,0.133081,0.298624,-0.107569,0.134156,0.377979,0.197939,0.130554,0.298254,0.195887,0.128368,0.218650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081813,0.418893,-0.248573,0.046150,0.376374,-0.078384,0.040427,0.416277,-0.232137,0.112388,0.374378,-0.067974,0.084071,0.414372,-0.085570,0.471629,0.380782,0.232808,0.469267,0.392028,0.187037,0.424127,0.353107,0.158634,0.376277,0.365404,0.119327,0.408194,0.360348,0.062486
5,0.020833,-0.789081,-0.039496,0.063189,-0.609753,0.095113,0.362526,0.011505,-0.702854,0.244211,-0.399841,-0.535243,0.333484,0.262566,0.228918,0.001220,0.000613,0.000579,-0.999999,0.038926,0.137540,0.299992,0.215289,0.140779,0.428297,0.168409,0.141649,0.560880,-0.122437,0.143342,0.486921,-0.124050,0.142349,0.556419,0.231079,0.122050,0.562653,0.361180,0.264601,0.276985,-0.107734,0.135816,0.225829,0.039090,0.125932,0.298978,0.197649,0.131256,0.380859,0.038953,0.124698,0.380439,0.038823,0.128044,0.223177,-0.107719,0.133084,0.298632,-0.107593,0.134152,0.377992,0.197911,0.130572,0.298263,0.195859,0.128392,0.218671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081464,0.419040,-0.248435,0.045859,0.376437,-0.078263,0.040096,0.416414,-0.232021,0.112105,0.374434,-0.067877,0.083756,0.414424,-0.085443,0.471335,0.380827,0.233122,0.469018,0.392001,0.187312,0.423886,0.353056,0.158886,0.376043,0.365357,0.119611,0.407964,0.360316,0.062771
