Format Version,1.23,Take Name,take_167,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-06-28 06.55.02.644 PM,Total Frames in Take,1886,Total Exported Frames,1886,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,bucket_SC,bucket_SC,bucket_SC,bucket_SC,bucket_SC,bucket_SC,bucket_SC,diff_scooper_2_2,diff_scooper_2_2,diff_scooper_2_2,diff_scooper_2_2,diff_scooper_2_2,diff_scooper_2_2,diff_scooper_2_2,GRIPPER_2,GRIPPER_2,GRIPPER_2,GRIPPER_2,GRIPPER_2,GRIPPER_2,GRIPPER_2,box3,box3,box3,box3,box3,box3,box3
,ID,"852F34CADCAB11ED8F3967F92B82AF85","852F34CADCAB11ED8F3967F92B82AF85","852F34CADCAB11ED8F3967F92B82AF85","852F34CADCAB11ED8F3967F92B82AF85","852F34CADCAB11ED8F3967F92B82AF85","852F34CADCAB11ED8F3967F92B82AF85","852F34CADCAB11ED8F3967F92B82AF85","29F055C235A511EF102BA28485B8CC85","29F055C235A511EF102BA28485B8CC85","29F055C235A511EF102BA28485B8CC85","29F055C235A511EF102BA28485B8CC85","29F055C235A511EF102BA28485B8CC85","29F055C235A511EF102BA28485B8CC85","29F055C235A511EF102BA28485B8CC85","AB75F60E35B111EF102BA28485B8CC85","AB75F60E35B111EF102BA28485B8CC85","AB75F60E35B111EF102BA28485B8CC85","AB75F60E35B111EF102BA28485B8CC85","AB75F60E35B111EF102BA28485B8CC85","AB75F60E35B111EF102BA28485B8CC85","AB75F60E35B111EF102BA28485B8CC85","8661A79135B511EF102BA28485B8CC85","8661A79135B511EF102BA28485B8CC85","8661A79135B511EF102BA28485B8CC85","8661A79135B511EF102BA28485B8CC85","8661A79135B511EF102BA28485B8CC85","8661A79135B511EF102BA28485B8CC85","8661A79135B511EF102BA28485B8CC85"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,0.009441,-0.649916,-0.010489,-0.759875,0.362923,0.241476,0.517248,-0.596496,0.368700,0.519766,0.487951,0.265292,0.284019,0.085324,0.010269,0.429022,0.817778,-0.383502,-0.096003,0.336904,0.106848,0.007470,0.758717,-0.006965,0.651340,0.035994,0.037662,0.195498
1,0.004167,0.009416,-0.649920,-0.010391,-0.759873,0.362962,0.241478,0.517226,-0.596468,0.368933,0.519113,0.488504,0.265140,0.284161,0.085222,0.010082,0.429321,0.817799,-0.383128,-0.095976,0.336890,0.106962,0.000342,0.759721,-0.009493,0.650180,0.035862,0.037106,0.195541
2,0.008333,0.009429,-0.649944,-0.010330,-0.759853,0.362986,0.241475,0.517214,-0.596606,0.369453,0.518177,0.488937,0.264973,0.284304,0.085182,0.010295,0.429377,0.817865,-0.382919,-0.095972,0.336779,0.106966,0.000408,0.759704,-0.009492,0.650199,0.035877,0.037124,0.195535
3,0.012500,0.009428,-0.649945,-0.010309,-0.759853,0.362993,0.241462,0.517228,-0.596892,0.369891,0.517305,0.489179,0.264851,0.284317,0.085186,0.010628,0.429200,0.818066,-0.382677,-0.095968,0.336616,0.106923,0.000503,0.759699,-0.009432,0.650206,0.035874,0.037112,0.195538
4,0.016667,0.009418,-0.649938,-0.010340,-0.759858,0.362981,0.241454,0.517252,-0.597198,0.370272,0.516609,0.489252,0.264744,0.284215,0.085271,0.010933,0.429033,0.818243,-0.382478,-0.095947,0.336454,0.106903,0.000454,0.759698,-0.009463,0.650207,0.035864,0.037099,0.195550
5,0.020833,0.009489,-0.649916,-0.010318,-0.759877,0.362942,0.241470,0.517265,-0.597530,0.370574,0.515923,0.489342,0.264664,0.284074,0.085346,0.011327,0.428780,0.818467,-0.382271,-0.095932,0.336273,0.106846,0.000435,0.759721,-0.009436,0.650181,0.035842,0.037101,0.195553
6,0.025000,0.009546,-0.649927,-0.010317,-0.759867,0.362918,0.241491,0.517258,-0.598086,0.370790,0.515134,0.489330,0.264638,0.283857,0.085389,0.011644,0.428571,0.818672,-0.382056,-0.095921,0.336098,0.106789,0.000401,0.759713,-0.009497,0.650189,0.035824,0.037119,0.195546
7,0.029167,0.009562,-0.649927,-0.010267,-0.759867,0.362901,0.241514,0.517237,-0.598186,0.370852,0.514881,0.489428,0.264623,0.283579,0.085531,0.011909,0.428419,0.818849,-0.381841,-0.095908,0.335934,0.106749,0.000369,0.759707,-0.009573,0.650195,0.035809,0.037122,0.195534
8,0.033333,0.009588,-0.649949,-0.010297,-0.759848,0.362888,0.241520,0.517225,-0.598668,0.371365,0.514239,0.489125,0.264592,0.283274,0.085794,0.012113,0.428276,0.818998,-0.381674,-0.095882,0.335770,0.106716,0.000266,0.759725,-0.009635,0.650173,0.035796,0.037123,0.195528
9,0.037500,0.009593,-0.649952,-0.010277,-0.759846,0.362876,0.241506,0.517225,-0.599415,0.371984,0.513609,0.488401,0.264592,0.282801,0.086175,0.012283,0.428190,0.819123,-0.381497,-0.095855,0.335606,0.106720,0.002986,0.759541,-0.008745,0.650393,0.035907,0.037341,0.195694
10,0.041667,0.009579,-0.649958,-0.010233,-0.759841,0.362881,0.241479,0.517250,-0.600476,0.372322,0.512771,0.487719,0.264652,0.282251,0.086440,0.012469,0.428091,0.819236,-0.381359,-0.095813,0.335421,0.106727,0.003129,0.759529,-0.008676,0.650408,0.035901,0.037328,0.195711
11,0.045833,0.009550,-0.649966,-0.010203,-0.759835,0.362895,0.241447,0.517275,-0.601289,0.372365,0.512577,0.486888,0.264754,0.281498,0.086852,0.012520,0.428058,0.819318,-0.381219,-0.095769,0.335248,0.106764,0.003182,0.759509,-0.008591,0.650432,0.035899,0.037320,0.195735
12,0.050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.054167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.058333,0.009379,-0.649959,-0.010203,-0.759843,0.362986,0.241458,0.517257,-0.603709,0.373569,0.511744,0.483839,0.265022,0.279293,0.088493,0.012695,0.427761,0.819723,-0.380674,-0.095602,0.334592,0.106717,0.003066,0.759487,-0.008708,0.650457,0.035919,0.037322,0.195755
15,0.062500,0.009432,-0.649955,-0.010172,-0.759846,0.362980,0.241472,0.517250,-0.604607,0.374150,0.511647,0.482369,0.265116,0.278411,0.089265,0.012988,0.427656,0.819810,-0.380596,-0.095576,0.334296,0.106657,0.003077,0.759498,-0.008731,0.650443,0.035911,0.037331,0.195756
16,0.066667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.070833,0.009664,-0.649942,-0.010165,-0.759854,0.362871,0.241476,0.517250,-0.606440,0.374594,0.511766,0.479588,0.265383,0.276389,0.090728,0.012928,0.427580,0.819982,-0.380314,-0.095476,0.333894,0.106720,0.003182,0.759505,-0.008729,0.650435,0.035872,0.037341,0.195757
18,0.075000,0.009692,-0.649915,-0.010164,-0.759877,0.362834,0.241494,0.517258,-0.607631,0.374936,0.511886,0.477683,0.265559,0.275201,0.091615,0.013118,0.427311,0.820181,-0.380178,-0.095439,0.333661,0.106660,0.003127,0.759510,-0.008681,0.650430,0.035847,0.037341,0.195754
19,0.079167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.083333,0.009677,-0.649919,-0.010204,-0.759873,0.362813,0.241515,0.517241,-0.609993,0.375798,0.512157,0.473687,0.265900,0.272852,0.093517,0.013290,0.426767,0.820611,-0.379856,-0.095351,0.333292,0.106537,0.003138,0.759519,-0.008733,0.650419,0.035844,0.037358,0.195726
21,0.087500,0.009640,-0.649935,-0.010293,-0.759859,0.362812,0.241516,0.517224,-0.610766,0.375630,0.512803,0.472123,0.266108,0.271621,0.094396,0.013571,0.426376,0.820860,-0.379748,-0.095338,0.333066,0.106409,0.003109,0.759524,-0.008729,0.650414,0.035850,0.037362,0.195707
22,0.091667,0.009626,-0.649911,-0.010222,-0.759880,0.362826,0.241505,0.517242,-0.611941,0.376027,0.512912,0.470163,0.266278,0.270460,0.095380,0.013770,0.426156,0.820994,-0.379697,-0.095306,0.332879,0.106341,0.000371,0.759700,-0.009583,0.650203,0.035734,0.037137,0.195540
23,0.095833,0.009560,-0.649906,-0.010267,-0.759885,0.362832,0.241489,0.517258,-0.613374,0.376403,0.513232,0.467639,0.266501,0.269078,0.096548,0.014054,0.425830,0.821190,-0.379629,-0.095279,0.332653,0.106238,0.000289,0.759698,-0.009575,0.650205,0.035740,0.037127,0.195542
24,0.100000,0.009542,-0.649910,-0.010278,-0.759882,0.362837,0.241473,0.517277,-0.614596,0.376590,0.513711,0.465352,0.266717,0.267735,0.097698,0.014125,0.425726,0.821228,-0.379662,-0.095226,0.332481,0.106210,0.000396,0.759683,-0.009540,0.650224,0.035742,0.037126,0.195544
25,0.104167,0.009510,-0.649895,-0.010344,-0.759894,0.362838,0.241455,0.517274,-0.615757,0.376692,0.514102,0.463299,0.266953,0.266452,0.098751,0.014183,0.425649,0.821254,-0.379688,-0.095166,0.332302,0.106170,0.000394,0.759682,-0.009512,0.650225,0.035741,0.037112,0.195542
26,0.108333,0.009530,-0.649895,-0.010340,-0.759894,0.362833,0.241467,0.517261,-0.616489,0.376954,0.514724,0.461418,0.267132,0.265273,0.099917,0.014175,0.425682,0.821221,-0.379724,-0.095103,0.332150,0.106150,0.000397,0.759675,-0.009514,0.650233,0.035741,0.037114,0.195531
27,0.112500,0.009555,-0.649892,-0.010414,-0.759895,0.362805,0.241485,0.517237,-0.617356,0.377508,0.515219,0.459247,0.267263,0.264189,0.101224,0.014087,0.425870,0.821114,-0.379749,-0.095047,0.332021,0.106181,0.000315,0.759682,-0.009633,0.650223,0.035726,0.037113,0.195518
28,0.116667,0.009570,-0.649901,-0.010452,-0.759886,0.362784,0.241488,0.517225,-0.618179,0.377408,0.516139,0.457185,0.267487,0.262907,0.102433,0.013992,0.426043,0.820983,-0.379839,-0.094971,0.331897,0.106221,0.000247,0.759693,-0.009656,0.650210,0.035712,0.037115,0.195519
29,0.120833,0.009602,-0.649877,-0.010508,-0.759906,0.362760,0.241498,0.517235,-0.619154,0.377706,0.516636,0.455054,0.267647,0.261758,0.103693,0.013909,0.426162,0.820868,-0.379958,-0.094887,0.331767,0.106271,0.003111,0.759498,-0.008730,0.650443,0.035817,0.037342,0.195685
30,0.125000,0.009589,-0.649886,-0.010588,-0.759898,0.362747,0.241487,0.517254,-0.619553,0.377996,0.517402,0.453397,0.267729,0.260785,0.104977,0.013884,0.426230,0.820789,-0.380055,-0.094809,0.331621,0.106312,0.003115,0.759509,-0.008697,0.650431,0.035805,0.037326,0.195709
31,0.129167,0.009571,-0.649874,-0.010679,-0.759907,0.362734,0.241480,0.517278,-0.620190,0.377667,0.518496,0.451547,0.267951,0.259586,0.106202,0.013880,0.426278,0.820707,-0.380177,-0.094725,0.331476,0.106343,0.003173,0.759476,-0.008626,0.650471,0.035801,0.037318,0.195731
32,0.133333,0.009337,-0.649852,-0.010938,-0.759925,0.362778,0.241510,0.517291,-0.620619,0.377743,0.519421,0.449827,0.268069,0.258621,0.107503,0.013994,0.426176,0.820669,-0.380369,-0.094628,0.331324,0.106311,0.003151,0.759503,-0.008676,0.650438,0.035803,0.037313,0.195749
33,0.137500,0.009297,-0.649859,-0.010984,-0.759918,0.362790,0.241511,0.517310,-0.621064,0.378265,0.520077,0.448012,0.268122,0.257806,0.108883,0.014142,0.425979,0.820657,-0.380611,-0.094521,0.331170,0.106244,0.003145,0.759480,-0.008679,0.650465,0.035814,0.037329,0.195764
34,0.141667,0.009204,-0.649878,-0.011210,-0.759900,0.362796,0.241517,0.517326,-0.621465,0.378592,0.520779,0.446361,0.268156,0.257023,0.110210,0.014353,0.425741,0.820650,-0.380884,-0.094406,0.331012,0.106167,0.003100,0.759488,-0.008776,0.650455,0.035826,0.037343,0.195773
35,0.145833,0.009029,-0.649984,-0.011735,-0.759804,0.362748,0.241523,0.517307,-0.621589,0.378807,0.521627,0.445014,0.268165,0.256332,0.111453,0.014635,0.425457,0.820662,-0.381164,-0.094290,0.330832,0.106079,0.003018,0.759490,-0.008761,0.650453,0.035840,0.037350,0.195784
36,0.150000,0.008913,-0.649934,-0.012165,-0.759841,0.362731,0.241537,0.517333,-0.621904,0.378708,0.522651,0.443455,0.268226,0.255460,0.112722,0.014823,0.425194,0.820650,-0.381476,-0.094173,0.330676,0.106018,0.003115,0.759491,-0.008751,0.650452,0.035844,0.037352,0.195798
37,0.154167,0.008959,-0.649958,-0.011878,-0.759825,0.362734,0.241536,0.517339,-0.621892,0.379038,0.523513,0.442170,0.268182,0.254880,0.114039,0.015322,0.424611,0.820774,-0.381840,-0.094032,0.330444,0.105831,0.003093,0.759474,-0.008744,0.650471,0.035842,0.037341,0.195799
